[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 1] ਮੂਸਾ ਨੇ ਸਾਰੇ ਇਸਰਾਏਲ, ਨੂੰ ਬੁਲਾ ਕੇ ਆਖਿਆ, “ਹੇ ਇਸਰਾਏਲ, ਇਹਨਾਂ ਬਿਧੀਆਂ ਅਤੇ ਕਨੂੰਨਾਂ ਨੂੰ ਸੁਣੋ, ਜਿਹੜੇ ਮੈਂ ਅੱਜ, ਤੁਹਾਡੇ ਕੰਨਾਂ ਵਿੱਚ ਪਾਉਂਦਾ ਹਾਂ। ਇਹਨਾਂ ਨੂੰ ਸਿੱਖੋ ਅਤੇ ਇਹਨਾਂ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਮੰਨੋ।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 2] ਯਹੋਵਾਹ ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਹੋਰੇਬ ਵਿੱਚ ਸਾਡੇ ਨਾਲ ਨੇਮ ਬੰਨ੍ਹਿਆ,
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 3] ਯਹੋਵਾਹ ਨੇ ਇਹ ਨੇਮ ਸਾਡੇ ਪੁਰਖਿਆਂ ਨਾਲ ਨਹੀਂ, ਪਰ ਸਾਡੇ ਨਾਲ ਬੰਨ੍ਹਿਆ, ਸਾਡੇ ਸਾਰਿਆਂ ਨਾਲ ਜਿਹੜੇ ਅੱਜ ਦੇ ਦਿਨ ਸਾਰੇ ਇੱਥੇ ਜੀਉਂਦੇ ਹਾਂ।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 4] ਯਹੋਵਾਹ ਅੱਗ ਦੇ ਵਿੱਚੋਂ ਦੀ ਪਰਬਤ ਉੱਤੋਂ ਤੁਹਾਡੇ ਨਾਲ ਆਹਮੋ-ਸਾਹਮਣੇ ਹੋ ਕੇ ਬੋਲਿਆ,
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 5] (ਉਸ ਸਮੇਂ ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਅਤੇ ਤੁਹਾਡੇ ਵਿਚਕਾਰ ਖੜ੍ਹਾ ਹੋਇਆ ਤਾਂ ਜੋ ਤੁਹਾਨੂੰ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਦੱਸਾਂ, ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਅੱਗ ਤੋਂ ਡਰਦੇ ਸੀ ਅਤੇ ਪਰਬਤ ਉੱਤੇ ਨਾ ਚੜ੍ਹੇ)।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 6] ਉਸ ਨੇ ਆਖਿਆ ਮੈਂ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ, ਜਿਹੜਾ ਤੈਨੂੰ ਮਿਸਰ ਦੇਸ਼ ਤੋਂ, ਅਰਥਾਤ ਗ਼ੁਲਾਮੀ ਦੇ ਘਰ ਤੋਂ ਕੱਢ ਲਿਆਇਆ ਹਾਂ।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 7] ਮੇਰੇ ਸਨਮੁਖ ਤੇਰੇ ਲਈ ਦੂਜੇ ਦੇਵਤੇ ਨਾ ਹੋਣ।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 8] ਤੂੰ ਆਪਣੇ ਲਈ ਘੜ੍ਹੀ ਹੋਈ ਮੂਰਤ ਨਾ ਬਣਾਈਂ, ਨਾ ਕਿਸੇ ਚੀਜ਼ ਦੀ ਸੂਰਤ ਜਿਹੜੀ ਉੱਪਰ ਅਕਾਸ਼ ਵਿੱਚ, ਹੇਠਾਂ ਧਰਤੀ ਉੱਤੇ, ਅਤੇ ਜਿਹੜੀ ਧਰਤੀ ਦੇ ਹੇਠਲੇ ਪਾਣੀਆਂ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 9] ਨਾ ਤੂੰ ਉਹਨਾਂ ਦੇ ਅੱਗੇ ਮੱਥਾ ਟੇਕ, ਨਾ ਉਹਨਾਂ ਦੀ ਪੂਜਾ ਕਰ ਕਿਉਂ ਜੋ ਮੈਂ ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਅਣਖ ਵਾਲਾ ਪਰਮੇਸ਼ੁਰ ਹਾਂ, ਜਿਹੜਾ ਪੁਰਖਿਆਂ, ਦੀ ਬੁਰਿਆਈ ਨੂੰ ਬੱਚਿਆਂ ਉੱਤੇ, ਅਤੇ ਆਪਣੇ ਵੈਰੀਆਂ ਦੀ ਤੀਜੀ ਅਤੇ ਚੌਥੀ ਪੀੜ੍ਹੀ ਉੱਤੇ ਲਿਆਉਂਦਾ ਹਾਂ,
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 10] ਪਰ ਜਿਹੜੇ ਮੇਰੇ ਨਾਲ ਪ੍ਰੇਮ ਰੱਖਦੇ ਹਨ ਅਤੇ ਮੇਰੇ ਹੁਕਮਾਂ ਨੂੰ ਮੰਨਦੇ ਹਨ, ਉਨ੍ਹਾਂ ਦੇ ਹਜ਼ਾਰਾਂ ਉੱਤੇ ਦਯਾ ਕਰਦਾ ਹਾਂ।
[IRV | PA | OT | Deuteronomy | Chapter 5 | Verse 11] ਤੂੰ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਨਾਮ ਵਿਅਰਥ ਨਾ ਲੈ ਕਿਉਂਕਿ ਜੋ ਕੋਈ ਉਹ ਦਾ ਨਾਮ ਵਿਅਰਥ ਲੈਂਦਾ ਹੈ, ਯਹੋਵਾਹ ਉਸ ਨੂੰ ਨਿਰਦੋਸ਼ ਨਾ ਠਹਿਰਾਵੇਗਾ।
