[IRV | MR | OT | Psalms | Chapter 145 | Verse 1] माझ्या देवा, हे राजा, मी तुझी खूप स्तुती करीन; मी सदासर्वकाळ व कायम तुझ्या नावाचा धन्यवाद करीन.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 2] प्रत्येक दिवशी मी तुझा धन्यवाद करीन. मी सदासर्वकाळ व कायम तुझ्या नावाचे स्तवन करीन.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 3] परमेश्वर महान आणि परमस्तुत्य आहे; त्याची महानता अनाकलनीय आहे.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 4] एक पिढी दुसऱ्या पिढीपुढे तुझ्या कृत्यांची प्रशंसा करीत राहील, आणि तुझ्या पराक्रमी कृतीचे वर्णन करतील.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 5] ते तुझ्या राजवैभवाचा गौरवयुक्त प्रतापाविषयी बोलतील, मी तुझ्या अद्भुत कार्यांचे मनन करीन.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 6] ते तुझ्या भयावह कृत्यांच्या पराक्रमाविषयी बोलतील, मी तुझ्या महिमेचे वर्णन करीन.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 7] ते तुझ्या विपुल अशा चांगुलपणाविषयी सांगतील, आणि तुझ्या न्यायीपणाबद्दल गाणे गातील.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 8] परमेश्वर दयाळू आणि कृपाळू आहे, तो मंदक्रोध व अतिदयाळू आहे.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 9] परमेश्वर सर्वांना चांगला आहे; त्याची कृपा त्याने केलेल्या सर्व कृत्यांवर आहे.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 10] हे परमेश्वरा, तू केलेली सर्व कृत्ये तुला धन्यवाद देतील; तुझे भक्त तुला धन्यवाद देतील.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 11] ते तुझ्या राज्याच्या गौरवाविषयी सांगतील, आणि तुझ्या सामर्थ्याविषयी बोलतील.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 12] हे यासाठी की, त्यांनी देवाची पराक्रमी कृत्ये आणि त्याच्या राज्याचे वैभवयुक्त ऐश्वर्य ही मानवजातीस कळवावी.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 13] तुझे राज्य युगानुयुग राहणारे राज्य आहे. आणि तुझा राज्याधिकार पिढ्यानपिढ्या टिकणारा आहे.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 14] पडत असलेल्या सर्वांना परमेश्वर आधार देतो, आणि वाकलेल्या सर्वांना तो उभे करतो.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 15] सर्वांचे डोळे तुझ्याकडे लागतात. आणि तू त्यांना योग्य वेळी त्यांचे अन्न देतोस.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 16] तू आपला हात उघडून प्रत्येक जिवंत प्राण्याची इच्छा तृप्त करतो.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 17] परमेश्वर आपल्या सर्व मार्गात न्यायी आहे; आणि तो आपल्या सर्व कृत्यात दयाळू आहे.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 18] जे कोणी त्याचा धावा करतात, जे सत्यतेने त्याचा धावा करतात, त्या सर्वांना परमेश्वर जवळ आहे.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 19] तो त्याचे भय धरणाऱ्यांची इच्छा पुरवतो; तो त्यांची आरोळी ऐकून त्यांना वाचवतो.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 20] परमेश्वर आपल्यावर प्रेम करणाऱ्या सर्वांचे रक्षण करतो. परंतु तो वाईटांचा नाश करतो.
[IRV | MR | OT | Psalms | Chapter 145 | Verse 21] माझे मुख परमेश्वराची स्तुती करील. सर्व मानवजात त्याच्या पवित्र नावाचा धन्यवाद सदासर्वकाळ व कायम करो.
