[IRV | MR | OT | Psalms | Chapter 38 | Verse 1] परमेश्वरा, तुझ्या क्रोधात मला ताडना करू नकोस, आणि तुझ्या कोपात मला शिक्षा करू नकोस.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 2] कारण तुझे बाण मला छेदतात, आणि तुझा हात मला खाली दाबतो आहे.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 3] माझे सर्व शरीर तुझ्या क्रोधाने आजारी झाले आहे. आणि माझ्या अपराधांमुळे माझ्या हाडांत स्वस्थता नाही.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 4] कारण माझ्या वाईट गोष्टींनी मला दडपून टाकले आहे. ते माझ्याकरिता फार जड असे ओझे झाले आहे.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 5] माझ्या पापाच्या मूर्खपणामुळे, माझ्या जखमा संसर्गजन्य आणि दुर्गंधित झाल्या आहेत.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 6] मी वाकलो आहे आणि प्रत्येक दिवशी मानहानी होते; दिवसभर मी शोक करतो.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 7] कारण लज्जेने मला गाठले आहे, आणि माझे सर्व शरीर आजारी आहे.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 8] मी बधिर आणि पूर्णपणे ठेचला गेलो आहे. आपल्या हृदयाच्या तळमळीने मी कण्हतो.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 9] हे प्रभू, तू माझ्या हृदयाची खोल उत्कंठ इच्छा समजतोस, आणि माझे कण्हणे तुझ्यापासून लपले नाही.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 10] माझे हृदय धडधडत आहे, माझी शक्ती क्षीण झाली आहे आणि माझी दृष्टीही अंधुक झाली आहे.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 11] माझ्या परिस्थितीमुळे माझे मित्र आणि माझे सोबती मला टाळतात, माझे शेजारी माझ्यापासून लांब उभे राहतात.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 12] जे माझा जीव घेऊ पाहतात ते माझ्यासाठी पाश मांडतात. जे माझी हानी करू पाहतात ते दिवसभर विध्वंसक आणि कपटाचे शब्द बोलतात.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 13] मी तर बहिर्‍यासारखा होऊन ऐकत नाही; मुक्यासारखा मी आपले तोंड उघडत नाही.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 14] ऐकू न येणाऱ्या माणसासारखा मी आहे, ज्याच्याकडे काही उत्तर नाही.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 15] परमेश्वरा, खचित मी तुझी वाट पाहीन. प्रभू माझ्या देवा, तू मला उत्तर देशील.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 16] कारण मी जर म्हणालो तू उत्तर दिले नाही, तर माझे शत्रू माझ्यावर आनंद करतील. जर माझा पाय घसरला, तर ते भयानक गोष्टी करतील.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 17] कारण मी अडखळून पडण्याच्या बेतास आलो आहे, आणि मी सतत यातनेत आहे.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 18] मी माझा अपराध कबूल करतो; मी माझ्या पापासंबंधी चिंताकुल आहे.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 19] परंतु माझे शत्रू असंख्य आहेत; जे माझा वाईटाने द्वेष करतात ते पुष्कळ आहेत.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 20] माझ्या चांगल्याची परतफेड ते वाईटाने करतात. जरी मी चांगले अनुसरलो. तरी माझ्यावर ते दोषारोपण करतात.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 21] हे परमेश्वरा, मला सोडू नकोस; माझ्या देवा, माझ्यापासून दूर राहू नकोस.
[IRV | MR | OT | Psalms | Chapter 38 | Verse 22] हे प्रभू, माझ्या तारणाऱ्या, माझे साहाय्य करण्यास त्वरा कर.
