[IRV | MR | OT | Psalms | Chapter 106 | Verse 1] परमेश्वराची स्तुती करा. परमेश्वर चांगला आहे म्हणून त्यास धन्यवाद द्या. कारण त्याची कराराची विश्वसनीयता सर्वकाळ टिकून राहते.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 2] परमेश्वराच्या पराक्रमाची कृत्ये कोण कथन करू शकेल? किंवा त्याची सर्व स्तुत्य कृत्ये कोण पूर्ण जाहीर करील?
[IRV | MR | OT | Psalms | Chapter 106 | Verse 3] जे काही योग्य आहे ते करतात आणि ज्याची कृत्ये न्याय्य आहेत ते आशीर्वादित आहेत.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 4] हे परमेश्वरा, तू जेव्हा आपल्या लोकांवर कृपा दाखवतोस तेव्हा माझी आठवण कर; तू त्यांना जेव्हा तारशील मला मदत कर.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 5] मग मी तुझ्या निवडलेल्यांचा उत्कर्ष पाहिन, परमेश्वरा, तुझ्या राष्ट्रांच्या आनंदाने मी हर्ष करीन, आणि तुझ्या वतनाबरोबर उत्सव करीन.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 6] आम्ही आमच्या पूर्वजांसारखेच पाप केले; आम्ही चूक केली आणि आम्ही दुष्कृत्ये केली.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 7] आमच्या वडिलांनी मिसर देशात तुझ्या आश्चर्यकारक कृत्याचे महत्व ओळखले नाही; त्यांनी तुझ्या कराराच्या विश्वसनीयतेच्या कृत्यांकडे दुर्लक्ष केले; तर समुद्राजवळ, लाल समुद्राजवळ त्यांनी बंडखोरी केली.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 8] तरीसुद्धा, आपल्या नावाकरिता त्याने त्यांचे तारण केले, यासाठी की, त्याने आपले सामर्थ्य उघड करावे.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 9] त्याने लाल समुद्राला धमकावले आणि तो कोरडा झाला. मग त्याने त्यांना मैदानातून चालावे तसे खोल पाण्याच्या जागेतून नेले.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 10] त्यांचा द्वेष करणाऱ्याच्या हातातून त्याने त्यास वाचवले, आणि त्यांना त्यांच्या शत्रूंच्या शक्तीपासून सोडवले.
[IRV | MR | OT | Psalms | Chapter 106 | Verse 11] परंतु त्यांच्या शत्रूंना पाण्याने झाकून टाकले. त्यापैकी एकही जण वाचला नाही.
