[IRV | MR | OT | Psalms | Chapter 143 | Verse 1] हे परमेश्वरा, माझी प्रार्थना ऐक; माझ्या विनवणीकडे कान दे. तू आपल्या विश्वासाने आणि न्यायीपणाने मला उत्तर दे.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 2] तू आपल्या सेवकाबरोबर न्यायनिवाड्यात प्रवेश करू नकोस. कारण तुझ्या दृष्टीने कोणीही नितीमान नाही.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 3] शत्रू माझ्या जिवाचा पाठलाग करीत आहेत; त्यांनी माझे जीवन धुळीस मिळवले आहे; पुरातन काळच्या मेलेल्यासारखे त्याने मला अंधकाराच्या स्थळी राहण्यास लाविले आहे.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 4] माझ्याठायी माझा आत्मा व्याकुळ झाला आहे; माझे हृदय घाबरे झाले आहे.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 5] मी पूर्वीचे दिवस आठवतो; मी तुझ्या सर्व कृत्यांवर मनन करतो; तुझ्या हाताने सिद्धीस नेलेल्या कामावर विचार करतो.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 6] मी प्रार्थनेत आपले हात तुझ्यापुढे पसरतो; शुष्क भूमीप्रमाणे माझा जीव तुझ्यासाठी तहानेला झाला आहे.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 7] हे परमेश्वरा, त्वरा करून मला उत्तर दे कारण माझा आत्मा क्षीण झाला आहे. माझ्यापासून तू आपले मुख लपवू नकोस, किंवा लपवशील तर मी गर्तेत उतरणाऱ्यांसारखा होईन.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 8] सकाळी मला तुझ्या वात्सल्याचे शब्द ऐकू दे, कारण मी तुझ्यावर भरवसा ठेवला आहे. ज्या मार्गाने मी चालावे तो मला दाखव, कारण मी आपला जीव तुझ्याकडे उंचावतो.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 9] हे परमेश्वरा, माझ्या शत्रूपासून माझे रक्षण कर. मी लपण्यासाठी तुझ्याकडे धाव घेतो.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 10] मला तुझ्या इच्छेप्रमाणे करण्यास शिकव, कारण तू माझा देव आहेस. तुझा चांगला आत्मा मला सरळपणाच्या देशात नेवो.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 11] हे परमेश्वरा, तुझ्या नावाकरता मला सजीव कर. तुझ्या न्यायीपणाने माझा जीव संकटातून वर काढ.
[IRV | MR | OT | Psalms | Chapter 143 | Verse 12] तू आपल्या दयेने माझ्या शत्रूंचा नायनाट कर; आणि माझ्या जीवनातील सर्व शत्रूंचा नाश कर, कारण मी तुझा दास आहे.
