[IRV | MR | OT | Psalms | Chapter 135 | Verse 1] परमेश्वराची स्तुती करा. परमेश्वराच्या नावाची स्तुती करा. परमेश्वराच्या सेवकांनो, तुम्ही त्याची स्तुती करा.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 2] परमेश्वराच्या घरात उभे राहाणाऱ्यांनो, आमच्या देवाच्या घराच्या अंगणात उभे राहाणाऱ्यांनो, तुम्ही त्याची स्तुती करा.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 3] परमेश्वराची स्तुती करा, कारण तो चांगला आहे; त्याच्या नावाचे गुणगान करा कारण ते करणे आनंददायक आहे.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 4] कारण परमेश्वराने याकोबाला आपल्यासाठी निवडले आहे, इस्राएल त्याच्या मालमत्तेप्रमाणे आहे.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 5] परमेश्वर महान आहे हे मला माहीत आहे, आमचा प्रभू सर्व देवांच्या वर आहे.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 6] परमेश्वराची जी इच्छा आहे तसे तो आकाशात, पृथ्वीवर, समुद्रात आणि खोल महासागरात करतो.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 7] तो पृथ्वीच्या शेवटापासून ढग वर चढवतो. तो पावसासाठी विजा निर्माण करतो; आणि आपल्या भांडारातून वारे बाहेर आणतो.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 8] त्याने मिसर देशातील मनुष्यांचे आणि प्राण्यांचे दोघांचे पहिले जन्मलेले मारून टाकले.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 9] हे मिसरा, त्याने तुझ्यामध्ये, फारो व त्याचे सर्व सेवक यांच्याविरूद्ध चिन्ह व चमत्कार पाठवले.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 10] त्याने पुष्कळ राष्ट्रांवर हल्ला केला, आणि शक्तीमान राजांना मारून टाकले,
[IRV | MR | OT | Psalms | Chapter 135 | Verse 11] अमोऱ्यांचा राजा सीहोन व बाशानाचा राजा ओग आणि कनानमधल्या सर्व राज्यांचा पराभव केला.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 12] त्यांचा देश त्याने वतन असा दिला, आपल्या इस्राएल लोकांसाठी वतन करून दिला.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 13] हे परमेश्वरा, तुझे नाव सर्वकाळ टिकून राहिल, हे परमेश्वरा, तुझी किर्ती सर्व पिढ्यानपिढ्या राहील.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 14] कारण परमेश्वर आपल्या लोकांचा न्याय करील, आणि त्यास आपल्या सेवकांचा कळवळा येईल.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 15] राष्ट्रांच्या मूर्ती सोन्या व रुप्याच्या आहेत, त्या मनुष्याच्या हाताचे काम आहेत.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 16] त्या मूर्त्यांना तोंड आहे, पण त्या बोलत नाहीत; त्यांना डोळे आहेत पण त्या पाहत नाहीत.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 17] त्यांना कान आहेत, पण त्या ऐकत नाहीत, त्यांच्या मुखात मुळीच श्वास नाही.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 18] जे त्या बनवितात, जे प्रत्येकजण त्याच्यावर भरवसा ठेवणारे त्यांच्यासारख्याच त्या आहेत.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 19] हे इस्राएलाच्या वंशजांनो, परमेश्वराचा धन्यवाद करा; अहरोनाच्या वंशजांनो, परमेश्वराचा धन्यवाद करा.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 20] लेवीच्या वंशजांनो, परमेश्वराचा धन्यवाद करा. परमेश्वराचा आदर करणाऱ्यांनो परमेश्वराचा धन्यवाद करा.
[IRV | MR | OT | Psalms | Chapter 135 | Verse 21] जो परमेश्वर यरूशलेमेत राहतो, त्याचा धन्यवाद सियोनेत होवो. परमेश्वराची स्तुती करा.
