[IRV | MR | OT | Psalms | Chapter 69 | Verse 1] हे देवा, मला तार; कारण पाणी माझ्या गळ्याशी येऊन पोहचले आहे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 2] मी खोल चिखलात बुडत आहे, तेथे मला उभे राहण्यास ठिकाण नाही; मी खोल पाण्यात आलो आहे, तेथे पुराचे पाणी माझ्यावरून वाहत आहे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 3] माझ्या रडण्याने मी थकलो आहे; माझा घसा कोरडा पडला आहे; माझ्या देवाची वाट पाहता माझे डोळे शिणले आहेत.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 4] विनाकारण माझा द्वेष करणारे माझ्या डोक्यावरील केसांपेक्षाही अधिक आहेत; जे अन्यायाने माझे वैरी असून मला कापून काढायला पाहतात ते बलवान आहेत; जे मी चोरले नव्हते, ते मला परत करावे लागले.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 5] हे देवा, तू माझा मूर्खापणा जाणतो, आणि माझी पापे तुझ्यापासून लपली नाहीत.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 6] हे प्रभू, सेनाधीश परमेश्वरा, जे तुझी प्रतिक्षा करतात, त्यांच्या फजितीला मी कारण होऊ नये. हे इस्राएलाच्या देवा, जे तुला शोधतात त्यांच्या अप्रतिष्ठेला मी कारण होऊ नये.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 7] कारण तुझ्याकरता मी निंदा सहन केली आहे; लाजेने माझे तोंड झाकले आहे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 8] मी आपल्या बंधूला परका झालो आहे, आपल्या आईच्या मुलांस विदेशी झालो आहे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 9] कारण तुझ्या मंदीराविषयीच्या आवेशाने मला खाऊन टाकले आहे, आणि तुझी निंदा करणाऱ्यांनी केलेल्या निंदा माझ्यावर पडल्या आहेत.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 10] जेव्हा मी रडलो आणि उपवास करून माझ्या जिवाला शिक्षा केली, तेव्हा ते जसे माझ्या स्वतःची निंदा होती.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 11] जेव्हा मी गोणपाट आपले वस्र केले, तेव्हा मी त्यांना उपहास असा झालो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 12] जे नगराच्या वेशीत बसतात; ते माझी निंदा करतात; मी मद्यप्यांचा गीत झालो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 13] पण मी तर हे परमेश्वरा, माझी प्रार्थना तू, स्वीकारशील अशा वेळेला करतो; हे देवा, तू आपल्या विपुल दयेस अनुसरून व आपल्या तारणाच्या सत्यास अनुसरून मला उत्तर दे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 14] मला चिखलातून बाहेर काढ, आणि त्यामध्ये मला बुडू देऊ नकोस; माझा तिरस्कार करणाऱ्यापासून मला वाचव. खोल पाण्यापासून मला काढ.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 15] पुराच्या पाण्याने मला पूर्ण झाकून टाकू नकोस, खोल डोह मला न गिळो. खाच आपले तोंड माझ्यावर बंद न करो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 16] हे परमेश्वरा, मला उत्तर दे, कारण तुझ्या कराराची विश्वसनियता उत्तम आहे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 17] आपल्या सेवकापासून आपले तोंड लपवू नकोस, कारण मी क्लेशात आहे; मला त्वरीत उत्तर दे.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 18] माझ्या जिवाजवळ ये आणि त्यास खंडून घे; माझ्या शत्रूंमुळे खंडणी भरून मला सोडव.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 19] तुला माझी निंदा, माझी लाज आणि माझी अप्रतिष्ठा माहित आहे; माझे विरोधक माझ्यापुढे आहेत;
[IRV | MR | OT | Psalms | Chapter 69 | Verse 20] निंदेने माझे हृदय तुटले आहे; मी उदासपणाने भरलो आहे; माझी कीव करणारा कोणीतरी आहे का हे मी पाहिले, पण तेथे कोणीच नव्हता; मी सांत्वनासाठी पाहिले, पण मला कोणी सापडला नाही.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 21] त्यांनी मला खाण्यासाठी विष दिले; मला तहान लागली असता आंब दिली
[IRV | MR | OT | Psalms | Chapter 69 | Verse 22] त्यांचे मेज त्यांच्यापुढे पाश होवोत; जेव्हा ते सुरक्षित आहेत असा विचार करतील, तो त्यांना सापळा होवो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 23] त्यांचे डोळे आंधळे होवोत यासाठी की, त्यांना काही दिसू नये; आणि त्यांची कंबर नेहमी थरथर कापावी असे कर.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 24] तू त्यांच्यावर आपला संताप ओत, आणि तुझ्या संतापाची तीव्रता त्यांना गाठो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 25] त्यांची ठिकाणे ओसाड पडो; त्यांच्या तंबूत कोणीही न राहो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 26] कारण ज्याला तू दणका दिला त्याचा ते छळ करतात; तू ज्यांस जखमी केलेस त्यांच्या वेदनेविषयी ते दुसऱ्याला सांगतात.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 27] ते अन्यायानंतर अन्याय करतात त्यांना दोष लाव; तुझ्या न्यायाच्या विजयात त्यांना येऊ देऊ नको.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 28] जीवनाच्या पुस्तकातून त्यांची नावे खोडली जावोत, आणि नितिमानांबरोबर त्यांची नावे लिहिली न जावोत.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 29] पण मी गरीब आणि दु:खी आहे; हे देवा, तुझे तारण मला उंचावर नेवो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 30] मी देवाच्या नावाची स्तुती गाणे गाऊन करीन, आणि धन्यवाद देऊन त्यास उंचाविन.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 31] ते बैलापेक्षा, शिंगे असलेल्या, किंवा दुभागलेल्या खुराच्या गोऱ्ह्यांपेक्षा परमेश्वरास आवडेल.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 32] लीनांनी हे पाहिले आहे आणि हर्षित झाले; जे देवाचा शोध घेतात त्या तुमचे हृदय जिवंत होवो.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 33] कारण परमेश्वर गरजवंताचे ऐकतो आणि आपल्या बंदिवानांचा तिरस्कार करत नाही.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 34] आकाश, पृथ्वी, समुद्र आणि त्यामध्ये संचार करणारे प्रत्येकगोष्ट त्याची स्तुती करा.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 35] कारण देव सियोनेला तारील आणि यहूदाची नगरे पुन्हा बांधील; लोक तेथे राहतील आणि ते त्यांच्या मालकीचे होईल.
[IRV | MR | OT | Psalms | Chapter 69 | Verse 36] त्याच्या सेवकाचे वंशजही ते वतन करून घेतील; आणि ज्यांना त्याचे नाव प्रिय आहे ते तेथे राहतील.
