[IRV | MR | OT | Psalms | Chapter 76 | Verse 1] यहूदात देव कळाला आहे, इस्राएलामध्ये त्याचे नाव थोर आहे.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 2] शालेममध्ये त्याचा मंडप आहे, आणि सियोनेत त्याची गुहा आहे.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 3] तेथे त्याने धनुष्य बाण, ढाली, तलवारी आणि इतर शस्त्रे मोडून टाकली आहेत.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 4] तू जेथे शत्रूंना ठार केलेस, त्या डोंगरावरून उतरताना तू तेजस्वी चमकतोस आणि तुझे वैभव प्रकट करतोस.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 5] जे हृदयाचे धाडसी ते लुटले गेले आहेत, ते झोपी गेले आहेत, सर्व योद्धे असहाय्य झाले आहेत.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 6] हे याकोबाच्या देवा, तुझ्या युद्धाच्या आरोळीने, रथ आणि घोडे दोन्हीपण झोपी गेलेत आहेत.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 7] तू, होय तुच, ज्याचे भय धरावे असा आहेस. असा कोण आहे कि तू रागावतोस तेव्हा तुझ्या दृष्टीस उभा राहील?
[IRV | MR | OT | Psalms | Chapter 76 | Verse 8] तुझा न्याय आकाशातून आला, आणि पृथ्वी भयभित व नि:शब्द झाली.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 9] देवा, तू, पृथ्वीवरील खिन्न झालेल्यांना तारायला, न्याय अमलांत आणण्यास उठला आहे.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 10] खचित त्या लोकांविषयी तुझा क्रोधित न्याय, तुला स्तुती मिळवून देईल. तुझा क्रोध तू पूर्णपणे प्रगट केला आहे.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 11] परमेश्वर तुमच्या देवाला नवस करून फेडा, ज्याचे भय धरणे योग्य आहे, जे तुम्ही त्याच्या सभोवती आहात, त्यास भेटी आणा.
[IRV | MR | OT | Psalms | Chapter 76 | Verse 12] तो अधिकाऱ्यांच्या आत्म्याला नम्र करतो. पृथ्वीच्या राजांना तो भयावह असा आहे.
