[IRV | MR | OT | Psalms | Chapter 51 | Verse 1] हे देवा, तू आपल्या प्रेमदयेमुळे माझ्यावर दया कर, तुझ्या पुष्कळ दयाळूपणाच्या कृत्यांनी माझ्या अपराधांचे डाग पुसून टाक.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 2] देवा माझे अपराध धुऊन टाक, आणि मला माझ्या पापांपासून शुद्ध कर.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 3] कारण माझे अपराध मला माहित आहेत. आणि माझी पातके नित्य माझ्यासमोर आहेत.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 4] तुझ्याविरूद्ध, फक्त तुझ्याविरूद्ध मी पाप केले आहे, आणि तुझ्या दृष्टीने जे वाईट ते मी केले आहे. जेव्हा तू बोलतोस तर तू सत्य बोलतो. तू न्याय करतो तेव्हा योग्य करतो.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 5] पाहा! मी जन्मापासूनच पापी आहे, आणि पापांतच माझ्या आईने माझा गर्भ धारण केला.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 6] पाहा! तू माझ्या हृदयात सत्यतेची इच्छा धरतो, तू माझ्या हृदयास ज्ञानाची ओळख करून दे.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 7] मला शुध्द करण्यासाठी तू एजोब वनस्पती वापर, मी शुद्ध होईन, मला धुऊन शुद्ध कर आणि मी बर्फापेक्षा शुद्ध होईन.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 8] आनंद व हर्ष मला ऐकू दे, म्हणजे तू मोडलेली माझी हाडे हर्ष करतील.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 9] माझ्या पापांकडे बघू नकोस, माझ्या सर्व अपराधांचे डाग पुसून टाक.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 10] देवा, माझ्याठायी पवित्र हृदय निर्माण कर. आणि माझ्या मध्ये स्थीर असा आत्मा पुन्हा घाल.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 11] तुझ्या उपस्थितीतून मला दूर लोटू नकोस, आणि तुझा पवित्र आत्मा माझ्यातून काढून घेऊ नकोस.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 12] तू केलेल्या तारणाचा आनंद मला पुन्हा होऊ दे, आणि उत्सुक आत्म्याने मला सावरून धर.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 13] तेव्हा मी पापी लोकांस तुझे मार्ग शिकविन आणि पापी तुझ्याकडे परिवर्तित होतील.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 14] हे माझ्या तारणाऱ्या देवा, रक्तपाताच्या दोषापासून मला क्षमा कर, आणि मी तुझ्या न्यायीपणाबद्दल मोठ्याने ओरडेन.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 15] प्रभू, माझे ओठ उघड, आणि माझे तोंड तुझी स्तुती वर्णन करेल.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 16] कारण यज्ञाची आवड तुला नाही, नाहीतर मी ते दिले असते, होमार्पणाने तुला संतोष होत नाही.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 17] देवाचा यज्ञ म्हणजे, तुटलेले हृदय, तुटलेले आणि पश्चातापी हृदय तू तुच्छ मानणार नाहीस.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 18] हे देवा, तू प्रसन्न होऊन सियोनेचे चांगले कर. आणि यरूशलेमेच्या भींती पुन्हा बांध.
[IRV | MR | OT | Psalms | Chapter 51 | Verse 19] तेव्हा न्यायीपणाचे यज्ञ, होमार्पणे, आणि सकल होमार्पणे तुला आवडतील. तेव्हा तुझ्या वेदीवर बैल अर्पिले जातील.
