[IRV | MR | OT | Psalms | Chapter 49 | Verse 1] सर्व लोकांनो, हे ऐका. जगाचे सर्व रहिवासी, तुम्ही हे ऐका.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 2] गरीब आणि श्रीमंत दोघेही, उच्च आणि नीच.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 3] माझे मुख ज्ञान बोलेल, आणि माझ्या हृदयातील विचार समंजसपणाचे असणार.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 4] मी दृष्टांताकडे आपले कान लावीन, मी आपली गोष्ट वीणे सोबत सुरु करणार.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 5] संकटाच्या दिवसात, जेव्हा अन्याय माझ्या पायाला वेढा घालतो, तेव्हा मी कशाला घाबरू?
[IRV | MR | OT | Psalms | Chapter 49 | Verse 6] जे आपल्या संपत्तीवर भरवसा ठेवतात, आणि आपल्या धनाच्या विपुलतेविषयी बढाई मारतात,
[IRV | MR | OT | Psalms | Chapter 49 | Verse 7] त्यातील कोणीही आपल्या भावाला खंडून घेण्यास समर्थ नाही, किंवा त्याच्यासाठी देवाकडे खंडणी देववत नाही.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 8] कारण त्यांच्या जीवाची खंडणी महाग आहे, आणि तिची भरपाई करणे कधीच शक्य नाही.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 9] यासाठी की त्यांना सर्वकाळ जगावे, म्हणजे त्यांचे शरीर कुजणार नाही.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 10] कारण सर्वजण बघतात की बुद्धीमान मरतो, मूर्ख आणि मतिमंद नष्ट होतो. आणि आपली संपत्ती इतरांसाठी सोडून जातात.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 11] त्यांच्या मनातील विचार हे असतात की, त्यांचे कुटूंब सर्वकाळ राहणार, आणि ज्या ठिकाणी ते राहतात ते पिढ्यानपिढ्या राहणार, ते आपल्या भूमीस आपले नाव देतात.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 12] परंतु संपत्ती असणारा मनुष्य सर्वकाळ राहत नाही, तो पशूसारखाच नाश होणारा आहे.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 13] हा त्यांचा मार्ग मुर्खपण आहे, तरी त्यांच्या मागे येणारे त्याचे असे म्हणजे मंजूर करतो.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 14] ते कळपाप्रमाणे नेमलेले आहेत, जे मृतलोकांत जातात. मरण त्यांचा मेंढपाळ आहे. सरळ त्यांच्यावर धनीपण करतील असे सामर्थ्य त्यांना असेल.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 15] परंतु देव मृतलोकांच्या सामर्थ्यापासून माझा जीव खंडून घेणार. तो मला जवळ करणार.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 16] जेव्हा कोणी श्रीमंत होतो आणि त्याच्या घराचे सामर्थ्य वाढते, तर तू भयभीत होऊ नको.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 17] कारण तो मरेल तेव्हा काहीच सोबत घेऊन जाणार नाही. त्याचे सामर्थ्य त्याच्या मागे खाली उतरणार नाही.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 18] जरी तो आपल्या जीवनात आपल्या जीवाला आशीर्वाद देत असेल, आणि तू आपल्यासाठी जगला असता मनुष्यांनी तुझी स्तुती केली.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 19] तरी तो आपल्या वडिलांच्या पिढीकडे जाणार, ते कधीच प्रकाश पाहणार नाहीत.
[IRV | MR | OT | Psalms | Chapter 49 | Verse 20] ज्याकडे संपत्ती आहे, परंतु त्यास काही समजत नाही, तर तो नाश होणाऱ्या पशूसारखा आहे.
