[IRV | MR | OT | Psalms | Chapter 17 | Verse 1] हे परमेश्वरा, न्यायासाठी माझी विनवणी ऐक. माझ्या रडण्याकडे लक्ष दे! माझ्या निष्कपट ओठातून जी प्रार्थना निघते तिच्याकडे कान दे.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 2] तुझ्या उपस्थितीत माझा न्याय कर; जे खरे ते तुझे डोळे पाहोत.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 3] तू माझे हृदय पारखले आहे, रात्री तू झडती घेतली आहेस, तू मला गाळून पाहिले आहे, तरी तुला काही सापडत नाही, माझे तोंड पाप करणार नाही असा निश्चय मी केला आहे.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 4] मानवजातीच्या कृत्यांसंबंधित, तुझ्या ओठांच्या वचनांकडून मी आपणाला अनिष्ट करणाऱ्यांपासून राखले आहे.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 5] माझ्या पावलांनी तुझे मार्ग घट्ट धरले आहेत, माझे पाय घसरले नाहीत.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 6] देवा, मी तुला हाक मारतो, कारण तू उत्तर देतोस, तुझे कान माझ्याकडे फिरव आणि माझे बोलने ऐक.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 7] जो तू आपल्या उजव्या हाताने तुझ्यामध्ये आश्रय घेणाऱ्यास त्यांच्या शत्रूंपासून वाचवतो, तो तू तुझी आश्चर्यजनक प्रेमदया दाखव.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 8] तुझ्या डोळ्यातल्या बुबुळाप्रमाणे माझे रक्षण कर; मला तुझ्या पंखाच्या सावलीखाली लपव.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 9] वाईट लोक जे माझ्यावर हल्ला करतात, माझे शत्रू ज्यांनी मला घेरले आहे, त्यांच्यापासून माझे रक्षण कर.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 10] त्यांना कोणाची दया येत नाही, त्यांचे मुख गर्वाने बोलते.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 11] त्यांनी माझ्या पावलांना घेरले आहे, मला भूमीवर पाडावयास ते आपली दृष्टी लावत आहेत.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 12] एखाद्याचा बळी घेण्यास उत्सुक असणाऱ्या सिंहासारखे ते आहेत, जसा तरुण सिंह जो लपून बसला आहे.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 13] परमेश्वरा, ऊठ! त्यांच्यावर हल्ला कर! त्यांच्या तोंडावर त्यांना पाड! तुझ्या तलवारीने तू माझा जीव दुष्टापासून वाचव.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 14] परमेश्वरा, ज्यांचे वैभव या जीवनातच आहे, आणि ज्यांचे पोट तू आपल्या धनाने भरतोस, अशा मनुष्यांपासून तू आपल्या हाताने मला वाचव. ते आपल्या संततीने तृप्त आहेत, आणि ते आपले उरलेले द्रव्य आपल्या मुलाबाळांसाठी मागे ठेवतात.
[IRV | MR | OT | Psalms | Chapter 17 | Verse 15] मी न्यायीपणात तुझे मुख पाहीन, जेव्हा मी जागा होईन, तेव्हा तुझ्या दर्शनाने मी समाधानी होईन.
