[IRV | MR | OT | Psalms | Chapter 25 | Verse 1] हे परमेश्वरा, मी आपला जीव तुझ्याकडे उंचावतो.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 2] माझ्या देवा, तुझ्यात माझा विश्वास आहे. मला निराश होऊ देऊ नको, माझे शत्रू माझ्यावर हर्ष न करोत.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 3] तुझ्या विश्वासणाऱ्याची कधी निराशा होत नाही. परंतु जे कारण नसताना विश्वासघात करतात, ते लाजवले जातील.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 4] हे परमेश्वरा तुझे मार्ग मला कळव, मला तुझे मार्ग शिकव.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 5] तू आपल्या सत्यात मला मार्ग दाखव आणि मला शिकव. कारण तू माझा तारणारा देव आहेस मी रोज तुझी वाट पाहतो.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 6] हे परमेश्वरा, तुझ्या दयाळू कृत्यांची आणि प्रेमदयेची आठवण कर.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 7] हे परमेश्वरा, माझे तरुणपणाचे पाप आणि माझा बंडखोरपणा आठवू नको. तू आपल्या प्रेमदयेला अनुसरून आपल्या चांगुलपणामुळे माझी आठवण कर.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 8] परमेश्वर चांगला आणि प्रामाणिक आहे. यास्तव तो पाप्यांस मार्ग शिकवतो.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 9] तो नम्र जणांस न्यायाने मार्गदर्शन करतो. आणि दीनांना आपला मार्ग शिकवीतो.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 10] जे त्याचे करार आणि वचने पाळतात त्यांच्यासाठी परमेश्वराचे मार्ग प्रेमदया व विश्वासयोग्य आहेत.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 11] परमेश्वरा, तुझ्या नामास्तव, माझ्या अपराधांची क्षमा कर, कारण ते खूप आहेत.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 12] परमेश्वराचे भय धरतो असा मनुष्य कोण आहे? प्रभू त्यास सूचना देईल, की त्याने कोणते मार्ग निवडावे.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 13] त्याचे जीवन चांगुलपणात जाईल, आणि त्याची संतान भूमीचे वतन पावतील.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 14] परमेश्वराचे सत्य त्याचे अनुकरण करणाऱ्यांबरोबर असते. आणि तो त्याचे करार कळवतो.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 15] मी नेहमी परमेश्वराकडे आपली दृष्टी लावतो. कारण तो माझे पाय जाळ्यातून मुक्त करतो.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 16] परमेश्वरा माझ्याकडे फिर आणि माझ्यावर दया कर. कारण मी एकटा आणि पीडलेला आहे.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 17] माझ्या हृदयाचा त्रास वाढला आहे, संकटातून मला तू काढ.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 18] परमेश्वरा, माझे दु:ख आणि कष्ट बघ, माझ्या सर्व पापांची क्षमा कर.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 19] माझ्या सर्व शत्रूंकडे पाहा, कारण ते पुष्कळ आहेत. ते माझा कठोरपणे तिरस्कार करतात.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 20] देवा, माझे रक्षण कर आणि मला वाचव. माझा तुझ्यावर विश्वास आहे, तेव्हा माझी निराशा करू नकोस.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 21] तुझा प्रामाणिकपणा आणि सरळपणा माझे रक्षण करोत. कारण माझा तुझ्यावर विश्वास आहे.
[IRV | MR | OT | Psalms | Chapter 25 | Verse 22] देवा, इस्राएलाच्या लोकांस त्यांच्या सर्व त्रासांपासून सोडव.
