[IRV | MR | OT | Psalms | Chapter 147 | Verse 1] परमेश्वराची स्तुती करा, कारण आमच्या देवाची स्तुती गाणे चांगले आहे; ते आनंददायक आहे व स्तुती करणे उचित आहे.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 2] परमेश्वर यरूशलेम पुन्हा बांधतो; तो इस्राएलाच्या विखुरलेल्या लोकांस एकत्र करतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 3] तो भग्नहृदयी जनांना बरे करतो, आणि त्यांच्या जखमांस पट्टी बांधतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 4] तो ताऱ्यांची मोजणी करतो; तो त्यांच्यातील प्रत्येकाला त्यांच्या नावाने हाक मारतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 5] आमचा प्रभू महान आणि सामर्थ्यात भयचकीत कार्ये करणारा आहे; त्याची बुद्धी मोजू शकत नाही.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 6] परमेश्वर जाचलेल्यास उंचावतो; तो वाईटांना खाली धुळीस मिळवतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 7] गाणे गाऊन परमेश्वराची उपकारस्तुती करा. वीणेवर आमच्या देवाचे स्तुतीगान करा.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 8] तो ढगांनी आकाश झाकून टाकतो, आणि पृथ्वीसाठी पाऊस तयार करतो, तो डोंगरावर गवत उगवतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 9] तो प्राण्यांना आणि जेव्हा कावळ्यांची पिल्ले कावकाव करतात त्यांना अन्न देतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 10] घोड्याच्या बलाने त्यास आनंद मिळत नाही; मनुष्याच्या शक्तीमान पायांत तो आनंद मानत नाही.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 11] जे परमेश्वराचा आदर करतात, जे त्याच्या दयेची आशा धरतात त्यांच्याबरोबर तो आनंदित होतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 12] हे यरूशलेमे, परमेश्वराची स्तुती कर; हे सियोने तू आपल्या देवाची स्तुती कर.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 13] कारण त्याने तुझ्या वेशींचे अडसर बळकट केले आहेत; त्याने तुझ्यामध्ये तुझी लेकरे आशीर्वादित केली आहेत.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 14] तो तुझ्या सीमांच्या आत भरभराट आणतो; तो तुला उत्कृष्ट गव्हाने तृप्त करतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 15] तो आपली आज्ञा पृथ्वीवर पाठवतो; त्याचा शब्द फार वेगाने धावतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 16] तो लोकरीसारखे बर्फ पसरतो; तो राखेसारखे दवाचे कण विखरतो.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 17] तो आपल्या गारांचा बर्फाच्या चुऱ्याप्रमाणे वर्षाव करतो; त्याने पाठवलेल्या गारठ्यापुढे कोण टिकेल?
[IRV | MR | OT | Psalms | Chapter 147 | Verse 18] तो आपली आज्ञा पाठवून त्यांना वितळवितो; तो आपला वारा वाहवितो व पाणी वाहू लागते.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 19] त्याने याकोबाला आपले वचन, इस्राएलाला आपले नियम व निर्णय सांगितले.
[IRV | MR | OT | Psalms | Chapter 147 | Verse 20] त्याने हे दुसऱ्या कोणत्याही राष्ट्रासाठी केले नाही; आणि त्यांनी त्याचे निर्णय जाणले नाहीत. परमेश्वराची स्तुती करा.
