[KJV | EN | OT | Genesis | Chapter 10 | Verse 1] Now these are the generations of the sons of Noah, Shem, Ham, and Japheth: and unto them were sons born after the flood.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 3] And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 4] And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 5] By these were the isles of the Gentiles divided in their lands; every one after his tongue, after their families, in their nations.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 6] And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 7] And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha: and the sons of Raamah; Sheba, and Dedan.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 8] And Cush begat Nimrod: he began to be a mighty one in the earth.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 9] He was a mighty hunter before the Lord: wherefore it is said, Even as Nimrod the mighty hunter before the Lord.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 10] And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 11] Out of that land went forth Asshur, and builded Nineveh, and the city Rehoboth, and Calah,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 12] and Resen between Nineveh and Calah: the same is a great city.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 13] And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 14] and Pathrusim, and Casluhim, (out of whom came Philistim) and Caphtorim.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 15] And Canaan begat Sidon his firstborn, and Heth,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 16] and the Jebusite, and the Amorite, and the Girgashite,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 17] and the Hivite, and the Arkite, and the Sinite,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 18] and the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanites spread abroad.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 19] And the border of the Canaanites was from Sidon, as thou comest to Gerar, unto Gaza; as thou goest unto Sodom, and Gomorrah, and Admah, and Zeboim, even unto Lasha.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 20] These are the sons of Ham, after their families, after their tongues, in their countries, and in their nations.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 21] Unto Shem also, the father of all the children of Eber, the brother of Japheth the elder, even to him were children born.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 22] The children of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 23] And the children of Aram; Uz, and Hul, and Gether, and Mash.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 24] And Arphaxad begat Salah; and Salah begat Eber.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 25] And unto Eber were born two sons: the name of one was Peleg; for in his days was the earth divided; and his brother’s name was Joktan.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 26] And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 27] and Hadoram, and Uzal, and Diklah,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 28] and Obal, and Abimael, and Sheba,
[KJV | EN | OT | Genesis | Chapter 10 | Verse 29] and Ophir, and Havilah, and Jobab: all these were the sons of Joktan.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 30] And their dwelling was from Mesha, as thou goest unto Sephar, a mount of the east.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 31] These are the sons of Shem, after their families, after their tongues, in their lands, after their nations.
[KJV | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of the sons of Noah, after their generations, in their nations: and by these were the nations divided in the earth after the flood.
