[KJV | EN | OT | Genesis | Chapter 11 | Verse 1] And the whole earth was of one language, and of one speech.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 2] And it came to pass, as they journeyed from the east, that they found a plain in the land of Shinar; and they dwelt there.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 3] And they said one to another, Go to, let us make brick, and burn them thoroughly. And they had brick for stone, and slime had they for morter.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 4] And they said, Go to, let us build us a city and a tower, whose top may reach unto heaven; and let us make us a name, lest we be scattered abroad upon the face of the whole earth.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 5] And the Lord came down to see the city and the tower, which the children of men builded.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 6] And the Lord said, Behold, the people is one, and they have all one language; and this they begin to do: and now nothing will be restrained from them, which they have imagined to do.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 7] Go to, let us go down, and there confound their language, that they may not understand one another’s speech.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 8] So the Lord scattered them abroad from thence upon the face of all the earth: and they left off to build the city.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 9] Therefore is the name of it called Babel; because the Lord did there confound the language of all the earth: and from thence did the Lord scatter them abroad upon the face of all the earth.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 10] These are the generations of Shem: Shem was an hundred years old, and begat Arphaxad two years after the flood:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 11] and Shem lived after he begat Arphaxad five hundred years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 12] And Arphaxad lived five and thirty years, and begat Salah:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 13] and Arphaxad lived after he begat Salah four hundred and three years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 14] And Salah lived thirty years, and begat Eber:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 15] and Salah lived after he begat Eber four hundred and three years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 16] And Eber lived four and thirty years, and begat Peleg:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 17] and Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 18] And Peleg lived thirty years, and begat Reu:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 19] and Peleg lived after he begat Reu two hundred and nine years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 20] And Reu lived two and thirty years, and begat Serug:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 21] and Reu lived after he begat Serug two hundred and seven years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 22] And Serug lived thirty years, and begat Nahor:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 23] and Serug lived after he begat Nahor two hundred years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 24] And Nahor lived nine and twenty years, and begat Terah:
[KJV | EN | OT | Genesis | Chapter 11 | Verse 25] and Nahor lived after he begat Terah an hundred and nineteen years, and begat sons and daughters.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 26] And Terah lived seventy years, and begat Abram, Nahor, and Haran.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 27] Now these are the generations of Terah: Terah begat Abram, Nahor, and Haran; and Haran begat Lot.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 28] And Haran died before his father Terah in the land of his nativity, in Ur of the Chaldees.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 29] And Abram and Nahor took them wives: the name of Abram’s wife was Sarai; and the name of Nahor’s wife, Milcah, the daughter of Haran, the father of Milcah, and the father of Iscah.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 30] But Sarai was barren; she had no child.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 31] And Terah took Abram his son, and Lot the son of Haran his son’s son, and Sarai his daughter in law, his son Abram’s wife; and they went forth with them from Ur of the Chaldees, to go into the land of Canaan; and they came unto Haran, and dwelt there.
[KJV | EN | OT | Genesis | Chapter 11 | Verse 32] And the days of Terah were two hundred and five years: and Terah died in Haran.
