[KJV | EN | OT | Genesis | Chapter 49 | Verse 1] And Jacob called unto his sons, and said, Gather yourselves together, that I may tell you that which shall befall you in the last days.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 2] Gather yourselves together, and hear, ye sons of Jacob; And hearken unto Israel your father.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 3] Reuben, thou art my firstborn, My might, and the beginning of my strength, The excellency of dignity, and the excellency of power:
[KJV | EN | OT | Genesis | Chapter 49 | Verse 4] Unstable as water, thou shalt not excel; Because thou wentest up to thy father’s bed; Then defiledst thou it: he went up to my couch.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 5] Simeon and Levi are brethren; Instruments of cruelty are in their habitations.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 6] O my soul, come not thou into their secret; Unto their assembly, mine honour, be not thou united: For in their anger they slew a man, And in their selfwill they digged down a wall.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 7] Cursed be their anger, for it was fierce; And their wrath, for it was cruel: I will divide them in Jacob, And scatter them in Israel.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 8] Judah, thou art he whom thy brethren shall praise: Thy hand shall be in the neck of thine enemies; Thy father’s children shall bow down before thee.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 9] Judah is a lion’s whelp: From the prey, my son, thou art gone up: He stooped down, he couched as a lion, And as an old lion; who shall rouse him up?
[KJV | EN | OT | Genesis | Chapter 49 | Verse 10] The sceptre shall not depart from Judah, Nor a lawgiver from between his feet, Until Shiloh come; And unto him shall the gathering of the people be.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 11] Binding his foal unto the vine, And his ass’s colt unto the choice vine; He washed his garments in wine, And his clothes in the blood of grapes:
[KJV | EN | OT | Genesis | Chapter 49 | Verse 12] His eyes shall be red with wine, And his teeth white with milk.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 13] Zebulun shall dwell at the haven of the sea; And he shall be for a haven of ships; And his border shall be unto Zidon.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 14] Issachar is a strong ass Couching down between two burdens:
[KJV | EN | OT | Genesis | Chapter 49 | Verse 15] And he saw that rest was good, And the land that it was pleasant; And bowed his shoulder to bear, And became a servant unto tribute.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 16] Dan shall judge his people, As one of the tribes of Israel.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 17] Dan shall be a serpent by the way, An adder in the path, That biteth the horse heels, So that his rider shall fall backward.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 18] I have waited for thy salvation, O Lord.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 19] Gad, a troop shall overcome him: But he shall overcome at the last.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 20] Out of Asher his bread shall be fat, And he shall yield royal dainties.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 21] Naphtali is a hind let loose: He giveth goodly words.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 22] Joseph is a fruitful bough, Even a fruitful bough by a well; Whose branches run over the wall.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 23] The archers have sorely grieved him, And shot at him, and hated him:
[KJV | EN | OT | Genesis | Chapter 49 | Verse 24] But his bow abode in strength, And the arms of his hands were made strong By the hands of the mighty God of Jacob; (From thence is the shepherd, the stone of Israel:)
[KJV | EN | OT | Genesis | Chapter 49 | Verse 25] Even by the God of thy father, who shall help thee; And by the Almighty, who shall bless thee With blessings of heaven above, Blessings of the deep that lieth under, Blessings of the breasts, and of the womb:
[KJV | EN | OT | Genesis | Chapter 49 | Verse 26] The blessings of thy father have prevailed above the blessings of my progenitors Unto the utmost bound of the everlasting hills: They shall be on the head of Joseph, And on the crown of the head of him that was separate from his brethren.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 27] Benjamin shall ravin as a wolf: In the morning he shall devour the prey, And at night he shall divide the spoil.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 28] All these are the twelve tribes of Israel: and this is it that their father spake unto them, and blessed them; every one according to his blessing he blessed them.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 29] And he charged them, and said unto them, I am to be gathered unto my people: bury me with my fathers in the cave that is in the field of Ephron the Hittite,
[KJV | EN | OT | Genesis | Chapter 49 | Verse 30] in the cave that is in the field of Machpelah, which is before Mamre, in the land of Canaan, which Abraham bought with the field of Ephron the Hittite for a possession of a buryingplace.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 31] There they buried Abraham and Sarah his wife; there they buried Isaac and Rebekah his wife; and there I buried Leah.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 32] The purchase of the field and of the cave that is therein was from the children of Heth.
[KJV | EN | OT | Genesis | Chapter 49 | Verse 33] And when Jacob had made an end of commanding his sons, he gathered up his feet into the bed, and yielded up the ghost, and was gathered unto his people.
