[KJV | EN | OT | Genesis | Chapter 5 | Verse 1] This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;
[KJV | EN | OT | Genesis | Chapter 5 | Verse 2] male and female created he them; and blessed them, and called their name Adam, in the day when they were created.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 3] And Adam lived an hundred and thirty years, and begat a son in his own likeness, after his image; and called his name Seth:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 4] and the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 5] and all the days that Adam lived were nine hundred and thirty years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 6] And Seth lived an hundred and five years, and begat Enos:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 7] and Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 8] and all the days of Seth were nine hundred and twelve years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 9] And Enos lived ninety years, and begat Cainan:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 10] and Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 11] and all the days of Enos were nine hundred and five years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 12] And Cainan lived seventy years, and begat Mahalaleel:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 13] and Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 14] and all the days of Cainan were nine hundred and ten years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 15] And Mahalaleel lived sixty and five years, and begat Jared:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 16] and Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 17] and all the days of Mahalaleel were eight hundred ninety and five years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 18] And Jared lived an hundred sixty and two years, and he begat Enoch:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 19] and Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 20] and all the days of Jared were nine hundred sixty and two years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 21] And Enoch lived sixty and five years, and begat Methuselah:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 22] and Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 23] and all the days of Enoch were three hundred sixty and five years:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 24] and Enoch walked with God: and he was not; for God took him.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 25] And Methuselah lived an hundred eighty and seven years, and begat Lamech:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 26] and Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 27] and all the days of Methuselah were nine hundred sixty and nine years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 28] And Lamech lived an hundred eighty and two years, and begat a son:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 29] and he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the Lord hath cursed.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 30] And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:
[KJV | EN | OT | Genesis | Chapter 5 | Verse 31] and all the days of Lamech were seven hundred seventy and seven years: and he died.
[KJV | EN | OT | Genesis | Chapter 5 | Verse 32] And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.
