[KJV | EN | OT | Genesis | Chapter 31 | Verse 1] And he heard the words of Laban’s sons, saying, Jacob hath taken away all that was our father’s; and of that which was of our father’s hath he gotten all this glory.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 2] And Jacob beheld the countenance of Laban, and behold, it was not toward him as before.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 3] And the Lord said unto Jacob, Return unto the land of thy fathers, and to thy kindred; and I will be with thee.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 4] And Jacob sent and called Rachel and Leah to the field unto his flock,
[KJV | EN | OT | Genesis | Chapter 31 | Verse 5] and said unto them, I see your father’s countenance, that it is not toward me as before; but the God of my father hath been with me.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 6] And ye know that with all my power I have served your father.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 7] And your father hath deceived me, and changed my wages ten times; but God suffered him not to hurt me.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 8] If he said thus, The speckled shall be thy wages; then all the cattle bare speckled: and if he said thus, The ringstraked shall be thy hire; then bare all the cattle ringstraked.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 9] Thus God hath taken away the cattle of your father, and given them to me.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 10] And it came to pass at the time that the cattle conceived, that I lifted up mine eyes, and saw in a dream, and behold, the rams which leaped upon the cattle were ringstraked, speckled, and grisled.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 11] And the angel of God spake unto me in a dream, saying, Jacob: And I said, Here am I.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 12] And he said, Lift up now thine eyes, and see, all the rams which leap upon the cattle are ringstraked, speckled, and grisled: for I have seen all that Laban doeth unto thee.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 13] I am the God of Beth-el, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 14] And Rachel and Leah answered and said unto him, Is there yet any portion or inheritance for us in our father’s house?
[KJV | EN | OT | Genesis | Chapter 31 | Verse 15] Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 16] For all the riches which God hath taken from our father, that is ours, and our children’s: now then, whatsoever God hath said unto thee, do.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 17] Then Jacob rose up, and set his sons and his wives upon camels;
[KJV | EN | OT | Genesis | Chapter 31 | Verse 18] and he carried away all his cattle, and all his goods which he had gotten, the cattle of his getting, which he had gotten in Padan-aram, for to go to Isaac his father in the land of Canaan.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 19] And Laban went to shear his sheep: and Rachel had stolen the images that were her father’s.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 20] And Jacob stale away unawares to Laban the Syrian, in that he told him not that he fled.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 21] So he fled with all that he had; and he rose up, and passed over the river, and set his face toward the mount Gilead.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 22] And it was told Laban on the third day that Jacob was fled.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 23] And he took his brethren with him, and pursued after him seven days’ journey; and they overtook him in the mount Gilead.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 24] And God came to Laban the Syrian in a dream by night, and said unto him, Take heed that thou speak not to Jacob either good or bad.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 25] Then Laban overtook Jacob. Now Jacob had pitched his tent in the mount: and Laban with his brethren pitched in the mount of Gilead.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 26] And Laban said to Jacob, What hast thou done, that thou hast stolen away unawares to me, and carried away my daughters, as captives taken with the sword?
[KJV | EN | OT | Genesis | Chapter 31 | Verse 27] Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?
[KJV | EN | OT | Genesis | Chapter 31 | Verse 28] and hast not suffered me to kiss my sons and my daughters? thou hast now done foolishly in so doing.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 29] It is in the power of my hand to do you hurt: but the God of your father spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 30] And now, though thou wouldest needs be gone, because thou sore longedst after thy father’s house, yet wherefore hast thou stolen my gods?
[KJV | EN | OT | Genesis | Chapter 31 | Verse 31] And Jacob answered and said to Laban, Because I was afraid: for I said, Peradventure thou wouldest take by force thy daughters from me.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 32] With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what is thine with me, and take it to thee. For Jacob knew not that Rachel had stolen them.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 33] And Laban went into Jacob’s tent, and into Leah’s tent, and into the two maidservants’ tents; but he found them not. Then went he out of Leah’s tent, and entered into Rachel’s tent.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 34] Now Rachel had taken the images, and put them in the camel’s furniture, and sat upon them. And Laban searched all the tent, but found them not.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 35] And she said to her father, Let it not displease my lord that I cannot rise up before thee; for the custom of women is upon me. And he searched, but found not the images.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 36] And Jacob was wroth, and chode with Laban: and Jacob answered and said to Laban, What is my trespass? what is my sin, that thou hast so hotly pursued after me?
[KJV | EN | OT | Genesis | Chapter 31 | Verse 37] Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set it here before my brethren and thy brethren, that they may judge betwixt us both.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 38] This twenty years have I been with thee; thy ewes and thy she goats have not cast their young, and the rams of thy flock have I not eaten.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 39] That which was torn of beasts I brought not unto thee; I bare the loss of it; of my hand didst thou require it, whether stolen by day, or stolen by night.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 40] Thus I was in the day, the drought consumed me, and the frost by night; and my sleep departed from mine eyes.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 41] Thus have I been twenty years in thy house; I served thee fourteen years for thy two daughters, and six years for thy cattle: and thou hast changed my wages ten times.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 42] Except the God of my father, the God of Abraham, and the fear of Isaac, had been with me, surely thou hadst sent me away now empty. God hath seen mine affliction and the labour of my hands, and rebuked thee yesternight.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 43] And Laban answered and said unto Jacob, These daughters are my daughters, and these children are my children, and these cattle are my cattle, and all that thou seest is mine: and what can I do this day unto these my daughters, or unto their children which they have born?
[KJV | EN | OT | Genesis | Chapter 31 | Verse 44] Now therefore come thou, let us make a covenant, I and thou; and let it be for a witness between me and thee.
[KJV | EN | OT | Genesis | Chapter 31 | Verse 45] And Jacob took a stone, and set it up for a pillar.
