[IRV | BN | OT | Proverbs | Chapter 21 | Verse 1] সদাপ্রভুর হাতে রাজার হৃদয় জলপ্রবাহের মতো; তিনি যে দিকে চায়, সেই দিকে তা ফেরান।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 2] মানুষের সব পথই নিজের দৃষ্টিতে সরল, কিন্তু সদাপ্রভু হৃদয় সব ওজন করেন।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 3] ধার্ম্মিকতা ও ন্যায়ের কাজ সদাপ্রভুর কাছে বলিদানের থেকে গ্রাহ্য।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 4] অহঙ্কারী দৃষ্টি ও গর্বিত মন, দুষ্টদের সেই বাতি পাপময়।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 5] পরিশ্রমীর চিন্তা থেকে শুধু ধনলাভ হয়, কিন্তু যে কেউ তাড়াতাড়ি করে তার কাছে শুধু দারিদ্রতা আসে।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 6] মিথ্যাবাদী জিহ্বা দ্বারা যে ধনকোষ লাভ, তা দ্রুতগামী বাষ্পস্বরূপ, তার অন্বেষণকারী মৃত্যুর অন্বেষী।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 7] দুষ্টদের হিংস্রতা তাদেরকে উড়িয়ে দেয়, কারণ তারা ন্যায় আচরণ করতে অসম্মত।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 8] অপরাধী লোকের পথ বাঁকা; কিন্তু বিশুদ্ধ লোকের কাজ সরল।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 9] বরং ছাদের কোণে বাস করা ভাল, তবু বিবাদিন বন্দিনী স্ত্রীর সঙ্গে বাড়িতে বাস করা ভাল নয়।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 10] দুষ্টের প্রাণ মন্দের আকাঙ্খা করে, তার দৃষ্টিতে তার প্রতিবাসী দয়া পায় না।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 11] উপহাসককে শাস্তি দিলে অবোধ বুদ্ধিমান হয়, বুদ্ধিমানকে বুঝিয়ে দিলে সে জ্ঞান বৃদ্ধি করে।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 12] যিনি ধার্মিক, যিনি দুষ্টদের বংশের বিষয় বিবেচনা করেন; তিনি দুষ্টদেরকে নিক্ষেপ করে বিনাশ করেন।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 13] যে গরিবের কান্না শোনে না, সে নিজে ডাকবে, সে শুনতে পাবে না।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 14] গোপন দান রাগ শান্ত করে এবং গোপনভাবে দেওয়া উপহার শান্ত করে প্রচন্ড ক্রোধ।
[IRV | BN | OT | Proverbs | Chapter 21 | Verse 15] ন্যায় আচরণ ধার্ম্মিকের পক্ষে আনন্দ, কিন্তু অধর্মাচারীদের পক্ষে তা সর্বনাশ।
