[IRV | BN | OT | Proverbs | Chapter 11 | Verse 1] যে দাঁড়িপাল্লা সঠিক নয় সেটা সদাপ্রভু ঘৃণা করেন; কিন্তু সঠিক ওজনে তিনি সন্তুষ্ট হন।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 2] অহঙ্কার আসলে অপমানও আসে; কিন্তু মানবিকতার সঙ্গে প্রজ্ঞা আসে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 3] সরলদের ন্যায়পরায়ণতা তাদেরকে পথ দেখাবে; কিন্তু বিশ্বাসঘাতকদের বক্রতা তাদেরকে নষ্ট করবে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 4] ক্রোধের দিনের ধন উপকার করে না; কিন্তু ধার্ম্মিকতা মৃত্যু থেকে রক্ষা করে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 5] নির্দোষ লোকের ধার্ম্মিকতা তার পথ সোজা করে; কিন্তু দুষ্ট নিজের দুষ্টতায় পড়ে যায়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 6] যারা ধার্ম্মিকতায় ঈশ্বরকে সন্তুষ্ট করে তাদেরকে রক্ষা করে; কিন্তু বিশ্বাসঘাতকেরা তাদের অভিলাষে ধরা পড়ে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 7] যখন দুষ্ট লোক মারা যায়, তার আশ্বাস নষ্ট হয় এবং অধর্ম্মের প্রত্যাশা বিনাশ পায়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 8] ধার্মিক বিপদ থেকে উদ্ধার পায়, আর দুষ্ট তার জায়গায় আসে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 9] তার মুখের মাধ্যমে অধার্ম্মিক নিজের প্রতিবেশীকে নষ্ট করে; কিন্তু জ্ঞানের মাধ্যমে ধার্মিকরা উদ্ধার পায়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 10] ধার্ম্মিকদের উন্নতি হলে নগরে আনন্দ হয়; দুষ্টদের বিনাশ হলে আনন্দগান হয়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 11] সরলদের আশীর্বাদে নগর উন্নত হয়; কিন্তু দুষ্টদের বাক্যে তা বিচ্ছিন্ন হয়।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 12] যে প্রতিবেশীকে অবজ্ঞা করে, সে বুদ্ধিবিহীন; কিন্তু বুদ্ধিমান নীরব হয়ে থাকে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 13] পরচর্চা গোপন কথা প্রকাশ করে; কিন্তু যে বিশ্বস্ত লোক, সে কথা গোপন করে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 14] সুমন্ত্রণার অভাবে প্রজালোক পড়ে যায়; কিন্তু পরামর্শকারী উপদেষ্টার মাধ্যমে নিরাপত্তা আসে।
[IRV | BN | OT | Proverbs | Chapter 11 | Verse 15] যে অপরের জামিন হয়, সে নিশ্চয় কষ্ট পায়; কিন্তু যে জামিনের কাজ ঘৃণা করে, সে নিরাপদ।
