[IRV | BN | OT | Proverbs | Chapter 26 | Verse 1] যেমন গ্রীষ্মকালে বরফ ও শস্য কাটার দিন বৃষ্টি, তেমনি নির্বোধের পক্ষে সম্মান উপযুক্ত নয়।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 2] যেমন চড়ুইপাখি ঘুরে বেড়ায়, দোয়েল উড়তে থাকে, তেমনি অকারণে দেওয়া শাপ কাছে আসে না।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 3] ঘোড়ার জন্য চাবুক, গাধার জন্য বলগা, আর নির্বোধদের পিঠের জন্য ডান্ডা।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 4] নির্বোধকে উওর দিও না এবং তার বোকামিতে যুক্ত হয়ো না, পাছে তুমিও তারমত হও।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 5] নির্বোধকে তার অজ্ঞানতা অনুসারে উওর দাও, যাতে সে নিজের চোখে জ্ঞানবান না হয়।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 6] যে নির্বোধের হাতে খবর পাঠায়, সে নিজের পা কেটে ফেলে ও বিষ পান করে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 7] খোঁড়ার পা খুঁড়িয়ে চলে, নির্বোধদের মুখে নীতিকথা সে রকম।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 8] যেমন ফিঙ্গাতে পাথর বাধা, তেমনি সেই জন, যে নির্বোধকে সম্মান করে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 9] মাতালের হাতে যে কাঁটা উঠে, তা যেমন, তেমনি নির্বোধদের মুখে নীতিকথা।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 10] যে নির্বোধ এবং পথ চলতি লোককে, যে শুধু আসে এবং চলে যায়, কাজে নিযুক্ত করে ও বেতন দেয়, সে সকলকে আহত করে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 11] যেমন কুকুর নিজের বমির দিকে ফেরে, তেমনি নির্বোধ নিজের অজ্ঞানতার দিকে ফেরে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 12] তুমি কি নিজের চোখে জ্ঞানবান লোক দেখছ? তার থেকে বরং নির্বোধের বিষয়ে বেশী আশা আছে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 13] অলস বলে, “পথে সিংহ আছে! খোলা জায়গার মধ্যে সিংহ থাকে।”
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 14] কব্জাতে যেমন কপাট ঘোরে, তেমনি অলস তার বিছানার ওপর।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 15] অলস থালায় হাত ডোবায়, আবার মুখে তুলতে তার শক্তি থাকে না।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 16] সুবিচারসিদ্ধ উত্তরকারী সাত জনের থেকে অলস নিজের চোখে অনেক জ্ঞানবান।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 17] যে জন পথে যেতে যেতে নিজের সঙ্গে সম্পর্কবিহীন বিবাদে রুষ্ট হয়, সে কুকুরের কান ধরে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 18] পাগললোকের মত যে জ্বলন্ত তির ছোঁড়ে,
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 19] তেমনি সেই লোক, যে প্রতিবেশীকে প্রতারণা করে, আর বলে, আমি কি উপহাস করছি না?
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 20] কাঠ শেষ হলে আগুন নিভে যায়, পরচর্চা না থাকলে ঝগড়ায় নিবৃত্ত হয়।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 21] যেমন জ্বলন্ত অঙ্গারের পক্ষে কয়লা ও আগুনের জন্য কাঠ, তেমনি ঝগড়ায় আগুন জ্বালাবার জন্য ঝগড়াটে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 22] পরচর্চার কথা সুস্বাদু খাবারের মতো, তা দেহের ভিতরে নেমে যায়।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 23] জ্বলন্ত ঠোঁট ও দুষ্ট হৃদয় খাদ-রূপা মাখানো মাটির পাত্রের মত।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 24] যে ঘৃণা করে, সে ঠোঁটে ভাণ করে এবং সে নিজের মধ্যে প্রতারণা জমিয়ে রাখে;
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 25] তার আওয়াজ মধুর মত হলে তাকে বিশ্বাস কোরো না, কারণ তার হৃদয়ের মধ্যে সাতটা ঘৃণার বস্তু থাকে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 26] যদিও তার ঘৃণা ছলে ঢাকা, তার দুষ্টুমি সমাজে প্রকাশিত হবে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 27] যে খাত ছোট, সে তার মধ্যে পড়বে; যে পাথর গড়িয়ে দেয়, তারই ওপরে তা ফিরে আসবে।
[IRV | BN | OT | Proverbs | Chapter 26 | Verse 28] মিথ্যাবাদী জিভ যাদেরকে চূর্ণ করেছে, তাদেরকে ঘৃণা করে; আর চাটুবাদী মুখ ধ্বংস সাধন করে।
