[IRV | BN | OT | Proverbs | Chapter 13 | Verse 1] জ্ঞানবান ছেলে বাবার শাসন মানে, কিন্তু ব্যঙ্গকারী ভর্ত্সনা শোনে না।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 2] মানুষ নিজের মুখের ফলের মাধ্যমে ভালো জিনিস ভোগ করে; কিন্তু বিশ্বাসঘাতকদের অভিলাষ উত্পীড়ন ভোগ করে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 3] যে মুখ সাবধানে রাখে, সে প্রাণ রক্ষা করে; যে ঠোঁট বড় করে খুলে দেয়, তার সর্বনাশ হয়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 4] অলসের অভিলাষ লালসা করে, কিছুই পায় না; কিন্তু পরিশ্রমীদের অভিলাষ প্রচুর পরিমাণে সন্তুষ্ট হয়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 5] ধার্মিক মিথ্যা কথা ঘৃণা করে; কিন্তু দুষ্ট লোক আপত্তিকর, সে লজ্জা সৃষ্টি করে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 6] ধার্ম্মিকতা সততাকে রক্ষা করে; কিন্তু দুষ্ট তার পাপের জন্য নিপাতিত হয়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 7] কেউ নিজেকে ধনবান দেখায়, কিন্তু তার কিছুই নেই; কেউ বা নিজেকে গরিব দেখায়, কিন্তু তার মহাধন আছে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 8] মানুষের ধন তার প্রাণের প্রায়শ্চিত্ত; কিন্তু গরিব লোক ধমক শোনে না।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 9] ধার্ম্মিকের আলো আনন্দ করে; কিন্তু দুষ্টদের প্রদীপ নিভে যায়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 10] অহঙ্কারে কেবল বিবাদ সৃষ্টি হয়; কিন্তু যারা পরামর্শ মানে, প্রজ্ঞা তাদের সঙ্গে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 11] অনেক অসারতায় অর্জন করা ধন ক্ষয় পায়; কিন্তু যে ব্যক্তি হাতের মাধ্যমে কাজ করে সঞ্চয় করে, সে অনেক পায়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 12] আশার বিলম্ব হৃদয়ের পীড়াজনক; কিন্তু আকাঙ্খার পূর্ণতা জীবনবৃক্ষ।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 13] যে বাক্য তুচ্ছ করে, সে নিজের সর্বনাশ ঘটায়; যে সম্মানের আজ্ঞা মানে, সে পুরষ্কার পায়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 14] জ্ঞানবানের শিক্ষা জীবনের ঝরনা, তা মৃত্যুর ফাঁদ থেকে দূরে যাবার পথ।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 15] সুবুদ্ধি অনুগ্রহজনক, কিন্তু বিশ্বাসঘাতকদের পথ অন্তহীন।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 16] যে কেউ সতর্ক, সে জ্ঞানের সঙ্গে কাজ করে; কিন্তু নির্বোধ তার মূর্খতা প্রদর্শন করে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 17] দুষ্ট দূত বিপদে পড়ে, কিন্তু বিশ্বস্ত দূত পুনর্মিলন আনে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 18] যে শাসন অমান্য করে, সে দরিদ্রতা ও লজ্জা পায়; কিন্তু যে সংশোধন শেখে, সে সম্মানিত হয়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 19] প্রাণে মধুর আকাঙ্খার উপলব্ধি হয়; কিন্তু মন্দ থেকে সরে যাওয়া নির্বোধদের ঘৃণিত।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 20] জ্ঞানীদের সঙ্গে চল, জ্ঞানী হবে; কিন্তু যে নির্বোধদের বন্ধু, সে অপকার ভোগ করবে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 21] বিপর্যয় পাপীদের পরে দৌড়ায়; কিন্তু ধার্ম্মিকদেরকে ভালোর পুরষ্কার দেওয়া হয়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 22] সৎ লোক তার নাতিদের জন্য উত্তরাধিকার রেখে যায়; কিন্তু পাপীর ধন ধার্ম্মিকের জন্যে সঞ্চিত হয়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 23] গরিবদের ভূমির চাষে প্রচুর খাদ্য হয়; কিন্তু অবিচারের দ্বারা তা দূরে সরে যায়।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 24] যে শাসন না করে, সে ছেলেকে ঘৃণা করে; কিন্তু যে তাকে ভালবাসে, সে সযত্নে শাসন করে।
[IRV | BN | OT | Proverbs | Chapter 13 | Verse 25] ধার্মিক প্রাণের তৃপ্তি পর্যন্ত আহার করে, কিন্তু দুষ্টদের পেট সবদিন ক্ষুর্ধাত থাকে।
