[IRV | BN | OT | Proverbs | Chapter 10 | Verse 1] জ্ঞানবান ছেলে বাবার আনন্দজনক, কিন্তু বুদ্ধিহীন ছেলে মায়ের বেদনাজনক।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 2] দুষ্টতার দ্বারা সঞ্চিত ধনের কোনো মূল্য নেই, কিন্তু ধার্ম্মিকতা মৃত্যু থেকে রক্ষা করে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 3] সদাপ্রভু ধার্ম্মিকের প্রাণ ক্ষুধায় দুর্বল হতে দেন না; কিন্তু তিনি দুষ্টদের অভিলাষ ব্যর্থ করেন।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 4] যে অলস হাতে কাজ করে, সে দরিদ্র হয়; কিন্তু পরিশ্রমীদের হাত ধনবান করে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 5] যে গ্রীষ্মকালে সঞ্চয় করে, সে বুদ্ধিমান ছেলে; যে শস্য কাটবার দিন ঘুমিয়ে থাকে, তার জন্য লজ্জাকর।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 6] ধার্ম্মিকের মাথায় অনেক আশীর্বাদ থাকে; কিন্তু দুষ্টদের মুখ হিংস্রতা ঢেকে রাখে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 7] একজন লোক যে সঠিক কাজ করেছে তা আমাদেরকে আনন্দিত করে যখন আমরা তার বিষয়ে ভাবি; কিন্তু দুষ্টদের নাম সরে যাবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 8] যে বিচক্ষণ সে আদেশ গ্রহণ করে, কিন্তু অজ্ঞান বাচাল পতিত হবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 9] সে সততায় চলে, সে নির্ভয়ে চলে; কিন্তু কুটিলাচারীকে চেনা যাবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 10] যে চোখ দিয়ে ইশারা করে, সে দুঃখ দেয়; আর তার অজ্ঞান বাচাল তাকে ধ্বংস করে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 11] ধার্ম্মিকের মুখ জীবনের উনুই; কিন্তু দুষ্টদের মুখ হিংস্রতা ঢেকে রাখে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 12] ঘৃণা ঝগড়া বাড়ায়, কিন্তু প্রেম সব অধর্ম্ম ঢেকে দেয়।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 13] জ্ঞানবানের ঠোঁটে প্রজ্ঞা পাওয়া যায়, কিন্তু বুদ্ধিবিহীনের পেছনে দন্ড রয়েছে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 14] জ্ঞানবানেরা জ্ঞান সঞ্চয় করে, কিন্তু অজ্ঞানের মুখ সর্বনাশকে কাছে নিয়ে আসে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 15] ধনবানের ধনই তার শক্তিশালী নগর, দরিদ্রদের দারিদ্রতাই তাদের সর্বনাশ।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 16] ধার্ম্মিকের পারিশ্রমিক জীবনজনক, দুষ্টদের লাভ পাপজনক।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 17] যে শাসন মানে, সে জীবন পথে চলে; কিন্তু যে অনুযোগ মানেনা, সে পথভ্রষ্ট হয়।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 18] যে ঘৃণা করে ঢেকে রাখে, তার ঠোঁট মিথ্যাবাদী; এবং যে অপবাদ ছড়ায়, সে বোকা।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 19] প্রচুর বাক্যে অধর্ম্ম অনুপস্থিত থাকে না; কিন্তু যে তাতে সাবধান থাকে যা সে বলে, সেই হল জ্ঞানী।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 20] ধার্ম্মিকের জিভ বিশুদ্ধ রূপার মত, দুষ্টদের হৃদয়ের মূল্য কম।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 21] ধার্ম্মিকের ঠোঁট অনেককে প্রতিপালন করে, কিন্তু অজ্ঞানেরা বুদ্ধির অভাবে মারা পড়ে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 22] সদাপ্রভুর ভালো উপহার ধনসম্পদ আনে এবং তিনি তার সঙ্গে দুঃখ যুক্ত করেন না।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 23] খারাপ কাজ করা অজ্ঞানের আনন্দ, আর প্রজ্ঞা বুদ্ধিমানের আনন্দ।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 24] দুষ্ট যা ভয় করে, তার প্রতি তাই ঘটবে; কিন্তু ধার্ম্মিকদের ইচ্ছা সফল হবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 25] যখন ঘূর্ণবায়ু বয়ে যায়, দুষ্ট আর নেই; কিন্তু ধার্মিক চিরস্থায়ী ভিত্তিমূলের মত।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 26] যেমন দাঁতের পক্ষে অম্লরস ও চোখের পক্ষে ধোঁয়া, তেমনি নিজের প্রেরণ কর্তাদের পক্ষে অলস।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 27] সদাপ্রভুর ভয় আয়ুবৃদ্ধি করে, কিন্তু দুষ্টদের বছরের সংখ্যা কমবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 28] ধার্ম্মিকদের প্রত্যাশা আনন্দজনক; কিন্তু দুষ্টদের আশ্বাস কম হবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 29] সদাপ্রভুর পথ সততার পক্ষে দুর্গ, কিন্তু তা অধর্মাচারীদের পক্ষে সর্বনাশ।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 30] ধার্মিক লোক কখনও নিপাতিত হবে না; কিন্তু দুষ্টরা দেশে থাকবে না।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 31] ধার্ম্মিকের মুখ প্রজ্ঞার ফলে ফলবান্; কিন্তু বিপথগামীদের জিভ কাটা যাবে।
[IRV | BN | OT | Proverbs | Chapter 10 | Verse 32] ধার্ম্মিকের ঠোঁট গ্রহণযোগ্যতার বিষয় জানে, কিন্তু দুষ্টদের মুখ কুটিলতামাত্র।
