[IRV | BN | OT | Proverbs | Chapter 12 | Verse 1] যে শাসন ভালবাসে, সে জ্ঞান ভালবাসে; কিন্তু যে সংশোধন ঘৃণা করে, সে নির্বোধ;
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 2] সৎ লোক সদাপ্রভুর কাছে অনুগ্রহ পাবে; কিন্তু তিনি খারাপ পরিকল্পনাকারীকে দোষী করবেন।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 3] মানুষ দুষ্টতার মাধ্যমে সুস্থির হবে না, কিন্তু ধার্ম্মিকদের মূল বিচলিত হবে না।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 4] গুণবতী স্ত্রী স্বামীর মুকুট, কিন্তু লজ্জাদায়িনী তার সব হাড়ের পচন।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 5] ধার্ম্মিকদের পরিকল্পনা সব ন্যায্য, কিন্তু দুষ্টদের মন্ত্রণা ছলমাত্র।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 6] দুষ্টদের কথাবার্তা রক্তপাত জন্য লুকিয়ে থাকামাত্র; কিন্তু সরলদের মুখ তাদেরকে রক্ষা করে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 7] দুষ্টরা নিপাতিত হয়, তারা আর নেই; কিন্তু ধার্ম্মিকদের বাড়ি ঠিক থাকে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 8] মানুষ নিজের বিজ্ঞতার প্রশংসা পায়; কিন্তু যে বিপথগামী, সে তুচ্ছীকৃত হয়।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 9] যে তুচ্ছীকৃত, তথাপি দাস রাখে, সে খাদ্যহীন অহঙ্কারীর থেকে ভালো।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 10] ধার্মিক নিজের পশুর প্রাণের বিষয় চিন্তা করে; কিন্তু দুষ্টদের দয়া নিষ্ঠুর।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 11] যে নিজের জমি চাষ করে, সে যথেষ্ট খাবার পায়; কিন্তু যে অসারদের পিছনে পিছনে দৌড়ায়, সে বুদ্ধি-বিহীন।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 12] দুষ্ট লোক খারাপ লোকদের লুট করা পেতে চায়; কিন্তু ধার্ম্মিকদের মূল ফলদায়ক।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 13] বাজে কথায় খারাপ লোকের ফাঁদ থাকে, কিন্তু ধার্মিক বিপদ থেকে উদ্ধার হয়।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 14] মানুষ নিজের মুখের ফলের মাধ্যমে ভালো জিনিসে তৃপ্ত হয়, মানুষের হাতের কাজের ফল তারই প্রতি বর্ত্তে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 15] অজ্ঞানের পথ তার নিজের চোখে ঠিক; কিন্তু যে জ্ঞানবান, সে পরামর্শ শোনে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 16] এক নির্বোধ তার রাগ একেবারে প্রকাশ করে, কিন্তু বিচক্ষণ লোক অপমান অবজ্ঞা করে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 17] যে সত্যবাদী, সে কোনটা ঠিক তার কথা বলে; কিন্তু মিথ্যাসাক্ষী মিথ্যা কথা বলে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 18] কেউ কেউ অবিবেচনার কথা বলে, তরোয়ালের আঘাতের মত, কিন্তু জ্ঞানবানদের জিহ্বা আরোগ্যতা আনে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 19] সত্যের ঠোঁট চিরকাল স্থায়ী; কিন্তু মিথ্যাবাদী জিহ্বা এক মুহূর্তের জন্য স্থায়ী।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 20] প্রতারণাকারীদের হৃদয়ে খারাপ পরিকল্পনা থাকে; কিন্তু যারা শান্তির উপদেশ দেয়, তাদের আনন্দ হয়।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 21] ধার্ম্মিকের কোনো অমঙ্গল ঘটে না; কিন্তু দুষ্টেরা সমস্যায় পূর্ণ হয়।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 22] মিথ্যাবাদী ঠোঁট সদাপ্রভু ঘৃণা করেন; কিন্তু যারা বিশ্বস্ততায় চলে, তারা তাঁর আনন্দের পাত্র।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 23] বুদ্ধিমান লোক জ্ঞান গোপন রাখে; কিন্তু নির্বোধদের হৃদয় নির্বোধের মত চিত্কার করে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 24] পরিশ্রমীদের হাত কর্তৃত্ব পায়; কিন্তু অলস পরাধীন দাস হয়।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 25] মানুষের মনের কষ্ট মনকে নীচু করে; কিন্তু ভালো কথা তা আনন্দিত করে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 26] ধার্মিক নিজের বন্ধুর পথ-প্রদর্শক হয়; কিন্তু দুষ্টদের পথ তাদেরকে ভ্রান্ত করে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 27] অলস শিকারে ধৃত পশু রান্না করে না; কিন্তু মানুষের মূল্যবান রত্ন পরিশ্রমীর পক্ষে।
[IRV | BN | OT | Proverbs | Chapter 12 | Verse 28] ধার্মিকতার পথে জীবন থাকে; তার পথে মৃত্যু নেই।
