[ASV | EN | NT | Mark | Chapter 15 | Verse 1] And straightaway in the morning the chief priests with the elders and scribes, and the whole council, held a consultation, and bound Jesus, and carried him away, and delivered him up to Pilate.
[ASV | EN | NT | Mark | Chapter 15 | Verse 2] And Pilate asked him, Art thou the King of the Jews? And he answered and said unto him, Thou sayest.
[ASV | EN | NT | Mark | Chapter 15 | Verse 3] And the chief priests accused him of many things.
[ASV | EN | NT | Mark | Chapter 15 | Verse 4] And Pilate again asked him, saying, Answerest thou nothing? behold how many things they witness against thee.
[ASV | EN | NT | Mark | Chapter 15 | Verse 5] But Jesus no more answered anything; insomuch that Pilate marveled.
[ASV | EN | NT | Mark | Chapter 15 | Verse 6] Now at the feast he used to release unto them one prisoner, whomsoever they asked of him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 7] And there was one called Barabbas, lying bound with them that had made insurrection with him, men who in the insurrection had committed murder.
[ASV | EN | NT | Mark | Chapter 15 | Verse 8] And the multitude cried out and began to ask him to do unto them as he had always done.
[ASV | EN | NT | Mark | Chapter 15 | Verse 9] And Pilate answered them, saying, Will ye that I release unto you the King of the Jews?
[ASV | EN | NT | Mark | Chapter 15 | Verse 10] For he perceived that for envy the chief priests had delivered him up.
[ASV | EN | NT | Mark | Chapter 15 | Verse 11] But the chief priests stirred up the multitude, that he should rather release Barabbas unto them.
[ASV | EN | NT | Mark | Chapter 15 | Verse 12] And Pilate answered and said again unto them, What will ye then that I shall do unto him whom ye call King of the Jews?
[ASV | EN | NT | Mark | Chapter 15 | Verse 13] And they cried out again, Crucify him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 14] And Pilate said unto them, Why, what evil hath he done? But they cried out the more exceedingly, Crucify him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 15] And Pilate, wishing to content the multitude, released unto them Barabbas, and delivered Jesus, when he had scourged him, to be crucified.
[ASV | EN | NT | Mark | Chapter 15 | Verse 16] And the soldiers led him away within the court, which is the Praetorium; and they call together the whole band.
[ASV | EN | NT | Mark | Chapter 15 | Verse 17] And they clothe him with purple, and plaiting a crown of thorns, they put it on him;
[ASV | EN | NT | Mark | Chapter 15 | Verse 18] and they began to salute him, Hail, King of the Jews!
[ASV | EN | NT | Mark | Chapter 15 | Verse 19] And they smote his head with a reed, and spat upon him, and bowing their knees worshiped him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 20] And when they had mocked him, they took off from him the purple, and put on him his own garments. And they lead him out to crucify him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 21] And they compel one passing by, Simon of Cyrene, coming from the country, the father of Alexander and Rufus, to go with them, that he might bear his cross.
[ASV | EN | NT | Mark | Chapter 15 | Verse 22] And they bring him unto the place Golgotha, which is, being interpreted, The place of a skull.
[ASV | EN | NT | Mark | Chapter 15 | Verse 23] And they gave him wine to drink mingled with myrrh: but he received it not.
[ASV | EN | NT | Mark | Chapter 15 | Verse 24] And when they had crucified him, they part his garments among them, casting lots upon them, what each should take.
[ASV | EN | NT | Mark | Chapter 15 | Verse 25] And it was the third hour, and they crucified him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 26] And the superscription of his accusation was written above, THE KING OF THE JEWS.
[ASV | EN | NT | Mark | Chapter 15 | Verse 27] And with him they crucify two robbers; one on his right hand, and one on his left.
[ASV | EN | NT | Mark | Chapter 15 | Verse 28] And the scripture was fulfilled, which saith, And he was reckoned with transgressors
[ASV | EN | NT | Mark | Chapter 15 | Verse 29] And they that passed by railed on him, wagging their heads, and saying, Ha! thou that destroyest the temple, and buildest it in three days,
[ASV | EN | NT | Mark | Chapter 15 | Verse 30] save thyself, and come down from the cross.
[ASV | EN | NT | Mark | Chapter 15 | Verse 31] In like manner also the chief priests mocking him among themselves with the scribes said, He saved others; himself he cannot save.
[ASV | EN | NT | Mark | Chapter 15 | Verse 32] Let the Christ, the King of Israel, now come down from the cross, that we may see and believe him. And they that were crucified with him reproached him.
[ASV | EN | NT | Mark | Chapter 15 | Verse 33] And when the sixth hour was come, there was darkness over the whole land until the ninth hour.
[ASV | EN | NT | Mark | Chapter 15 | Verse 34] And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lima sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me?
[ASV | EN | NT | Mark | Chapter 15 | Verse 35] And some of them that stood by, when they heard it, said, Behold, he calleth Elijah.
[ASV | EN | NT | Mark | Chapter 15 | Verse 36] And one ran, and filled a sponge full of vinegar, and put it on a reed, and gave him to drink, saying, Let be; let us see whether Elijah cometh to take him down.
[ASV | EN | NT | Mark | Chapter 15 | Verse 37] And Jesus uttered a loud voice, and gave up the ghost.
[ASV | EN | NT | Mark | Chapter 15 | Verse 38] And the veil of the temple was rent in two from the top to the bottom.
[ASV | EN | NT | Mark | Chapter 15 | Verse 39] And when the centurion, who stood by over against him, saw that he so cried out, and gave up the ghost, he said, Truly this man was the Son of God.
[ASV | EN | NT | Mark | Chapter 15 | Verse 40] And there were also women beholding from afar: among whom were both Mary Magdalene, and Mary the mother of James the less and of Joses, and Salome;
[ASV | EN | NT | Mark | Chapter 15 | Verse 41] who also, when he was in Galilee, followed him, and ministered unto him; and many other women that came up with him unto Jerusalem.
[ASV | EN | NT | Mark | Chapter 15 | Verse 42] And when even was now come, because it was the Preparation, that is, the day before the sabbath,
[ASV | EN | NT | Mark | Chapter 15 | Verse 43] there came Joseph of Arimathea, a councilor of honorable estate, who also himself was looking for the kingdom of God; and he boldly went in unto Pilate, and asked for the body of Jesus.
[ASV | EN | NT | Mark | Chapter 15 | Verse 44] And Pilate wondered if he were already dead: and calling unto him the centurion, he asked him whether he had been any while dead.
[ASV | EN | NT | Mark | Chapter 15 | Verse 45] And when he learned it of the centurion, he granted the body to Joseph.
[ASV | EN | NT | Mark | Chapter 15 | Verse 46] And he bought a linen cloth, and taking him down, wound him in the linen cloth, and laid him in a tomb which had been hewn out of a rock; and he rolled a stone against the door of the tomb.
[ASV | EN | NT | Mark | Chapter 15 | Verse 47] And Mary Magdalene and Mary the mother of Joses beheld where he was laid.
