[ASV | EN | NT | Mark | Chapter 5 | Verse 1] And they came to the other side of the sea, into the country of the Gadarenes.
[ASV | EN | NT | Mark | Chapter 5 | Verse 2] And when he was come out of the boat, straightaway there met him out of the tombs a man with an unclean spirit,
[ASV | EN | NT | Mark | Chapter 5 | Verse 3] who had his dwelling in the tombs: and no man could bind him, no, not with a chain;
[ASV | EN | NT | Mark | Chapter 5 | Verse 4] because that he had been often bound with fetters and chains, and the chains had been rent asunder by him, and the fetters broken in pieces: and no man had strength to tame him.
[ASV | EN | NT | Mark | Chapter 5 | Verse 5] And always, night and day, in the mountains and in the tombs, he was crying out, and cutting himself with stones.
[ASV | EN | NT | Mark | Chapter 5 | Verse 6] But when he saw Jesus from afar, he ran and worshiped him;
[ASV | EN | NT | Mark | Chapter 5 | Verse 7] and crying out with a loud voice, he said, What have I to do with thee, Jesus, thou Son of the Most High God? I adjure thee by God, torment me not.
[ASV | EN | NT | Mark | Chapter 5 | Verse 8] For he said unto him, Come forth, thou unclean spirit, out of the man.
[ASV | EN | NT | Mark | Chapter 5 | Verse 9] And he asked him, What is thy name? And he answered, saying, My name is Legion; for we are many.
[ASV | EN | NT | Mark | Chapter 5 | Verse 10] And he besought him much that he would not send them away out of the country.
[ASV | EN | NT | Mark | Chapter 5 | Verse 11] Now there was there on the mountainside a great herd of swine feeding.
[ASV | EN | NT | Mark | Chapter 5 | Verse 12] And all the demons besought him, saying, Send us into the swine, that we may enter into them.
[ASV | EN | NT | Mark | Chapter 5 | Verse 13] And straightaway Jesus gave them leave. And the unclean spirits came out, and entered into the swine: and the herd rushed down the steep into the sea (and they were about two thousand); and they were drowned in the sea.
[ASV | EN | NT | Mark | Chapter 5 | Verse 14] And they that fed the swine fled, and told it in the city, and in the country. And they came out to see what it was that had come to pass.
[ASV | EN | NT | Mark | Chapter 5 | Verse 15] And they come to Jesus, and behold him that was possessed with demons sitting, and clothed, and in his right mind, even him that had the legion: and they were afraid.
[ASV | EN | NT | Mark | Chapter 5 | Verse 16] And they that saw it declared unto them how it befell him that was possessed with demons, and concerning the swine.
[ASV | EN | NT | Mark | Chapter 5 | Verse 17] And they began to beseech him to depart from their borders.
[ASV | EN | NT | Mark | Chapter 5 | Verse 18] And when he was entered into the boat, he that had been possessed with demons besought him that he might be with him.
[ASV | EN | NT | Mark | Chapter 5 | Verse 19] But Jesus suffered him not, but saith unto him, Go to thy house unto thy friends, and tell them how great things the Lord hath done for thee, and how he had mercy on thee.
[ASV | EN | NT | Mark | Chapter 5 | Verse 20] And he went his way, and began to publish in Decapolis how great things Jesus had done for him: and all men marveled.
[ASV | EN | NT | Mark | Chapter 5 | Verse 21] And when Jesus had crossed over again in the boat unto the other side, a great multitude was gathered unto him; and he was by the sea.
[ASV | EN | NT | Mark | Chapter 5 | Verse 22] And behold, there cometh one of the rulers of the synagogue, Jairus by name; and seeing him, he falleth at his feet,
[ASV | EN | NT | Mark | Chapter 5 | Verse 23] and besought him much, saying, My little daughter is at the point of death: I pray thee, that thou come and lay thy hands on her, that she may be made whole; and she shall live.
[ASV | EN | NT | Mark | Chapter 5 | Verse 24] And he went with him; and a great multitude followed him, and they thronged him.
[ASV | EN | NT | Mark | Chapter 5 | Verse 25] And a certain woman, who had an issue of blood twelve years,
[ASV | EN | NT | Mark | Chapter 5 | Verse 26] and had suffered many things of many physicians, and had spent all that she had, and was nothing bettered, but rather grew worse,
[ASV | EN | NT | Mark | Chapter 5 | Verse 27] having heard of Jesus, came in the crowd behind, and touched his garment.
[ASV | EN | NT | Mark | Chapter 5 | Verse 28] For she said, If I touch but his garments, I shall be made whole.
[ASV | EN | NT | Mark | Chapter 5 | Verse 29] And straightaway the fountain of her blood was dried up; and she felt in her body that she was healed of her plague.
[ASV | EN | NT | Mark | Chapter 5 | Verse 30] And straightaway Jesus, perceiving in himself that the power proceeding from him had gone forth, turned him about in the crowd, and said, Who touched my garments?
[ASV | EN | NT | Mark | Chapter 5 | Verse 31] And his disciples said unto him, Thou seest the multitude thronging thee, and sayest thou, Who touched me?
[ASV | EN | NT | Mark | Chapter 5 | Verse 32] And he looked round about to see her that had done this thing.
[ASV | EN | NT | Mark | Chapter 5 | Verse 33] But the woman fearing and trembling, knowing what had been done to her, came and fell down before him, and told him all the truth.
[ASV | EN | NT | Mark | Chapter 5 | Verse 34] And he said unto her, Daughter, thy faith hath made thee whole; go in peace, and be whole of thy plague.
[ASV | EN | NT | Mark | Chapter 5 | Verse 35] While he yet spake, they come from the ruler of the synagogue’s house, saying, Thy daughter is dead: why troublest thou the Teacher any further?
[ASV | EN | NT | Mark | Chapter 5 | Verse 36] But straightaway Jesus, when he heard the word that was spoken, saith unto the ruler of the synagogue, Fear not, only believe.
[ASV | EN | NT | Mark | Chapter 5 | Verse 37] And he suffered no man to follow him, save Peter, and James, and John the brother of James.
[ASV | EN | NT | Mark | Chapter 5 | Verse 38] And he cometh to the house of the ruler of the synagogue; and he beholdeth a tumult, many weeping and wailing greatly.
[ASV | EN | NT | Mark | Chapter 5 | Verse 39] And when he was entered in, he saith unto them, Why make ye a tumult, and weep? the child is not dead, but sleepeth.
[ASV | EN | NT | Mark | Chapter 5 | Verse 40] And they laughed him to scorn. But he, having put them all forth, taketh the father of the child and her mother and them that were with him, and goeth in where the child was lying.
[ASV | EN | NT | Mark | Chapter 5 | Verse 41] And taking the child by the hand, he saith unto her, Talitha cumi; which is, being interpreted, Damsel, I say unto thee, Arise.
[ASV | EN | NT | Mark | Chapter 5 | Verse 42] And straightaway the damsel rose up, and walked; for she was twelve years old. And they were amazed with a great amazement.
[ASV | EN | NT | Mark | Chapter 5 | Verse 43] And he charged them much that no man should know this: and he commanded that something should be given her to eat.
