[ASV | EN | NT | Mark | Chapter 12 | Verse 1] And he began to speak unto them in parables. A man planted a vineyard, and set a hedge about it, and dug a pit for the winepress, and built a tower, and let it out to husbandmen, and went into another country.
[ASV | EN | NT | Mark | Chapter 12 | Verse 2] And at the season he sent to the husbandmen a servant, that he might receive from the husbandmen of the fruit of the vineyard.
[ASV | EN | NT | Mark | Chapter 12 | Verse 3] But they took him, and beat him, and sent him away empty.
[ASV | EN | NT | Mark | Chapter 12 | Verse 4] And again he sent unto them another servant; and at him they cast stones, and wounded him in the head, and sent him away shamefully handled.
[ASV | EN | NT | Mark | Chapter 12 | Verse 5] And again he sent another; and him they killed: and many others; beating some, and killing some.
[ASV | EN | NT | Mark | Chapter 12 | Verse 6] Having yet therefore one son, his well-beloved, he sent him also last unto them, saying, They will reverence my son.
[ASV | EN | NT | Mark | Chapter 12 | Verse 7] But those husbandmen said among themselves, This is the heir; come, let us kill him, and the inheritance shall be ours.
[ASV | EN | NT | Mark | Chapter 12 | Verse 8] And they took him, and killed him, and cast him forth out of the vineyard.
[ASV | EN | NT | Mark | Chapter 12 | Verse 9] What therefore will the lord of the vineyard do? he will come and destroy the husbandmen, and will give the vineyard unto others.
[ASV | EN | NT | Mark | Chapter 12 | Verse 10] Have ye not read even this scripture: The stone which the builders rejected, The same was made the head of the corner;
[ASV | EN | NT | Mark | Chapter 12 | Verse 11] This was from the Lord, And it is marvelous in our eyes?
[ASV | EN | NT | Mark | Chapter 12 | Verse 12] And they sought to lay hold on him; and they feared the multitude; for they perceived that he spake the parable against them: and they left him, and went away.
[ASV | EN | NT | Mark | Chapter 12 | Verse 13] And they send unto him certain of the Pharisees and of the Herodians, that they might catch him in talk.
[ASV | EN | NT | Mark | Chapter 12 | Verse 14] And when they were come, they say unto him, Teacher, we know that thou art true, and carest not for anyone; for thou regardest not the person of men, but of a truth teachest the way of God: Is it lawful to give tribute unto Caesar, or not?
[ASV | EN | NT | Mark | Chapter 12 | Verse 15] Shall we give, or shall we not give? But he, knowing their hypocrisy, said unto them, Why make ye trial of me? bring me a denarius, that I may see it.
[ASV | EN | NT | Mark | Chapter 12 | Verse 16] And they brought it. And he saith unto them, Whose is this image and superscription? And they said unto him, Caesar’s.
[ASV | EN | NT | Mark | Chapter 12 | Verse 17] And Jesus answered and said unto them, Render unto Caesar the things that are Caesar’s, and unto God the things that are God’s. And they marveled at him.
[ASV | EN | NT | Mark | Chapter 12 | Verse 18] And there come unto him Sadducees, who say that there is no resurrection; and they asked him, saying,
[ASV | EN | NT | Mark | Chapter 12 | Verse 19] Teacher, Moses wrote unto us, If a man’s brother die, and leave a wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother.
[ASV | EN | NT | Mark | Chapter 12 | Verse 20] There were seven brethren: and the first took a wife, and dying left no seed;
