[ASV | EN | NT | Mark | Chapter 7 | Verse 1] And there are gathered together unto him the Pharisees, and certain of the scribes, who had come from Jerusalem:
[ASV | EN | NT | Mark | Chapter 7 | Verse 2] and when they saw some of his disciples eating bread with defiled, that is, unwashed, hands, they found fault.
[ASV | EN | NT | Mark | Chapter 7 | Verse 3] (For the Pharisees, and all the Jews, except they wash their hands diligently, eat not, holding the tradition of the elders;
[ASV | EN | NT | Mark | Chapter 7 | Verse 4] and when they come from the marketplace, except they bathe themselves, they eat not; and many other things there are, which they have received to hold, washings of cups, and pots, and brazen vessels, and couches.)
[ASV | EN | NT | Mark | Chapter 7 | Verse 5] Then the Pharisees and the scribes ask him, Why walk not thy disciples according to the tradition of the elders, but eat their bread with unwashed hands?
[ASV | EN | NT | Mark | Chapter 7 | Verse 6] And he answered and said unto them, Well did Isaiah prophesy of you hypocrites, as it is written, This people honoreth me with their lips, But their heart is far from me.
[ASV | EN | NT | Mark | Chapter 7 | Verse 7] But in vain do they worship me, Teaching as their doctrines the precepts of men.
[ASV | EN | NT | Mark | Chapter 7 | Verse 8] For leaving the commandment of God, ye hold fast the tradition of men, washings of pots and cups: and many other such like things ye do.
[ASV | EN | NT | Mark | Chapter 7 | Verse 9] And he said unto them, Full well do ye reject the commandment of God, that ye may keep your tradition.
[ASV | EN | NT | Mark | Chapter 7 | Verse 10] For Moses said, Honor thy father and thy mother; and, He that speaketh evil of father or mother, let him die the death:
[ASV | EN | NT | Mark | Chapter 7 | Verse 11] but ye say, If a man shall say to his father or his mother, That wherewith thou mightest have been profited by me is Corban, that is to say, Given to God;
[ASV | EN | NT | Mark | Chapter 7 | Verse 12] and ye no longer suffer him to do aught for his father or his mother;
[ASV | EN | NT | Mark | Chapter 7 | Verse 13] making void the word of God by your tradition, which ye have delivered: and many such like things ye do.
[ASV | EN | NT | Mark | Chapter 7 | Verse 14] And he called to him all the multitude, and said unto them, Hear me all of you, and understand:
[ASV | EN | NT | Mark | Chapter 7 | Verse 15] there is nothing from without the man, that going into him can defile him; but the things which proceed out of him, those are they that defile the man.
[ASV | EN | NT | Mark | Chapter 7 | Verse 16] If any man hath ears to hear, let him hear.
[ASV | EN | NT | Mark | Chapter 7 | Verse 17] And when he was entered into a house from the multitude, his disciples asked him concerning the parable.
[ASV | EN | NT | Mark | Chapter 7 | Verse 18] And he saith unto them, Are ye so without understanding also? Perceive ye not, that whatsoever from without goeth into the man, it cannot defile him;
[ASV | EN | NT | Mark | Chapter 7 | Verse 19] because it goeth not into his heart, but into his belly, and goeth out into the draft, making all meats clean?
[ASV | EN | NT | Mark | Chapter 7 | Verse 20] And he said, That which proceedeth out of the man, that defileth the man.
[ASV | EN | NT | Mark | Chapter 7 | Verse 21] For from within, out of the heart of men, evil thoughts proceed, adulteries, fornications, murders,
[ASV | EN | NT | Mark | Chapter 7 | Verse 22] thefts, covetings, wickednesses, deceit, lasciviousness, an evil eye, railing, pride, foolishness:
[ASV | EN | NT | Mark | Chapter 7 | Verse 23] all these evil things proceed from within, and defile the man.
[ASV | EN | NT | Mark | Chapter 7 | Verse 24] And from thence he arose, and went away into the borders of Tyre and Sidon. And he entered into a house, and would have no man know it; and he could not be hidden.
[ASV | EN | NT | Mark | Chapter 7 | Verse 25] For a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet.
[ASV | EN | NT | Mark | Chapter 7 | Verse 26] Now the woman was a Greek, a Syrophoenician by race. And she besought him that he would cast forth the demon out of her daughter.
[ASV | EN | NT | Mark | Chapter 7 | Verse 27] But Jesus said unto her, Let the children first be filled: for it is not meet to take the children’s bread and cast it to the dogs.
[ASV | EN | NT | Mark | Chapter 7 | Verse 28] But she answered and saith unto him, Yea, Lord; for even the dogs under the table eat of the children’s crumbs.
[ASV | EN | NT | Mark | Chapter 7 | Verse 29] And he said unto her, For this saying go thy way; the demon is gone out of thy daughter.
[ASV | EN | NT | Mark | Chapter 7 | Verse 30] And she went away unto her house, and found the demon gone out, and her daughter laid upon the bed.
[ASV | EN | NT | Mark | Chapter 7 | Verse 31] And again he went out from the borders of Tyre and Sidon, and came unto the sea of Galilee, through the midst of the borders of Decapolis.
[ASV | EN | NT | Mark | Chapter 7 | Verse 32] And they bring unto him deaf man who had an impediment in his speech; and they beseech him to lay his hand upon him.
[ASV | EN | NT | Mark | Chapter 7 | Verse 33] And he took him aside from the multitude privately, and put his fingers into his ears, and he spat, and touched his tongue;
[ASV | EN | NT | Mark | Chapter 7 | Verse 34] and looking up to heaven, he sighed, and saith unto him, Ephphatha, that is, Be opened.
[ASV | EN | NT | Mark | Chapter 7 | Verse 35] And straightaway his ears were opened, and the bond of his tongue was loosed, and he spake plain.
[ASV | EN | NT | Mark | Chapter 7 | Verse 36] And he charged them that they should tell no man: but the more he charged them, so much the more a great deal they published it.
[ASV | EN | NT | Mark | Chapter 7 | Verse 37] And they were beyond measure astonished, saying, He hath done all things well; he maketh even the deaf to hear, and the dumb to speak.
