[ASV | EN | NT | Mark | Chapter 3 | Verse 1] And he entered again into the synagogue; and there was a man there who had his hand withered.
[ASV | EN | NT | Mark | Chapter 3 | Verse 2] And they watched him, whether he would heal him on the sabbath day; that they might accuse him.
[ASV | EN | NT | Mark | Chapter 3 | Verse 3] And he saith unto the man that had his hand withered, Stand forth.
[ASV | EN | NT | Mark | Chapter 3 | Verse 4] And he saith unto them, Is it lawful on the sabbath day to do good, or to do harm? to save a life, or to kill? But they held their peace.
[ASV | EN | NT | Mark | Chapter 3 | Verse 5] And when he had looked round about on them with anger, being grieved at the hardening of their heart, he saith unto the man, Stretch forth thy hand. And he stretched it forth; and his hand was restored whole, as the other.
[ASV | EN | NT | Mark | Chapter 3 | Verse 6] And the Pharisees went out, and straightaway with the Herodians took counsel against him, how they might destroy him.
[ASV | EN | NT | Mark | Chapter 3 | Verse 7] And Jesus withdrew with his disciples to the sea: and a great multitude from Galilee followed him, and from Judea,
[ASV | EN | NT | Mark | Chapter 3 | Verse 8] and from Jerusalem, and from Idumea, and beyond the Jordan, and they about Tyre and Sidon, a great multitude, when they heard what great things he did, came unto him.
[ASV | EN | NT | Mark | Chapter 3 | Verse 9] And he spake to his disciples, that a little boat should wait on him because of the crowd, lest they should throng him:
[ASV | EN | NT | Mark | Chapter 3 | Verse 10] for he had healed many; insomuch that as many as had plagues pressed upon him that they might touch him.
[ASV | EN | NT | Mark | Chapter 3 | Verse 11] And the unclean spirits, whensoever they beheld him, fell down before him, and cried, saying, Thou art the Son of God.
[ASV | EN | NT | Mark | Chapter 3 | Verse 12] And he charged them much that they should not make him known.
[ASV | EN | NT | Mark | Chapter 3 | Verse 13] And he goeth up into the mountain, and calleth unto him whom he himself would; and they went unto him.
[ASV | EN | NT | Mark | Chapter 3 | Verse 14] And he appointed twelve, that they might be with him, and that he might send them forth to preach,
[ASV | EN | NT | Mark | Chapter 3 | Verse 15] and to have authority to heal diseases, and to cast out demons:
[ASV | EN | NT | Mark | Chapter 3 | Verse 16] and Simon he surnamed Peter;
[ASV | EN | NT | Mark | Chapter 3 | Verse 17] and James the son of Zebedee, and John the brother of James; and them he surnamed Boanerges, which is, Sons of thunder:
[ASV | EN | NT | Mark | Chapter 3 | Verse 18] and Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James the son of Alphaeus, and Thaddaeus, and Simon the Cananite,
[ASV | EN | NT | Mark | Chapter 3 | Verse 19] and Judas Iscariot, who also betrayed him. And they come into a house.
[ASV | EN | NT | Mark | Chapter 3 | Verse 20] And a multitude cometh together again, so that they could not so much as eat bread.
[ASV | EN | NT | Mark | Chapter 3 | Verse 21] And when his friends heard it, they went out to lay hold on him: for they said, He is beside himself.
[ASV | EN | NT | Mark | Chapter 3 | Verse 22] And the scribes that came down from Jerusalem said, He hath Beelzebul, and, By the prince of demons casteth he out demons.
[ASV | EN | NT | Mark | Chapter 3 | Verse 23] And he called them unto him, and said unto them in parables, How can Satan cast out Satan?
[ASV | EN | NT | Mark | Chapter 3 | Verse 24] And if a kingdom be divided against itself, that kingdom cannot stand.
[ASV | EN | NT | Mark | Chapter 3 | Verse 25] And if a house be divided against itself, that house cannot stand.
[ASV | EN | NT | Mark | Chapter 3 | Verse 26] And if Satan hath risen up against himself, and is divided, he cannot stand, but hath an end.
[ASV | EN | NT | Mark | Chapter 3 | Verse 27] No one can enter into the house of the strong man, and plunder his goods, except he first bind the strong man; and then he may plunder his house.
[ASV | EN | NT | Mark | Chapter 3 | Verse 28] Verily I say unto you, All their sins shall be forgiven unto the sons of men, and blasphemies wherewith soever they shall blaspheme:
[ASV | EN | NT | Mark | Chapter 3 | Verse 29] but whosoever shall blaspheme against the Holy Spirit hath never forgiveness, but is in danger of eternal judgment:
[ASV | EN | NT | Mark | Chapter 3 | Verse 30] because they said, He hath an unclean spirit.
[ASV | EN | NT | Mark | Chapter 3 | Verse 31] There come then his brethren and his mother; and, standing without, they sent unto him, calling him.
[ASV | EN | NT | Mark | Chapter 3 | Verse 32] And a multitude was sitting about him; and they said unto him, Behold, thy mother, and thy brethren, and thy sisters without seek for thee.
[ASV | EN | NT | Mark | Chapter 3 | Verse 33] And he answered them, saying, Who is my mother or my brethren?
[ASV | EN | NT | Mark | Chapter 3 | Verse 34] And looking round on them that sat round about him, he saith, Behold, my mother and my brethren!
[ASV | EN | NT | Mark | Chapter 3 | Verse 35] For whosoever shall do the will of God, the same is my brother, and my sister, and mother.
