[IRV | KN | NT | Acts | Chapter 18 | Verse 1] ಇದಾದ ಮೇಲೆ ಪೌಲನು ಅಥೇನೆಯನ್ನು ಬಿಟ್ಟು ಕೊರಿಂಥಕ್ಕೆ ಹೋದನು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 2] ಪೊಂತದಲ್ಲಿ ಹುಟ್ಟಿದ ಅಕ್ವಿಲನೆಂಬ ಒಬ್ಬ ಯೆಹೂದ್ಯನನ್ನು ಅಲ್ಲಿ ಕಂಡನು. ಯೆಹೂದ್ಯರೆಲ್ಲರೂ ರೋಮಾಪುರವನ್ನು ಬಿಟ್ಟುಹೋಗಬೇಕೆಂದು ಕ್ಲೌದಿಯ ಚಕ್ರವರ್ತಿಯು ಆಜ್ಞೆ ವಿಧಿಸಿದ ಕಾರಣ ಅಕ್ವಿಲನೂ ಅವನ ಹೆಂಡತಿಯಾದ ಪ್ರಿಸ್ಕಿಲ್ಲಳೂ ಕೆಲವು ದಿನಗಳ ಮೊದಲೇ ಇತಾಲ್ಯ ದೇಶದಿಂದ ಅಲ್ಲಿಗೆ ಬಂದಿದ್ದರು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 3] ಪೌಲನು ಅವರ ಮನೆಗೆ ಹೋಗಿ ತಾನೂ, ಅವರೂ ಒಂದೇ ಕಸುಬಿನವರಾಗಿದ್ದುದರಿಂದ ಅವರ ಸಂಗಡವಿದ್ದು ಅವರೊಂದಿಗೆ ಕೆಲಸಮಾಡುತ್ತಿದ್ದನು; ಗುಡಾರಮಾಡುವುದು ಅವರ ಕಸುಬಾಗಿತ್ತು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 4] ಅವನು ಪ್ರತಿ ಸಬ್ಬತ್ ದಿನವೂ ಸಭಾಮಂದಿರದಲ್ಲಿ ಚರ್ಚಿಸಿ ಯೆಹೂದ್ಯರನ್ನೂ ಗ್ರೀಕರನ್ನೂ ಒಡಂಬಡಿಸುತ್ತಿದ್ದನು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 5] ಸೀಲನೂ ಮತ್ತು ತಿಮೊಥೆಯನೂ ಮಕೆದೋನ್ಯದಿಂದ ಬಂದಾಗ ಪೌಲನು ದೇವರ ವಾಕ್ಯವನ್ನು ಬೋಧಿಸುವುದರಲ್ಲಿ ಅತ್ಯಾಸಕ್ತಿಯುಳ್ಳವನಾಗಿ ಯೇಸುವೇ ಕ್ರಿಸ್ತನೆಂದು ಯೆಹೂದ್ಯರಿಗೆ ಖಚಿತವಾಗಿ ಸಾಕ್ಷಿಹೇಳಿದನು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 6] ಅವರು ಎದುರಿಸಿ, ದೂಷಿಸಲಾಗಿ ಅವನು ತನ್ನ ವಸ್ತ್ರಗಳನ್ನು ಝಾಡಿಸಿ ಅವರಿಗೆ; “ನಿಮ್ಮ ನಾಶನಕ್ಕೆ ನೀವೇ ಹೊಣೆ. ನಾನು ಶುದ್ಧನು. ನಾನು ಇಂದಿನಿಂದ ಅನ್ಯಜನರ ಬಳಿಗೆ ಹೋಗುತ್ತೇನೆ” ಎಂದು ಹೇಳಿ,
[IRV | KN | NT | Acts | Chapter 18 | Verse 7] ಆ ಸ್ಥಳವನ್ನು ಬಿಟ್ಟು ದೇವರಿಗೆ ಭಯಪಡುವವನಾಗಿದ್ದ ತೀತ ಯುಸ್ತನೆಂಬುವನ ಮನೆಗೆ ಹೋದನು. ಅವನ ಮನೆಯು ಸಭಾಮಂದಿರದ ಬದಿಯಲ್ಲಿ ಇತ್ತು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 8] ಸಭಾಮಂದಿರದ ಅಧ್ಯಕ್ಷನಾದ ಕ್ರಿಸ್ಪನು ತನ್ನ ಮನೆಯವರೆಲ್ಲರ ಸಹಿತ ಕರ್ತನಲ್ಲಿ ನಂಬಿಕೆಯಿಟ್ಟನು. ಮತ್ತು ಕೊರಿಂಥದವರಲ್ಲಿ ಅನೇಕ ಜನರು ಪೌಲನ ಬೋಧನೆಯನ್ನು ಕೇಳಿ ವಿಶ್ವಾಸವಿಟ್ಟು ದೀಕ್ಷಾಸ್ನಾನ ಮಾಡಿಸಿಕೊಂಡರು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 9] ಇದಲ್ಲದೆ ಕರ್ತನು ರಾತ್ರಿ ಪೌಲನಿಗೆ ದರ್ಶನ ಕೊಟ್ಟು; “ನೀನು ಹೆದರಬೇಡ; ಆದರೆ ಸುಮ್ಮನಿರದೆ ಸುವಾರ್ತೆಯನ್ನು ಸಾರುತ್ತಲೇ ಇರು,
[IRV | KN | NT | Acts | Chapter 18 | Verse 10] ನಾನೇ ನಿನ್ನೊಂದಿಗಿದ್ದೇನೆ; ಯಾರೂ ನಿನಗೆ ಕೇಡು ಮಾಡುವುದಿಲ್ಲ; ಈ ಪಟ್ಟಣದಲ್ಲಿ ನನಗೆ ಬಹಳ ಮಂದಿ ಇದ್ದಾರೆ” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | NT | Acts | Chapter 18 | Verse 11] ಅವನು ಒಂದು ವರ್ಷ ಆರು ತಿಂಗಳು ಅಲ್ಲೇ ಇದ್ದುಕೊಂಡು ಆ ಜನರಿಗೆ ದೇವರ ವಾಕ್ಯವನ್ನು ಉಪದೇಶಮಾಡುತ್ತಿದ್ದನು.
