[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 1] And it came to pass at the end of twenty years, wherein Solomon had built the house of the LORD, and his own house,
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 2] That the cities which Huram had restored to Solomon, Solomon built them, and caused the children of Israel to dwell there.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 3] And Solomon went to Hamath-zobah, and prevailed against it.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 4] And he built Tadmor in the wilderness, and all the store cities, which he built in Hamath.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 5] Also he built Beth-horon the upper, and Beth-horon the nether, fortified cities, with walls, gates, and bars;
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 6] And Baalath, and all the store cities that Solomon had, and all the chariot cities, and the cities of the horsemen, and all that Solomon desired to build in Jerusalem, and in Lebanon, and throughout all the land of his dominion.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 7] As for all the people that were left of the Hittites, and the Amorites, and the Perizzites, and the Hivites, and the Jebusites, who were not of Israel,
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 8] But of their children, who were left after them in the land, whom the children of Israel consumed not, them did Solomon make to pay tribute until this day.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 9] But of the children of Israel did Solomon make no servants for his work; but they were men of war, and chief of his captains, and captains of his chariots and horsemen.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 10] And these were the chief of king Solomon's officers, even two hundred and fifty, that bore rule over the people.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 11] And Solomon brought up the daughter of Pharaoh from the city of David to the house that he had built for her: for he said, My wife shall not dwell in the house of David king of Israel, because the places are holy, to which the ark of the LORD hath come.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 12] Then Solomon offered burnt-offerings to the LORD on the altar of the LORD, which he had built before the porch,
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 13] Even after a certain rate every day, offering according to the commandment of Moses, on the sabbaths, and on the new moons, and on the solemn feasts, three times in the year, even in the feast of unleavened bread, and in the feast of weeks, and in the feast of tabernacles.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 14] And he appointed, according to the order of David his father, the courses of the priests to their service, and the Levites to their charges, to praise and minister before the priests, as the duty of every day required: the porters also by their courses at every gate: for so had David the man of God commanded.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 15] And they departed not from the commandment of the king to the priests and Levites concerning any matter, or concerning the treasures.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 16] Now all the work of Solomon was prepared to the day of the foundation of the house of the LORD, and until it was finished. So the house of the LORD was perfected.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 17] Then went Solomon to Ezion-geber, and to Eloth, at the sea side in the land of Edom.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 8 | Verse 18] And Huram sent to him by the hands of his servants, ships, and servants that had knowledge of the sea; and they went with the servants of Solomon to Ophir, and took thence four hundred and fifty talents of gold, and brought them to king Solomon.
