[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 1] And Jehoshaphat the king of Judah returned to his house in peace to Jerusalem.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 2] And Jehu the son of Hanani the seer went out to meet him, and said to king Jehoshaphat, Shouldst thou help the ungodly, and love them that hate the LORD? therefore is wrath upon thee from before the LORD.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 3] Nevertheless, there are good things found in thee, in that thou hast taken away the groves out of the land, and hast prepared thy heart to seek God.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 4] And Jehoshaphat dwelt at Jerusalem: and he went out again through the people from Beer-sheba to mount Ephraim, and brought them back to the LORD God of their fathers.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 5] And he set judges in the land throughout all the fortified cities of Judah, city by city,
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 6] And said to the judges, Take heed what ye do: for ye judge not for man, but for the LORD, who is with you in the judgment.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 7] Wherefore now let the fear of the LORD be upon you; take heed and do it : for there is no iniquity with the LORD our God, nor respect of persons, nor taking of gifts.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 8] Moreover, in Jerusalem did Jehoshaphat set of the Levites, and of the priests, and of the chief of the fathers of Israel, for the judgment of the LORD, and for controversies, when they returned to Jerusalem.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 9] And he charged them, saying, Thus shall ye do in the fear of the LORD, faithfully, and with a perfect heart.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 10] And whatever cause shall come to you of your brethren that dwell in their cities, between blood and blood, between law and commandment, statutes and judgments, ye shall even warn them that they trespass not against the LORD, and so wrath come upon you, and upon your brethren: this do, and ye shall not trespass.
[WEBSTER | EN | OT | 2 Chronicles | Chapter 19 | Verse 11] And behold, Amariah the chief priest is over you in all matters of the LORD; and Zebadiah the son of Ishmael, the ruler of the house of Judah, for all the king's matters: also the Levites shall be officers before you. Deal courageously, and the LORD will be with the good.
