[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 1] And Jehoshaphat the king of Judah returned to his house in peace to Jerusalem.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 2] And Jehu the son of Hanani the seer went out to meet him, and said to king Jehoshaphat, Shouldest thou help the wicked, and love them that hate the LORD? for this thing wrath is upon thee from before the LORD.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 3] Nevertheless there are good things found in thee, in that thou hast put away the Asheroth out of the land, and hast set thine heart to seek God.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 4] And Jehoshaphat dwelt at Jerusalem: and he went out again among the people from Beer-sheba to the hill country of Ephraim, and brought them back unto the LORD, the God of their fathers.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 5] And he set judges in the land throughout all the fenced cities of Judah, city by city,
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 6] and said to the judges, Consider what ye do: for ye judge not for man, but for the LORD; and he is with you in the judgment.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 7] Now therefore let the fear of the LORD be upon you; take heed and do it: for there is no iniquity with the LORD our God, nor respect of persons, nor taking of gifts.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 8] Moreover in Jerusalem did Jehoshaphat set of the Levites and the priests, and of the heads of the fathers’ houses of Israel, for the judgment of the LORD, and for controversies. And they returned to Jerusalem.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 9] And he charged them, saying, Thus shall ye do in the fear of the LORD, faithfully, and with a perfect heart.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 10] And whensoever any controversy shall come to you from your brethren that dwell in their cities, between blood and blood, between law and commandment, statutes and judgments, ye shall warn them, that they be not guilty towards the LORD, and so wrath come upon you and upon your brethren: this do, and ye shall not be guilty.
[ERV | EN | OT | 2 Chronicles | Chapter 19 | Verse 11] And, behold, Amariah the chief priest is over you in all matters of the LORD; and Zebadiah the son of Ishmael, the ruler of the house of Judah, in all the king’s matters: also the Levites shall be officers before you. Deal courageously, and the LORD be with the good.
