[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 1] And Solomon the son of David was strengthened in his kingdom, and the LORD his God was with him, and magnified him exceedingly.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 2] And Solomon spake unto all Israel, to the captains of thousands and of hundreds, and to the judges, and to every prince in all Israel, the heads of the fathers’ houses.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 3] So Solomon, and all the congregation with him, went to the high place that was at Gibeon; for there was the tent of meeting of God, which Moses the servant of the LORD had made in the wilderness.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 4] But the ark of God had David brought up from Kirjath-jearim to the place that David had prepared for it: for he had pitched a tent for it at Jerusalem.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 5] Moreover the brasen altar, that Bezalel the son of Uri, the son of Hur, had made, was there before the tabernacle of the LORD: and Solomon and the congregation sought unto it.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 6] And Solomon went up thither to the brasen altar before the LORD, which was at the tent of meeting, and offered a thousand burnt offerings upon it.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 7] In that night did God appear unto Solomon, and said unto him, Ask what I shall give thee.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 8] And Solomon said unto God, Thou hast shewed great kindness unto David my father, and hast made me king in his stead.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 9] Now, O LORD God, let thy promise unto David my father be established: for thou hast made me king over a people like the dust of the earth in multitude.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 10] Give me now wisdom and knowledge, that I may go out and come in before this people: for who can judge this thy people, that is so great?
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 11] And God said to Solomon, Because this was in thine heart, and thou hast not asked riches, wealth, or honour, nor the life of them that hate thee; neither yet hast asked long life; but hast asked wisdom and knowledge for thyself, that thou mayest judge my people, over whom I have made thee king:
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 12] wisdom and knowledge is granted unto thee; and I will give thee riches and wealth, and honour, such as none of the kings have had that have been before thee, neither shall there any after thee have the like.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 13] So Solomon came from his journey to the high place that was at Gibeon, from before the tent of meeting, unto Jerusalem; and he reigned over Israel.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 14] And Solomon gathered chariots and horsemen: and he had a thousand and four hundred chariots, and twelve thousand horsemen, which he placed in the chariot cities, and with the king at Jerusalem.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 15] And the king made silver and gold to be in Jerusalem as stones, and cedars made he to be as the sycomore trees that are in the lowland, for abundance.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 16] And the horses which Solomon had were brought out of Egypt; the king’s merchants received them in droves, each drove at a price.
[ERV | EN | OT | 2 Chronicles | Chapter 1 | Verse 17] And they fetched up, and brought out of Egypt a chariot for six hundred shekels of silver, and an horse for an hundred and fifty: and so for all the kings of the Hittites, and the kings of Syria, did they bring them out by their means.
