[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 1] In the six and thirtieth year of the reign of Asa, Baasha king of Israel went up against Judah, and built Ramah, that he might not suffer any to go out or come in to Asa king of Judah.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 2] Then Asa brought out silver and gold out of the treasures of the house of the LORD and of the king’s house, and sent to Ben-hadad king of Syria, that dwelt at Damascus, saying,
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 3] There is a league between me and thee, as there was between my father and thy father: behold, I have sent thee silver and gold; go, break thy league with Baasha king of Israel, that he may depart from me.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 4] And Ben-hadad hearkened unto king Asa, and sent the captains of his armies against the cities of Israel; and they smote Ijon, and Dan, and Abel-maim, and all the store cities of Naphtali.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 5] And it came to pass, when Baasha heard thereof, that he left off building of Ramah, and let his work cease.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 6] Then Asa the king took all Judah; and they carried away the stones of Ramah, and the timber thereof, wherewith Baasha had builded; and he built therewith Geba and Mizpah.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 7] And at that time Hanani the seer came to Asa king of Judah, and said unto him, Because thou hast relied on the king of Syria, and hast not relied on the LORD thy God, therefore is the host of the king of Syria escaped out of thine hand.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 8] Were not the Ethiopians and the Lubim a huge host, with chariots and horsemen exceeding many? yet, because thou didst rely on the LORD, he delivered them into thine hand.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 9] For the eyes of the LORD run to and fro throughout the whole earth, to shew himself strong in the behalf of them whose heart is perfect toward him. Herein thou hast done foolishly; for from henceforth thou shalt have wars.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 10] Then Asa was wroth with the seer, and put him in the prison house; for he was in a rage with him because of this thing. And Asa oppressed some of the people the same time.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 11] And, behold, the acts of Asa, first and last, lo, they are written in the book of the kings of Judah and Israel.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 12] And in the thirty and ninth year of his reign Asa was diseased in his feet; his disease was exceeding great: yet in his disease he sought not to the LORD, but to the physicians.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 13] And Asa slept with his fathers, and died in the one and fortieth year of his reign.
[ERV | EN | OT | 2 Chronicles | Chapter 16 | Verse 14] And they buried him in his own sepulchres, which he had hewn out for himself in the city of David, and laid him in the bed which was filled with sweet odours and divers kinds of spices prepared by the apothecaries’ art: and they made a very great burning for him.
