[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 1] Wherefore when we could no longer forbear, we thought it good to be left at Athens alone;
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 2] and sent Timotheus, our brother, and minister of God, and our fellowlabourer in the gospel of Christ, to establish you, and to comfort you concerning your faith:
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 3] that no man should be moved by these afflictions: for yourselves know that we are appointed thereunto.
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 4] For verily, when we were with you, we told you before that we should suffer tribulation; even as it came to pass, and ye know.
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 5] For this cause, when I could no longer forbear, I sent to know your faith, lest by some means the tempter have tempted you, and our labour be in vain.
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 6] But now when Timotheus came from you unto us, and brought us good tidings of your faith and charity, and that ye have good remembrance of us always, desiring greatly to see us, as we also to see you:
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 7] therefore, brethren, we were comforted over you in all our affliction and distress, by your faith:
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 8] for now we live, if ye stand fast in the Lord.
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 9] For what thanks can we render to God again for you, for all the joy wherewith we joy for your sakes before our God;
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 10] night and day praying exceedingly that we might see your face, and might perfect that which is lacking in your faith?
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 11] Now God himself and our Father, and our Lord Jesus Christ, direct our way unto you.
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 12] And the Lord make you to increase and abound in love one towards another, and towards all men, even as we do towards you:
[KJV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 13] to the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints.
