[ERV | EN | NT | Hebrews | Chapter 10 | Verse 1] For the law having a shadow of the good things to come, not the very image of the things, they can never with the same sacrifices year by year, which they offer continually, make perfect them that draw nigh.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 2] Else would they not have ceased to be offered, because the worshippers, having been once cleansed, would have had no more conscience of sins?
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 3] But in those sacrifices there is a remembrance made of sins year by year.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 4] For it is impossible that the blood of bulls and goats should take away sins.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 5] Wherefore when he cometh into the world, he saith, Sacrifice and offering thou wouldest not, But a body didst thou prepare for me;
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 6] In whole burnt offerings and sacrifices for sin thou hadst no pleasure:
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 7] Then said I, Lo, I am come ( In the roll of the book it is written of me) To do thy will, O God.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 8] Saying above, Sacrifices and offerings and whole burnt offerings and sacrifices for sin thou wouldest not, neither hadst pleasure therein ( the which are offered according to the law),
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 9] then hath he said, Lo, I am come to do thy will. He taketh away the first, that he may establish the second.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 10] By which will we have been sanctified through the offering of the body of Jesus Christ once for all.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 11] And every priest indeed standeth day by day ministering and offering oftentimes the same sacrifices, the which can never take away sins:
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 12] but he, when he had offered one sacrifice for sins for ever, sat down on the right hand of God;
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 13] from henceforth expecting till his enemies be made the footstool of his feet.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 14] For by one offering he hath perfected for ever them that are sanctified.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 15] And the Holy Ghost also beareth witness to us: for after he hath said,
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 16] This is the covenant that I will make with them After those days, saith the Lord; I will put my laws on their heart, And upon their mind also will I write them; then saith he,
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 17] And their sins and their iniquities will I remember no more.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 18] Now where remission of these is, there is no more offering for sin.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 19] Having therefore, brethren, boldness to enter into the holy place by the blood of Jesus,
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 20] by the way which he dedicated for us, a new and living way, through the veil, that is to say, his flesh;
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 21] and having a great priest over the house of God;
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 22] let us draw near with a true heart in fulness of faith, having our hearts sprinkled from an evil conscience, and our body washed with pure water:
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 23] let us hold fast the confession of our hope that it waver not; for he is faithful that promised:
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 24] and let us consider one another to provoke unto love and good works;
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 25] not forsaking the assembling of ourselves together, as the custom of some is, but exhorting one another; and so much the more, as ye see the day drawing nigh.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 26] For if we sin wilfully after that we have received the knowledge of the truth, there remaineth no more a sacrifice for sins,
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 27] but a certain fearful expectation of judgment, and a fierceness of fire which shall devour the adversaries.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 28] A man that hath set at nought Moses’ law dieth without compassion on the word of two or three witnesses:
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 29] of how much sorer punishment, think ye, shall he be judged worthy, who hath trodden under foot the Son of God, and hath counted the blood of the covenant, wherewith he was sanctified, an unholy thing, and hath done despite unto the Spirit of grace?
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 30] For we know him that said, Vengeance belongeth unto me, I will recompense. And again, The Lord shall judge his people.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 31] It is a fearful thing to fall into the hands of the living God.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 32] But call to remembrance the former days, in which, after ye were enlightened, ye endured a great conflict of sufferings;
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 33] partly, being made a gazingstock both by reproaches and afflictions; and partly, becoming partakers with them that were so used.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 34] For ye both had compassion on them that were in bonds, and took joyfully the spoiling of your possessions, knowing that ye yourselves have a better possession and an abiding one.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 35] Cast not away therefore your boldness, which hath great recompense of reward.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 36] For ye have need of patience, that, having done the will of God, ye may receive the promise.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 37] For yet a very little while, He that cometh shall come, and shall not tarry.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 38] But my righteous one shall live by faith: And if he shrink back, my soul hath no pleasure in him.
[ERV | EN | NT | Hebrews | Chapter 10 | Verse 39] But we are not of them that shrink back unto perdition; but of them that have faith unto the saving of the soul.
