[ERV | EN | NT | Hebrews | Chapter 3 | Verse 1] Wherefore, holy brethren, partakers of a heavenly calling, consider the Apostle and High Priest of our confession, even Jesus;
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 2] who was faithful to him that appointed him, as also was Moses in all his house.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 3] For he hath been counted worthy of more glory than Moses, by so much as he that built the house hath more honour than the house.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 4] For every house is builded by some one; but he that built all things is God.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 5] And Moses indeed was faithful in all his house as a servant, for a testimony of those things which were afterward to be spoken;
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 6] but Christ as a son, over his house; whose house are we, if we hold fast our boldness and the glorying of our hope firm unto the end.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 7] Wherefore, even as the Holy Ghost saith, Today if ye shall hear his voice,
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 8] Harden not your hearts, as in the provocation, Like as in the day of the temptation in the wilderness,
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 9] Wherewith your fathers tempted me by proving me, And saw my works forty years.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 10] Wherefore I was displeased with this generation, And said, They do alway err in their heart: But they did not know my ways;
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 11] As I sware in my wrath, They shall not enter into my rest.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 12] Take heed, brethren, lest haply there shall be in any one of you an evil heart of unbelief, in falling away from the living God:
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 13] but exhort one another day by day, so long as it is called Today; lest any one of you be hardened by the deceitfulness of sin:
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 14] for we are become partakers of Christ, if we hold fast the beginning of our confidence firm unto the end:
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 15] while it is said, Today if ye shall hear his voice, Harden not your hearts, as in the provocation.
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 16] For who, when they heard, did provoke? nay, did not all they that came out of Egypt by Moses?
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 17] And with whom was he displeased forty years? was it not with them that sinned, whose carcases fell in the wilderness?
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 18] And to whom sware he that they should not enter into his rest, but to them that were disobedient?
[ERV | EN | NT | Hebrews | Chapter 3 | Verse 19] And we see that they were not able to enter in because of unbelief.
