[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spake unto the LORD the words of this song in the day that the LORD delivered him out of the hand of all his enemies, and out of the hand of Saul:
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 2] and he said, The LORD is my rock, and my fortress, and my deliverer, even mine;
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 3] The God of my rock, in him will I trust; my shield and the horn of my salvation, my high tower, and my refuge; my saviour, thou savest me from violence.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 4] I will call upon the LORD, who is worthy to be praised: so shall I be saved from mine enemies.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 5] For the waves of death compassed me, the floods of ungodliness made me afraid.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 6] The cords of Sheol were round about me: the snares of death came upon me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 7] In my distress I called upon the LORD, yea, I called unto my God: and he heard my voice out of his temple, and my cry came into his ears.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 8] Then the earth shook and trembled, the foundations of heaven moved and were shaken, because he was wroth.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 9] There went up a smoke out of his nostrils, and fire out of his mouth devoured: coals were kindled by it.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 10] He bowed the heavens also, and came down; and thick darkness was under his feet.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 11] And he rode upon a cherub, and did fly: yea, he was seen upon the wings of the wind.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 12] And he made darkness pavilions round about him, gathering of waters, thick clouds of the skies.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 13] At the brightness before him coals of fire were kindled.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 14] The LORD thundered from heaven, and the Most High uttered his voice.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 15] And he sent out arrows, and scattered them; lightning, and discomfited them.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 16] Then the channels of the sea appeared, the foundations of the world were laid bare, by the rebuke of the LORD, at the blast of the breath of his nostrils.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 17] He sent from on high, he took me; he drew me out of many waters;
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 18] He delivered me from my strong enemy, from them that hated me; for they were too mighty for me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 19] They came upon me in the day of my calamity: but the LORD was my stay.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 20] He brought me forth also into a large place: he delivered me, because he delighted in me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 21] The LORD rewarded me according to my righteousness: according to the cleanness of my hands hath he recompensed me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 22] For I have kept the ways of the LORD, and have not wickedly departed from my God.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 23] For all his judgments were before me: and as for his statutes, I did not depart from them.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 24] I was also perfect toward him, and I kept myself from mine iniquity.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 25] Therefore hath the LORD recompensed me according to my righteousness; according to my cleanness in his eyesight.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 26] With the merciful thou wilt shew thyself merciful, with the perfect man thou wilt shew thyself perfect;
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 27] With the pure thou wilt shew thyself pure; and with the perverse thou wilt shew thyself froward.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 28] And the afflicted people thou wilt save: but thine eyes are upon the haughty, that thou mayest bring them down.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 29] For thou art my lamp, O LORD: and the LORD will lighten my darkness.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 30] For by thee I run upon a troop: by my God do I leap over a wall.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 31] As for God, his way is perfect: the word of the LORD is tried; he is a shield unto all them that trust in him.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 32] For who is God, save the LORD? and who is a rock, save our God?
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 33] God is my strong fortress: and he guideth the perfect in his way.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 34] He maketh his feet like hinds’ feet: and setteth me upon my high places.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 35] He teacheth my hands to war; so that mine arms do bend a bow of brass.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 36] Thou hast also given me the shield of thy salvation: and thy gentleness hath made me great.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 37] Thou hast enlarged my steps under me, and my feet have not slipped.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 38] I have pursued mine enemies, and destroyed them; neither did I turn again till they were consumed.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 39] And I have consumed them, and smitten them through, that they cannot arise; yea, they are fallen under my feet.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 40] For thou hast girded me with strength unto the battle: thou hast subdued under me those that rose up against me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 41] Thou hast also made mine enemies turn their backs unto me, that I might cut off them that hate me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 42] They looked, but there was none to save; even unto the LORD, but he answered them not.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 43] Then did I beat them small as the dust of the earth, I did stamp them as the mire of the streets, and did spread them abroad.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 44] Thou also hast delivered me from the strivings of my people; thou hast kept me to be the head of the nations: a people whom I have not known shall serve me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 45] The strangers shall submit themselves unto me: as soon as they hear of me, they shall obey me.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 46] The strangers shall fade away, and shall come trembling out of their close places.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 47] The LORD liveth; and blessed be my rock; and exalted be the God of the rock of my salvation:
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 48] Even the God that executeth vengeance for me, and bringeth down peoples under me,
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 49] And that bringeth me forth from mine enemies: yea, thou liftest me up above them that rise up against me: thou deliverest me from the violent man.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 50] Therefore I will give thanks unto thee, O LORD, among the nations, and will sing praises unto thy name.
[ERV | EN | OT | 2 Samuel | Chapter 22 | Verse 51] Great deliverance giveth he to his king: and sheweth lovingkindness to his anointed, to David and to his seed, for evermore.
