[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 1] And David again gathered together all the chosen men of Israel, thirty thousand.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 2] And David arose, and went with all the people that were with him, from Baale Judah, to bring up from thence the ark of God, which is called by the Name, even the name of the LORD of hosts that sitteth upon the cherubim.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 3] And they set the ark of God upon a new cart, and brought it out of the house of Abinadab that was in the hill: and Uzzah and Ahio, the sons of Abinadab, drave the new cart.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 4] And they brought it out of the house of Abinadab, which was in the hill, with the ark of God: and Ahio went before the ark.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 5] And David and all the house of Israel played before the LORD with all manner of instruments made of fir wood, and with harps, and with psalteries, and with timbrels, and with castanets, and with cymbals.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 6] And when they came to the threshing-floor of Nacon, Uzzah put forth his hand to the ark of God, and took hold of it; for the oxen stumbled.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 7] And the anger of the LORD was kindled against Uzzah; and God smote him there for his error; and there he died by the ark of God.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 8] And David was displeased, because the LORD had broken forth upon Uzzah: and he called that place Perez-uzzah, unto this day.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 9] And David was afraid of the LORD that day; and he said, How shall the ark of the LORD come unto me?
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 10] So David would not remove the ark of the LORD unto him into the city of David; but David carried it aside into the house of Obed-edom the Gittite.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 11] And the ark of the LORD remained in the house of Obed-edom the Gittite three months: and the LORD blessed Obed-edom, and all his house.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 12] And it was told king David, saying, The LORD hath blessed the house of Obed-edom, and all that pertaineth to him, because of the ark of God. And David went and brought up the ark of God from the house of Obed-edom into the city of David with joy.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 13] And it was so, that when they that bare the ark of the LORD had gone six paces, he sacrificed an ox and a fatling.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 14] And David danced before the LORD with all his might; and David was girded with a linen ephod.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 15] So David and all the house of Israel brought up the ark of the LORD with shouting, and with the sound of the trumpet.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 16] And it was so, as the ark of the LORD came into the city of David, that Michal the daughter of Saul looked out at the window, and saw king David leaping and dancing before the LORD; and she despised him in her heart.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 17] And they brought in the ark of the LORD, and set it in its place, in the midst of the tent that David had pitched for it: and David offered burnt offerings and peace offerings before the LORD.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 18] And when David had made an end of offering the burnt offering and the peace offerings, he blessed the people in the name of the LORD of hosts.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 19] And he dealt among all the people, even among the whole multitude of Israel, both to men and women, to every one a cake of bread, and a portion of flesh, and a cake of raisins. So all the people departed every one to his house.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 20] Then David returned to bless his household. And Michal the daughter of Saul came out to meet David, and said, How glorious was the king of Israel today, who uncovered himself today in the eyes of the handmaids of his servants, as one of the vain fellows shamelessly uncovereth himself!
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 21] And David said unto Michal, It was before the LORD, which chose me above thy father, and above all his house, to appoint me prince over the people of the LORD, over Israel: therefore will I play before the LORD.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 22] And I will be yet more vile than thus, and will be base in mine own sight: but of the handmaids which thou hast spoken of, of them shall I be had in honour.
[ERV | EN | OT | 2 Samuel | Chapter 6 | Verse 23] And Michal the daughter of Saul had no child unto the day of her death.
