[ERV | EN | OT | Joshua | Chapter 21 | Verse 1] Then came near the heads of fathers’ houses of the Levites unto Eleazar the priest, and unto Joshua the son of Nun, and unto the heads of fathers’ houses of the tribes of the children of Israel;
[ERV | EN | OT | Joshua | Chapter 21 | Verse 2] and they spake unto them at Shiloh in the land of Canaan, saying, The LORD commanded by the hand of Moses to give us cities to dwell in, with the suburbs thereof for our cattle.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 3] And the children of Israel gave unto the Levites out of their inheritance, according to the commandment of the LORD, these cities with their suburbs.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 4] And the lot came out for the families of the Kohathites: and the children of Aaron the priest, which were of the Levites, had by lot out of the tribe of Judah, and out of the tribe of the Simeonites, and out of the tribe of Benjamin, thirteen cities.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 5] And the rest of the children of Kohath had by lot out of the families of the tribe of Ephraim, and out of the tribe of Dan, and out of the half tribe of Manasseh, ten cities.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 6] And the children of Gershon had by lot out of the families of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the half tribe of Manasseh in Bashan, thirteen cities.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 7] The children of Merari according to their families had out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 8] And the children of Israel gave by lot unto the Levites these cities with their suburbs, as the LORD commanded by the hand of Moses.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 9] And they gave out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, these cities which are here mentioned by name:
[ERV | EN | OT | Joshua | Chapter 21 | Verse 10] and they were for the children of Aaron, of the families of the Kohathites, who were of the children of Levi: for theirs was the first lot.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 11] And they gave them Kiriath-arba, which Arba was the father of Anak, ( the same is Hebron,) in the hill country of Judah, with the suburbs thereof round about it.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 12] But the fields of the city, and the villages thereof, gave they to Caleb the son of Jephunneh for his possession.
[ERV | EN | OT | Joshua | Chapter 21 | Verse 13] And unto the children of Aaron the priest they gave Hebron with her suburbs, the city of refuge for the manslayer, and Libnah with her suburbs;
[ERV | EN | OT | Joshua | Chapter 21 | Verse 14] and Jattir with her suburbs, and Eshtemoa with her suburbs;
[ERV | EN | OT | Joshua | Chapter 21 | Verse 15] and Holon with her suburbs, and Debir with her suburbs;
