[ERV | EN | OT | Joshua | Chapter 13 | Verse 1] Now Joshua was old and well stricken in years; and the LORD said unto him, Thou art old and well stricken in years, and there remaineth yet very much land to be possessed.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 2] This is the land that yet remaineth: all the regions of the Philistines, and all the Geshurites;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 3] from the Shihor, which is before Egypt, even unto the border of Ekron northward, which is counted to the Canaanites: the five lords of the Philistines. the Gazites, and the Ashdodites, the Ashkelonites, the Gittites, and the Ekronites; also the Avvim,
[ERV | EN | OT | Joshua | Chapter 13 | Verse 4] on the south: all the land of the Canaanites, and Mearah that belongeth to the Zidonians, unto Aphek, to the border of the Amorites:
[ERV | EN | OT | Joshua | Chapter 13 | Verse 5] and the land of the Gebalites, and all Lebanon, toward the sunrising, from Baal-gad under mount Hermon unto the entering in of Hamath:
[ERV | EN | OT | Joshua | Chapter 13 | Verse 6] all the inhabitants of the hill country from Lebanon unto Misrephoth-maim, even all the Zidonians; them will I drive out from before the children of Israel: only allot thou it unto Israel for an inheritance, as I have commanded thee.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 7] Now therefore divide this land for an inheritance unto the nine tribes, and the half tribe of Manasseh.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 8] With him the Reubenites and the Gadites received their inheritance, which Moses gave them, beyond Jordan eastward, even as Moses the servant of the LORD gave them;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 9] from Aroer, that is on the edge of the valley of Arnon, and the city that is in the middle of the valley, and all the plain of Medeba unto Dibon;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 10] and all the cities of Sihon king of the Amorites, which reigned in Heshbon, unto the border of the children of Ammon;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 11] and Gilead, and the border of the Geshurites and Maacathites, and all mount Hermon, and all Bashan unto Salecah;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 12] all the kingdom of Og in Bashan, which reigned in Ashtaroth and in Edrei ( the same was left of the remnant of the Rephaim); for these did Moses smite, and drave them out.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 13] Nevertheless the children of Israel drave not out the Geshurites, nor the Maacathites: but Geshur and Maacath dwelt in the midst of Israel, unto this day.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 14] Only unto the tribe of Levi he gave none inheritance; the offerings of the LORD, the God of Israel, made by fire are his inheritance, as he spake unto him.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 15] And Moses gave unto the tribe of the children of Reuben according to their families.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 16] And their border was from Aroer, that is on the edge of the valley of Arnon, and the city that is in the middle of the valley, and all the plain by Medeba;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 17] Heshbon, and all her cities that are in the plain; Dibon, and Bamoth-baal, and Beth-baal-meon;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 18] and Jahaz, and Kedemoth, and Mephaath;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 19] and Kiriathaim, and Sibmah, and Zereth-shahar in the mount of the valley;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 20] and Beth-peor, and the slopes of Pisgah, and Beth-jeshimoth;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 21] and all the cities of the plain, and all the kingdom of Sihon king of the Amorites, which reigned in Heshbon, whom Moses smote with the chiefs of Midian, Evi, and Rekem, and Zur, and Hur, and Reba, the princes of Sihon, that dwelt in the land.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 22] Balaam also the son of Beor, the soothsayer, did the children of Israel slay with the sword among the rest of their slain.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 23] And the border of the children of Reuben was Jordan, and the border thereof. This was the inheritance of the children of Reuben according to their families, the cities and the villages thereof.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 24] And Moses gave unto the tribe of Gad, unto the children of Gad, according to their families.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 25] And their border was Jazer, and all the cities of Gilead, and half the land of the children of Ammon, unto Aroer that is before Rabbah;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 26] and from Heshbon unto Ramath-mizpeh, and Betonim; and from Mahanaim unto the border of Debir;
[ERV | EN | OT | Joshua | Chapter 13 | Verse 27] and in the valley, Beth-haram, and Beth-nimrah, and Succoth, and Zaphon, the rest of the kingdom of Sihon king of Heshbon, Jordan and the border thereof, unto the uttermost part of the sea of Chinnereth beyond Jordan eastward.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 28] This is the inheritance of the children of Gad according to their families, the cities and the villages thereof.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 29] And Moses gave inheritance unto the half tribe of Manasseh: and it was for the half tribe of the children of Manasseh according to their families.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 30] And their border was from Mahanaim, all Bashan, all the kingdom of Og king of Bashan, and all the towns of Jair, which are in Bashan, threescore cities:
[ERV | EN | OT | Joshua | Chapter 13 | Verse 31] and half Gilead, and Ashtaroth, and Edrei, the cities of the kingdom of Og in Bashan, were for the children of Machir the son of Manasseh, even for the half of the children of Machir according to their families.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 32] These are the inheritances which Moses distributed in the plains of Moab, beyond the Jordan at Jericho, eastward.
[ERV | EN | OT | Joshua | Chapter 13 | Verse 33] But unto the tribe of Levi Moses gave none inheritance: the LORD, the God of Israel, is their inheritance, as he spake unto them.
