[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 1] Now concerning the collections that are made for the saints, as I have given order to the churches of Galatia, so do ye also.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 2] On the first day of the week let every one of you put apart with himself, laying up what it shall well please him; that when I come, the collections be not then to be made.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 3] And when I shall be with you, whomsoever you shall approve by letters, them will I send to carry your grace to Jerusalem.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 4] And if it be meet that I also go, they shall go with me.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 5] Now I will come to you, when I shall have passed through Macedonia. For I shall pass through Macedonia.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 6] And with you perhaps I shall abide, or even spend the winter: that you may bring me on my way whithersoever I shall go.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 7] For I will not see you now by the way, for I trust that I shall abide with you some time, if the Lord permit.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 8] But I will tarry at Ephesus until Pentecost.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 9] For a great door and evident is opened unto me: and many adversaries.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 10] Now if Timothy come, see that he be with you without fear, for he worketh the work of the Lord, as I also do.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 11] Let no man therefore despise him, but conduct ye him on his way in peace: that he may come to me. For I look for him with the brethren.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 12] And touching our brother Apollo, I give you to understand, that I much entreated him to come unto you with the brethren: and indeed it was not his will at all to come at this time. But he will come when he shall have leisure.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 13] Watch ye, stand fast in the faith, do manfully, and be strengthened.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 14] Let all your things be done in charity.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 15] And I beseech you, brethren, you know the house of Stephanas, and of Fortunatus, and of Achaicus, that they are the firstfruits of Achaia, and have dedicated themselves to the ministry of the saints:
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 16] That you also be subject to such, and to every one that worketh with us, and laboureth.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 17] And I rejoice in the presence of Stephanas, and Fortunatus, and Achaicus, because that which was wanting on your part, they have supplied.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 18] For they have refreshed both my spirit and yours. Know them, therefore, that are such.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 19] The churches of Asia salute you. Aquila and Priscilla salute you much in the Lord, with the church that is in their house, with whom I also lodge.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 20] All the brethren salute you. Salute one another with a holy kiss.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 21] The salutation of me Paul, with my own hand.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 22] If any man love not our Lord Jesus Christ, let him be anathema, maranatha.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 23] The grace of our Lord Jesus Christ be with you.
[DRA | EN | NT | 1 Corinthians | Chapter 16 | Verse 24] My charity be with you all in Christ Jesus. Amen.
