[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 1] And I, brethren, could not speak to you as unto spiritual, but as unto carnal. As unto little ones in Christ.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 2] I gave you milk to drink, not meat; for you were not able as yet. But neither indeed are you now able; for you are yet carnal.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 3] For, whereas there is among you envying and contention, are you not carnal, and walk according to man?
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 4] For while one saith, I indeed am of Paul; and another, I am of Apollo; are you not men? What then is Apollo, and what is Paul?
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 5] The ministers of him whom you have believed; and to every one as the Lord hath given.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 6] I have planted, Apollo watered, but God gave the increase.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 7] Therefore, neither he that planteth is any thing, nor he that watereth; but God that giveth the increase.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 8] Now he that planteth, and he that watereth, ate one. And every man shall receive his own reward, according to his own labour.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 9] For we are God’s coadjutors: you are God’s husbandry; you are God’s building.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 10] According to the grace of God that is given to me, as a wise architect, I have laid the foundation; and another buildeth thereon. But let every man take heed how he buildeth thereupon.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 11] For other foundation no man can lay, but that which is laid; which is Christ Jesus.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 12] Now if any man build upon this foundation, gold, silver, precious stones, wood, hay, stubble:
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 13] Every man’s work shall be manifest; for the day of the Lord shall declare it, because it shall be revealed in fire; and the fire shall try every man’s work, of what sort it is.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 14] If any man’s work abide, which he hath built thereupon, he shall receive a reward.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 15] If any man’s work burn, he shall suffer loss; but he himself shall be saved, yet so as by fire.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 16] Know you not, that you are the temple of God, and that the Spirit of God dwelleth in you?
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 17] But if any man violate the temple of God, him shall God destroy. For the temple of God is holy, which you are.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 18] Let no man deceive himself: if any man among you seem to be wise in this world, let him become a fool, that he may be wise.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 19] For the wisdom of this world is foolishness with God. For it is written: I will catch the wise in their own craftiness.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 20] And again: The Lord knoweth the thoughts of the wise, that they are vain.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 21] Let no man therefore glory in men.
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 22] For all things are yours, whether it be Paul, or Apollo, or Cephas, or the world, or life, or death, or things present, or things to some; for all are yours;
[DRA | EN | NT | 1 Corinthians | Chapter 3 | Verse 23] And you are Christ’s; and Christ is God’s.
