[GNV | EN | OT | Numbers | Chapter 14 | Verse 1] Then all ye Congregation lifted vp their voice, and cryed: and the people wept that night,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 2] And all the children of Israel murmured against Moses and Aaron: and the whole assemblie said vnto them, Would God we had died in the land of Egypt, or in this wildernesse: would God we were dead.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 3] Wherefore nowe hath the Lord brought vs into this lande to fall vpon the sworde? our wiues, and our children shall be a pray: were it not better for vs to returne into Egypt?
[GNV | EN | OT | Numbers | Chapter 14 | Verse 4] And they said one to another, Let vs make a Captaine and returne into Egypt.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 5] Then Moses and Aaron fell on their faces before all the assemblie of the Congregation of the children of Israel.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 6] And Ioshua the sonne of Nun, and Caleb the sonne of Iephunneh two of them that searched the lande, rent their clothes,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 7] And spake vnto all the assemblie of the childre of Israel, saying, The land which we walked through to search it, is a very good lande.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 8] If the Lord loue vs, he will bring vs into this land, and giue it vs, which is a land that floweth with milke and honie.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 9] But rebell not ye against the Lord, neither feare ye the people of the land: for they are but bread for vs: their shielde is departed from the, and the Lord is with vs, feare them not.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 10] And all the multitude saide, Stone them with stones: but the glory of the Lord appeared in the Tabernacle of the Congregation, before all the children of Israel.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 11] And the Lord said vnto Moses, How long will this people prouoke me, and howe long will it be, yer they beleeue me, for al the signes which I haue shewed among them?
[GNV | EN | OT | Numbers | Chapter 14 | Verse 12] I will smite them with the pestilence and destroy them, and will make thee a greater nation and mightier then they.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 13] But Moses saide vnto the Lord, When the Egyptians shall heare it, (for thou broughtest this people by thy power from among them)
[GNV | EN | OT | Numbers | Chapter 14 | Verse 14] Then they shall say to the inhabitants of this land, (for they haue heard that thou, Lord, art among this people, and that thou, Lord, art seene face to face, and that thy cloude standeth ouer them, and that thou goest before them by day time in a pillar of a cloude, and in a pillar of fire by night)
[GNV | EN | OT | Numbers | Chapter 14 | Verse 15] That thou wilt kill this people as one man: so the heathen which haue heard the fame of thee, shall thus say,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 16] Because the Lord was not able to bring this people into the lande, which he sware vnto them, therefore hath he slaine them in the wildernesse.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 17] And now, I beseech thee, let the power of my Lord be great, according as thou hast spoken, saying,
[GNV | EN | OT | Numbers | Chapter 14 | Verse 18] The Lord is slowe to anger, and of great mercie, and forgiuing iniquitie, and sinne, but not making the wicked innocent, and visiting the wickednes of the fathers vpon the children, in the thirde and fourth generation:
[GNV | EN | OT | Numbers | Chapter 14 | Verse 19] Be mercifull, I beseech thee, vnto the iniquitie of this people, according to thy great mercie, and as thou hast forgiuen this people from Egypt, euen vntill nowe.
[GNV | EN | OT | Numbers | Chapter 14 | Verse 20] And the Lord said, I haue forgiuen it, according to thy request.
