[GNV | EN | OT | Numbers | Chapter 13 | Verse 1] Then afterwarde the people remooued from Hazeroth, and pitched in the wildernesse of Paran.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 2] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 13 | Verse 3] Sende thou men out to search the lande of Canaan which I giue vnto the children of Israel: of euery tribe of their fathers shall ye sende a man, such as are all rulers among them.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 4] Then Moses sent them out of the wildernesse of Paran at the commandement of the Lord: all those men were heades of the children of Israel.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 5] Also their names are these: of the tribe of Reuben, Shammua the sonne of Zaccur:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 6] Of the tribe of Simeon, Shaphat the sonne of Hori:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 7] Of the tribe of Iudah, Caleb the sonne of Iephunneh:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 8] Of the tribe of Issachar, Igal the sonne of Ioseph:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 9] Of the tribe of Ephraim, Oshea the sone of Nun:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 10] Of the tribe of Beniamin, Palti the sonne of Raphu:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 11] Of the tribe of Zebulun, Gaddiel the sone of Sodi:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 12] Of the tribe of Ioseph, to wit, of the tribe of Manasseh, Gaddi the sonne of Susi:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 13] Of the tribe of Dan, Ammiel the sonne of Gemalli:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 14] Of the tribe of Asher, Sethur the sonne of Michael:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 15] Of the tribe of Naphtali, Nahbi the sonne of Vophsi:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 16] Of the tribe of Gad, Geuel the sonne of Machi.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 17] These are the names of the men, which Moses sent to spie out the lande: and Moses called ye name of Oshea the sonne of Nun, Iehoshua.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 18] So Moses sent them to spie out the lande of Canaan, and said vnto them, Go vp this way toward the South, and go vp into the moutaines,
[GNV | EN | OT | Numbers | Chapter 13 | Verse 19] And consider the land what it is, and the people that dwel therein, whether they be strong or weake, either fewe or many,
[GNV | EN | OT | Numbers | Chapter 13 | Verse 20] Also what the lande is that they dwell in, whether it be good or bad: and what cities they be, that they dwell in, whether they dwell in tents, or in walled townes:
[GNV | EN | OT | Numbers | Chapter 13 | Verse 21] And what the land is: whether it be fat or leane, whether there be trees therein, or not. And be of good courage, and bring of the fruite of the lande (for then was the time of the first ripe grapes)
[GNV | EN | OT | Numbers | Chapter 13 | Verse 22] So they went vp, and searched out the lande, from the wildernesse of Zin vnto Rehob, to go to Hamath,
[GNV | EN | OT | Numbers | Chapter 13 | Verse 23] And they ascended toward the South, and came vnto Hebron, where were Ahiman, Sheshai and Talmai, the sonnes of Anak. And Hebron was built seuen yeere before Zoan in Egypt.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 24] Then they came to the riuer of Eshcol, and cut downe thence a branch with one cluster of grapes, and they bare it vpon a barre betweene two, and brought of the pomegranates and of the figges.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 25] That place was called the riuer Eshcol, because of the cluster of grapes, which the children of Israel cut downe thence.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 26] Then after fourtie dayes, they turned againe from searching of the land.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 27] And they went and came to Moses and to Aaron and vnto al the Congregation of the children of Israel, in the wildernesse of Paran, to Kadesh, and brought to the, and to all the Congregation tydings, and shewed them the fruite of the lande.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 28] And they tolde him, and saide, We came vnto the land whither thou hast sent vs, and surely it floweth with milke and honie: and here is of the fruite of it.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 29] Neuerthelesse the people be strong that dwell in the land, and the cities are walled and exceeding great: and moreouer, we sawe the sonnes of Anak there.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 30] The Amalekites dwell in the South countrey, and the Hittites, and the Iebusites, and the Amorites dwell in the mountaines, and the Canaanites dwell by the sea, and by the coast of Iorden.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 31] Then Caleb stilled the people before Moses, and saide, Let vs go vp at once, and possesse it: for vndoubtedly we shall ouercome it.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 32] But the men, that went vp with him, saide, we be not able to goe vp against the people: for they are stronger then we.
[GNV | EN | OT | Numbers | Chapter 13 | Verse 33] So they brought vp an euill report of the land which they had searched for the children of Israel, saying, The lande which we haue gone through to search it out, is a land that eateth vp the inhabitants thereof: for all the people that we sawe in it, are men of great stature.
