[GNV | EN | OT | Numbers | Chapter 1 | Verse 1] The Lord spake againe vnto Moses in the wildernesse of Sinai, in the Tabernacle of the Congregation, in the first day of the second moneth, in the second yere after they were come out of the land of Egypt, saying,
[GNV | EN | OT | Numbers | Chapter 1 | Verse 2] Take ye the summe of all the Congregation of the children of Israel, after their families, and housholdes of their fathers with the nomber of their names: to wit, all the males, man by man:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 3] From twentie yere olde and aboue, all that go forth to the warre in Israel, thou and Aaron shall number them, throughout their armies.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 4] And with you shalbe men of euery tribe, such as are the heads of the house of their fathers.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 5] And these are the names of the men that shall stand with you, of the tribe of Reuben, Elizur, the sonne of Shedeur:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 6] Of Simeon, Shelumiel the sonne of Zurishaddai:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 7] Of Iudah, Nahshon the sonne of Amminadab:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 8] Of Issachar, Nethaneel, the sonne of Zuar:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 9] Of Zebulun, Eliab, the sonne of Helon:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 10] Of the children of Ioseph: of Ephraim, Elishama the sonne of Ammihud: of Manasseh, Gamliel, the sonne of Pedahzur:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 11] Of Beiamin, Abida the sonne of Gideoni:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 12] Of Dan, Ahiezer, the sonne of Ammishaddai:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 13] Of Asher, Pagiel, the sonne of Ocran:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 14] Of Gad, Eliasaph, the sonne of Deuel:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 15] Of Naphtali, Ahira the sonne of Enan.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 16] These were famous in the Congregation, princes of the tribes of their fathers, and heads ouer thousands in Israel.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 17] The Moses and Aaron tooke these men which are expressed by their names.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 18] And they called all the Congregation together, in the first day of the second moneth, who declared their kindreds by their families, and by the houses of their fathers, according to the nomber of their names, from twentie yere olde and aboue, man by man.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 19] As the Lord had commanded Moses, so he nombred them in the wildernesse of Sinai.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 20] So were the sonnes of Reuben Israels eldest sonne by their generations, by their families, and by the houses of their fathers, according to the nomber of their names, man by man euery male from twentie yere olde and aboue, as many as went forth to warre:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 21] The nomber of them, I say, of the tribe of Reuben, was sixe and fourtie thousande, and fiue hundreth.
[GNV | EN | OT | Numbers | Chapter 1 | Verse 22] Of the sonnes of Simeon by their generatios, by their families, and by the houses of their fathers, the summe therof by the nomber of their names, man by man, euery male from twentie yeere olde and aboue, all that went forth to warre:
[GNV | EN | OT | Numbers | Chapter 1 | Verse 23] The summe of them, I say, of the tribe of Simeon was nine and fiftie thousande, and three hundreth.
