[GNV | EN | OT | Numbers | Chapter 15 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 2] Speake vnto the children of Israel, and say vnto them, Whe ye be come into the land of your habitations, which I giue vnto you,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 3] And will make an offring by fire vnto the Lord, a burnt offring or a sacrifice to fulfil a vowe, or a free offring, or in your feastes, to make a sweete sauour vnto the Lord of the hearde, or of the flocke.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 4] Then let him that offreth his offring vnto the Lord, bring a meate offring of a tenth deale of fine flowre, mingled with the fourth part of an Hin of oyle.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 5] Also thou shalt prepare ye fourth part of an Hin of wine to be powred on a lambe, appointed for the burnt offring or any offring.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 6] And for a ram, thou shalt for a meat offring, prepare two tenth deales of fine floure, mingled with the third part of an Hin of oyle.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 7] And for a drinke-offering, thou shalt offer the third part of an Hin of wine, for a sweete sauour vnto the Lord.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 8] And when thou preparest a bullocke for a burnt offring, or for a sacrifice to fulfill a vowe or a peace offring to the Lord,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 9] Then let him offer with ye bullocke a meate offring of three tenth deales of fine floure, mingled with halfe an Hin of oyle.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 10] And thou shalt bring for a drinke offring halfe an Hin of wine, for an offring made by fire of a sweete sauour vnto the Lord.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 11] Thus shall it be done for a bullocke, or for a ram, or for a lambe, or for a kid.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 12] According to the nomber that yee prepare to offer, so shall yee doe to euery one according to their nomber.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 13] All that are borne of the countrey, shall do these things thus, to offer an offring made by fire of sweete sauour vnto the Lord.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 14] And if a stranger soiourne with you, or whosoeuer bee among you in your generations, and will make an offring by fire of a sweete sauour vnto the Lord, as ye do, so hee shall doe.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 15] One ordinance shalbe both for you of the Congregation, and also for the stranger that dwelleth with you, euen an ordinance for euer in your generations: as you are, so shall the stranger bee before the Lord.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 16] One Lawe and one maner shall serue both for you and for the stranger that soiourneth with you.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 17] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 18] Speake vnto the children of Israel, and say vnto them, When ye be come into the lande, to the which I bring you,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 19] And when ye shall eate of the bread of the land, ye shall offer an heaue offring vnto ye Lord.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 20] Ye shall offer vp a cake of the first of your dowe for an heaue offring: as the heaue offring of the barne, so ye shall lift it vp.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 21] Of the first of your dowe ye shall giue vnto the Lord an heaue offring in your generations.
[GNV | EN | OT | Numbers | Chapter 15 | Verse 22] And if ye haue erred, and not obserued all these commandements, which the Lord hath spoken vnto Moses,
[GNV | EN | OT | Numbers | Chapter 15 | Verse 23] Euen all that the Lord hath commanded you by the hand of Moses, from the first day that the Lord commanded Moses, and hence forward among your generations:
