[GNV | EN | OT | Numbers | Chapter 33 | Verse 1] These are the iourneyes of the children of Israel, which went out of the land of Egypt according to their bands vnder the hand of Moses and Aaron.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 2] And Moses wrote their going out by their iourneies according to ye commandement of the Lord: so these are ye iourneies of their going out.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 3] Nowe they departed from Rameses the first moneth, euen the fifteenth day of the first moneth, on the morowe after the Passeouer: and the children of Israel went out with an hie hand in the sight of all the Egyptians.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 4] (For the Egyptians buried all their first borne, which the Lord had smitten among them: vpon their gods also the Lord did execution.)
[GNV | EN | OT | Numbers | Chapter 33 | Verse 5] And the children of Israel remoued from Rameses, and pitched in Succoth.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 6] And they departed from Succoth, and pitched in Etham, which is in the edge of the wildernesse.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 7] And they remoued from Etham, and turned againe vnto Pi-hahiroth, which is before Baal-zephon, and pitched before Migdol.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 8] And they departed from before Hahiroth, and went through the middes of the Sea into the wildernesse, and went three dayes iourney in the wildernesse of Etham, and pitched in Marah.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 9] And they remoued from Marah, and came vnto Elim, and in Elim were twelue fountaines of water, and seuentie palme trees, and they pitched there.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 10] And they remoued from Elim, and camped by the red Sea.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 11] And they remoued from the red Sea, and lay in the wildernesse of Sin.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 12] And they tooke their iourney out of the wildernesse of Sin, and set vp their tentes in Dophkah.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 13] And they departed from Dophkah, and lay in Alush.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 14] And they remoued from Alush, and lay in Rephidim, where was no water for the people to drinke.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 15] And they departed from Rephidim, and pitched in the wildernesse of Sinai.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 16] And they remoued from the desert of Sinai, and pitched in Kibroth Hattaauah.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 17] And they departed from Kibroth Hattaauah, and lay at Hazeroth.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 18] And they departed from Hazeroth, and pitched in Rithmah.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 19] And they departed from Rithmah, and pitched at Rimmon Parez.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 20] And they departed from Rimmon Parez, and pitched in Libnah.
[GNV | EN | OT | Numbers | Chapter 33 | Verse 21] And they remoued from Libnah, and pitched in Rissah.
