[GNV | EN | OT | Numbers | Chapter 25 | Verse 1] Nowe whiles Israel abode in Shittim, the people began to commit whoredome with the daughters of Moab:
[GNV | EN | OT | Numbers | Chapter 25 | Verse 2] Which called the people vnto the sacrifice of their gods, and the people ate, and bowed downe to their gods.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 3] And Israel coupled himselfe vnto Baal Peor: wherefore the wrath of the Lord was kindled against Israel:
[GNV | EN | OT | Numbers | Chapter 25 | Verse 4] And the Lord sayde vnto Moses, Take all the heades of the people, and hang them vp before the Lord against ye sunne, that the indignation of the Lords wrath may be turned from Israel.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 5] Then Moses sayd vnto the Iudges of Israel, Euery one slay his men that were ioyned vnto Baal Peor.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 6] And behold, one of the children of Israel came and brought vnto his brethren a Midianitish woman in the sight of Moses, and in the sight of all the Congregation of the children of Israel, who wept before the doore of the Tabernacle of the Congregation.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 7] And when Phinehas the sonne of Eleazar the sonne of Aaron the Priest sawe it, hee rose vp from the middes of the Congregation, and tooke a speare in his hand,
[GNV | EN | OT | Numbers | Chapter 25 | Verse 8] And followed ye man of Israel into the tent, and thrust them both through: to wit, the man of Israel, and the woman, through her belly: so the plague ceased from the children of Israel.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 9] And there died in that plague, foure and twentie thousand.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 10] Then the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 25 | Verse 11] Phinehas the sonne of Eleazar, the sonne of Aaron the Priest, hath turned mine anger away from the children of Israel, while hee was zealous for my sake among them: therefore I haue not consumed the children of Israel in my ielousie.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 12] Wherefore say to him, Beholde, I giue vnto him my couenant of peace,
[GNV | EN | OT | Numbers | Chapter 25 | Verse 13] And he shall haue it, and his seede after him, euen the couenant of the priestes office for euer, because he was zealous for his God, and hath made an atonement for the children of Israel.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 14] And the name of the Israelite thus slayne, which was killed with the Midianitish woman, was Zimri the sonne of Salu, prince of the familie of the Simeonites.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 15] And the name of the Midianitish woman, that was slayne, was Cozbi the daughter of Zur, who was head ouer the people of his fathers house in Midian.
[GNV | EN | OT | Numbers | Chapter 25 | Verse 16] Againe ye Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 25 | Verse 17] Vexe the Midianites, and smite them:
[GNV | EN | OT | Numbers | Chapter 25 | Verse 18] For they trouble you with their wiles, wherewith they haue beguiled you as concerning Peor, and as concerning their sister Cozbi ye daughter of a prince of Midian, which was slayne in the day of the plague because of Peor.
