[GNV | EN | OT | Numbers | Chapter 34 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 34 | Verse 2] Commande the children of Israel, and say vnto them, When yee come into the land of Canaan, this is the land that shall fall vnto your inheritance: that is, the land of Canaan with the coastes thereof.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 3] And your Southquarter shalbe from the wildernesse of Zin to the borders of Edom: so that your Southquarter shall be from the salt Sea coast Eastwarde:
[GNV | EN | OT | Numbers | Chapter 34 | Verse 4] And the border shall compasse you from the South to Maaleh-akrabbim, and reach to Zin, and goe out from the South to Kadesh-barnea: thence it shall stretch to Hazar-addar, and go along to Azmon.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 5] And the border shall compasse from Azmon vnto the riuer of Egypt, and shall goe out to the Sea.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 6] And your Westquarter shall bee the great Sea: euen that border shalbe your Westcoast.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 7] And this shall bee your Northquarter: yee shall marke out your border from the great Sea vnto mount Hor.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 8] From mount Hor ye shall point out till it come vnto Hamath, and the end of the coast shall be at Zedad.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 9] And the coast shall reach out to Ziphron, and goe out at Hazar-enan. this shalbe your Northquarter.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 10] And ye shall marke out your Eastquarter from Hazar-enan to Shepham.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 11] And the coast shall goe downe from Shepham to Riblah, and from the Eastside of Ain: and the same border shall descend and goe out at the side of the sea of Chinneereth Eastward.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 12] Also that border shall goe downe to Iorden, and leaue at the salt Sea. this shalbe your land with the coastes thereof round about.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 13] Then Moses commanded the children of Israel, saying, This is the lande which yee shall inherite by lot, which the Lord commanded to giue vnto nine tribes and halfe the tribe.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 14] For the tribe of the children of Reuben, according to the housholdes of their fathers, and the tribe of the children of Gad, according to their fathers housholdes, and halfe the tribe of Manasseh, haue receiued their inheritance.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 15] Two tribes and an halfe tribe haue receiued their inheritance on this side of Iorden toward Iericho full East.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 16] Againe the Lord spake to Moses, saying,
[GNV | EN | OT | Numbers | Chapter 34 | Verse 17] These are the names of the men which shall deuide ye land vnto you: Eleazar the Priest, and Ioshua the sonne of Nun.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 18] And ye shall take also a prince of euerie tribe to deuide the land.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 19] The names also of the men are these: Of the tribe of Iudah, Caleb ye sonne of Iephunneh.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 20] And of the tribe of the sonnes of Simeon, Shemuel the sonne of Ammihud.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 21] Of the tribe of Beniamin, Elidad the sonne of Chislon.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 22] Also of the tribe of the sonnes of Dan, the prince Bukki, the sonne of Iogli.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 23] Of the sonnes of Ioseph: of the tribe of the sonnes of Manasseh, the prince Hanniel the sonne of Ephod.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 24] And of the tribe of the sonnes of Ephraim, the prince Kemuel, the sonne of Shiphtan.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 25] Of the tribe also of the sonnes of Zebulun, the prince Elizaphan, the sonne of Parnach.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 26] So of the tribe of the sonnes of Issachar, the prince Paltiel the sonne of Azzan.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 27] Of the tribe also of the sonnes of Asher, the prince Ahihud, the sonne of Shelomi.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 28] And of the tribe of the sonnes of Naphtali, the prince Pedahel, the sonne of Ammihud.
[GNV | EN | OT | Numbers | Chapter 34 | Verse 29] These are they, whome the Lord commanded to deuide the inheritance vnto the children of Israel, in the land of Canaan.
