[GNV | EN | OT | Numbers | Chapter 21 | Verse 1] When King Arad the Canaanite, which dwelt toward the South, heard tel that Israel came by the way of the spies, then fought hee against Israel, and tooke of them prysoners.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 2] So Israel vowed a vowe vnto the Lord, and said, If thou wilt deliuer and giue this people into mine hand, then I wil vtterly destroy their cities.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 3] And the Lord heard the voyce of Israel, and deliuered them the Canaanites: and they vtterly destroied them and their cities, and called ye name of the place Hormah.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 4] After, they departed from the mount Hor by the way of the red Sea, to compasse the land of Edom: and the people were sore grieued because of the way.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 5] And the people spake against God and against Moses, saying, Wherefore haue ye brought vs out of Egypt, to die in the wildernesse? for here is neither bread nor water, and our soule lotheth this light bread.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 6] Wherefore the Lord sent fierie serpents among ye people, which stung the people: so that many of the people of Israel died.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 7] Therefore the people came to Moses and said, We haue sinned: for wee haue spoken against the Lord, and against thee: pray to the Lord, that he take away the serpents from vs: and Moses prayed for the people.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 8] And the Lord said vnto Moses, Make thee a fiery serpent, and set it vp for a signe, that as many as are bitten, may looke vpon it, and liue.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 9] So Moses made a serpent of brasse, and set it vp for a signe: and when a serpent had bitten a man, then he looked to the serpent of brasse, and liued.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 10] And ye children of Israel departed thence, and pitched in Oboth.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 11] And they departed from Oboth, and pitched in lie-abarim, in the wildernesse, which is before Moab on the Eastside.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 12] They remoued thence, and pitched vpon the riuer of Zared.
[GNV | EN | OT | Numbers | Chapter 21 | Verse 13] Thence they departed, and pitched on the other side of Arnon, which is in the wildernesse, and commeth out of the coasts of the Amorites: (for Arnon is the border of Moab, betweene the Moabites and the Amorites)
