[GNV | EN | OT | Numbers | Chapter 35 | Verse 1] And the Lord spake vnto Moses in the plaine of Moab by Iorden, toward Iericho, saying,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 2] Commande ye children of Israel, that they giue vnto the Leuites of the inheritace of their possession, cities to dwell in: yee shall giue also vnto the Leuites the suburbes of the cities round about them.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 3] So they shall haue the cities to dwell in, and their suburbes shall be for their cattell, and for their substance, and for all their beasts.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 4] And the suburbes of the cities, which ye shall giue vnto the Leuites, from the wall of the citie outward, shalbe a thousand cubites round about.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 5] And yee shall measure without the citie of the Eastside, two thousand cubites: and of the Southside, two thousand cubites: and of the Westside, two thousand cubites: and of ye Northside, two thousand cubites: and the citie shalbe in ye middes. this shalbe the measure of the suburbes of their cities.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 6] And of the cities which yee shall giue vnto the Leuites, there shalbe sixe cities for refuge, which ye shall appoint, that he which killeth, may flee thither: and to them yee shall adde two and fourtie cities more.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 7] All the cities which yee shall giue to the Leuites, shalbe eight and fourtie cities: them shall ye giue with their suburbes.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 8] And concerning the cities which yee shall giue, of the possession of the children of Israel: of many ye shall take more, and of few ye shall take lesse: euery one shall giue of his cities vnto the Leuites, according to his inheritance, which hee inheriteth.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 9] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 10] Speake vnto the children of Israel, and say vnto them, When ye be come ouer Iorden into the land of Canaan,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 11] Ye shall appoint you cities, to bee cities of refuge for you, that the slayer, which slayeth any person vnwares, may flee thither.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 12] And these cities shalbe for you a refuge from the auenger, that he which killeth, die not, vntill he stand before the Congregation in iudgement.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 13] And of the cities which ye shall giue, sixe cities shall ye haue for refuge.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 14] Ye shall appoint three on this side Iorden, and ye shall appoint three cities in the lande of Canaan which shalbe cities of refuge.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 15] These six cities shalbe a refuge for the children of Israel, and for the stranger, and for him that dwelleth among you, that euery one which killeth any person vnwares, may flee thither.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 16] And if one smite another with an instrument of yron that hee die, hee is a murtherer, and the murtherer shall die the death.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 17] Also if hee smite him by casting a stone, wherewith hee may be slaine, and he die, hee is a murtherer, and the murtherer shall die the death.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 18] Or if he smite him with an hand weapon of wood, wherewith he may be slaine, if he die, he is a murtherer, and the murtherer shall die the death.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 19] The reuenger of the blood himselfe shall slay the murtherer: when he meeteth him, he shall slay him.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 20] But if hee thrust him of hate, or hurle at him by laying of wait, that he die,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 21] Or smite him through enimitie with his hand, that he die, he that smote him shall die ye death: for hee is a murtherer: the reuenger of the blood shall slay the murtherer when he meeteth him.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 22] But if he pusshed him vnaduisedly, and not of hatred, or cast vpon him any thing, without laying of waite,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 23] Or any stone (whereby he might be slaine) and sawe him not, or caused it to fall vpon him, and he die, and was not his enemie, neither sought him any harme,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 24] Then the Congregation shall iudge betweene the slayer and the auenger of blood according to these lawes.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 25] And the Congregation shall deliuer the slayer out of the hande of the auenger of blood, and the Congregation shall restore him vnto the citie of his refuge, whither hee was fled: and hee shall abide there vnto the death of the hie Priest, which is anointed with the holy oyle.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 26] But if the slayer come without the borders of the citie of his refuge, whither he was fled,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 27] And the reuenger of blood finde him without the borders of the citie of his refuge, and the reueger of blood slay ye murtherer, he shalbe giltles,
[GNV | EN | OT | Numbers | Chapter 35 | Verse 28] Because he should haue remained in the citie of his refuge, vntill the death of the hie Priest: and after the death of the hie Priest, the slayer shall returne vnto the land of his possession.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 29] So these thinges shall be a lawe of iudgement vnto you, throughout your generations in all your dwellings.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 30] Whosoeuer killeth any person, the Iudge shall slay the murtherer, through witnesses: but one witnesse shall not testifie against a person to cause him to die.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 31] Moreouer ye shall take no recompense for the life of the murtherer, which is worthy to die: but he shalbe put to death.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 32] Also ye shall take no recompense for him that is fled to the citie of his refuge, that he should come againe, and dwell in the lande, before the death of the hie Priest.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 33] So ye shall not pollute the land wherein ye shall dwell: for blood defileth the land: and the land cannot be clensed of the blood that is shed therein, but by the blood of him that shed it.
[GNV | EN | OT | Numbers | Chapter 35 | Verse 34] Defile not therefore the lande which yee shall inhabite, For I dwell in the middes thereof: for I the Lord dwel among the children of Israel.
