[GNV | EN | OT | Numbers | Chapter 16 | Verse 1] Nowe Korah the sonne of Izhar, the sonne of Kohath, the sonne of Leui went apart with Dathan, and Abiram the sonnes of Eliab, and On the sonne of Peleth, the sonnes of Reuben:
[GNV | EN | OT | Numbers | Chapter 16 | Verse 2] And they rose vp against Moses, with certaine of the children of Israel, two hundreth and fiftie captaines of the assemblie, famous in the Congregation, and men of renoume,
[GNV | EN | OT | Numbers | Chapter 16 | Verse 3] Who gathered themselues together against Moses, and against Aaron, and sayde vnto them, Ye take too much vpon you, seeing all the Congregation is holie, euery one of them, and the Lord is among them: wherfore then lift ye your selues aboue the Congregation of the Lord?
[GNV | EN | OT | Numbers | Chapter 16 | Verse 4] But when Moses heard it, hee fell vpon his face,
[GNV | EN | OT | Numbers | Chapter 16 | Verse 5] And spake to Korah and vnto all his companie, saying, To morow the Lord will shew who is his, and who is holy, and who ought to approche neere vnto him: and whom he hath chosen, hee will cause to come neere to him.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 6] This doe therefore, Take you censers, both Korah, and all his companie,
[GNV | EN | OT | Numbers | Chapter 16 | Verse 7] And put fire therein, and put incense in the before the Lord to morowe: and the man whome the Lord doeth chuse, the same shalbe holie: ye take too much vpon you, ye sonnes of Leui.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 8] Againe Moses saide vnto Korah, Heare, I pray you, ye sonnes of Leui.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 9] Seemeth it a small thing vnto you that the God of Israel hath separated you from the multitude of Israel, to take you neere to himselfe, to doe the seruice of the Tabernacle of the Lord, and to stand before the Congregation and to minister vnto them?
[GNV | EN | OT | Numbers | Chapter 16 | Verse 10] He hath also taken thee to him, and all thy brethren the sonnes of Leui with thee, and seeke ye the office of the Priest also?
[GNV | EN | OT | Numbers | Chapter 16 | Verse 11] For which cause, thou, and all thy companie are gathered together against the Lord: and what is Aaron, that ye murmure against him?
[GNV | EN | OT | Numbers | Chapter 16 | Verse 12] And Moses sent to call Dathan, and Abiram the sonnes of Eliab: who answered, We will not come vp.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 13] Is it a small thing that thou hast brought vs out of a lande that floweth with milke and honie, to kill vs in the wildernesse, except thou make thy selfe lord and ruler ouer vs also?
[GNV | EN | OT | Numbers | Chapter 16 | Verse 14] Also thou hast not brought vs vnto a land that floweth with milke and honie, neither giuen vs inheritance of fieldes and vineyardes: wilt thou put out the eyes of these men? we will not come vp.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 15] Then Moses waxed verie angry, and saide vnto the Lord, Looke not vnto their offring: I haue not taken so much as an asse from them, neither haue I hurt any of them.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 16] And Moses said vnto Korah, Bee thou and al thy companie before the Lord: both thou, they, and Aaron to morowe:
[GNV | EN | OT | Numbers | Chapter 16 | Verse 17] And take euery man his censor, and put incense in them, and bring ye euery man his censor before the Lord, two hundreth and fiftie censors: thou also and Aaron, euery one his censor.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 18] So they tooke euery man his censor, and put fire in them, and laide incense thereon, and stoode in the doore of the Tabernacle of the Congregation with Moses and Aaron.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 19] And Korah gathered all the multitude against them vnto the doore of the Tabernacle of the Congregation: then the glorie of the Lord appeared vnto all the Congregation.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 20] And the Lord spake vnto Moses and to Aaron, saying,
[GNV | EN | OT | Numbers | Chapter 16 | Verse 21] Separate your selues from among this Cogregation, that I may consume them at once.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 22] And they fell vpon their faces and saide, O God the God of the spirits, of all fleshe, hath not one man onely sinned, and wilt thou bee wroth with all the Congregation?
[GNV | EN | OT | Numbers | Chapter 16 | Verse 23] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 16 | Verse 24] Speake vnto the Congregation and say, Get you away from about the Tabernacle of Korah, Dathan and Abiram.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 25] Then Moses rose vp, and went vnto Dathan and Abiram, and the Elders of Israel followed him.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 26] And he spake vnto the Congregation, saying, Depart, I pray you, from the tentes of these wicked men, and touche nothing of theirs, lest ye perish in all their sinnes.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 27] So they gate them away from the Tabernacle of Korah, Dathan and Abiram on euerie side: and Dathan, and Abiram came out and stood in the doore of their tentes with their wiues, and their sonnes, and their little children.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 28] And Moses saide, Hereby yee shall knowe that the Lord hath sent me to do all these works: for I haue not done them of mine owne minde.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 29] If these men die the common death of all men, or if they be visited after the visitation of all men, the Lord hath not sent me.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 30] But if the Lord make a newe thing, and the earth open her mouth, and swallowe them vp with all that they haue, and they goe downe quicke into ye pit, then ye shall vnderstand that these men haue prouoked the Lord.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 31] And assoone as he had made an ende of speaking all these wordes, euen the ground claue asunder that was vnder them,
[GNV | EN | OT | Numbers | Chapter 16 | Verse 32] And the earth opened her mouth, and swallowed them vp, with their families, and all the men that were with Korah, and all their goods.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 33] So they and all that they had, went down aliue into the pit, and the earth couered them: so they perished from among the Congregation.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 34] And all Israel that were about them, fled at the crie of them: for they said, Let vs flee, least the earth swalow vs vp.
[GNV | EN | OT | Numbers | Chapter 16 | Verse 35] But there came out a fire from the Lord, and consumed the two hundreth and fiftie men that offred the incense.
