[GNV | EN | OT | Numbers | Chapter 31 | Verse 1] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 2] Reuenge the children of Israel of the Midianites, and afterwarde shalt thou be gathered vnto thy people.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 3] And Moses spake to the people, saying, Harnesse some of you vnto warre, and let them goe against Midian, to execute the vengeance of the Lord against Midian.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 4] A thousande of euery tribe throughout all the tribes of Israel, shall ye sende to the warre.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 5] So there were taken out of the thousands of Israel, twelue thousande prepared vnto warre, of euery tribe a thousand.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 6] And Moses sent them to the warre, euen a thousand of euery tribe, and sent them with Phinehas the sonne of Eleazar the Priest to the warre: and the holy instruments, that is, the trumpets to blow were in his hand.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 7] And they warred against Midian, as the Lord had commanded Moses, and slue all the males.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 8] They slue also the Kings of Midian among them that were slaine: Eui and Rekem, and Zur, and Hur and Reba fiue kings of Midian, and they slue Balaam the sonne of Beor with the sworde:
[GNV | EN | OT | Numbers | Chapter 31 | Verse 9] But the children of Israel tooke the women of Midian prisoners, and their children, and spoyled all their cattell, and all their flockes, and all their goods.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 10] And they burnt all their cities, wherein they dwelt, and all their villages with fire.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 11] And they tooke all the spoyle and all the pray both of men and beastes.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 12] And they brought the captiues and that which they had taken, and the spoyle vnto Moses and to Eleazar the Priest, and vnto the Congregation of the children of Israel, into ye campe in the playne of Moab, which was by Iorden toward Iericho.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 13] Then Moses and Eleazar the Priest, and all the princes of the Congregation went out of the campe to meete them.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 14] And Moses was angry with the captaines of the hoste, with the captaines ouer thousands, and captaines ouer hundreds, which came from the warre and battel.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 15] And Moses sayde vnto them, What? haue ye saued all the women?
[GNV | EN | OT | Numbers | Chapter 31 | Verse 16] Behold, these caused the children of Israel through the counsell of Balaam to commit a trespasse against the Lord, as concerning Peor, and there came a plague among the Congregation of the Lord.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 17] Now therefore, slay all the males among the children, and kill all the women that haue knowen man by carnall copulation.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 18] But all the women children that haue not knowen carnall copulation, keepe aliue for your selues.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 19] And ye shall remaine without the host seuen dayes, all that haue killed any person, and all that haue touched any dead, and purifie both your selues and your prisoners the third day and the seuenth.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 20] Also ye shall purifie euery garment and all that is made of skins and al worke of goates heare, and all things made of wood.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 21] And Eleazar ye Priest sayd vnto the men of warre, which went to the battel, This is the ordinance of the law which the Lord commanded Moses,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 22] As for gold, and siluer, brasse, yron, tynne, and lead:
[GNV | EN | OT | Numbers | Chapter 31 | Verse 23] Euen all that may abide the fire, yee shall make it goe through the fire, and it shalbe cleane: yet, it shalbe purified with the water of purification: and all that suffereth not the fire, yee shall cause to passe by the water.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 24] Ye shall wash also your clothes the seuenth day, and ye shalbe cleane: and afterward ye shall come into the Hoste.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 25] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 26] Take the summe of the praie that was taken, both of persons and of cattell, thou and Eleazar the Priest, and the chiefe fathers of the Congregation.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 27] And deuide the praye betweene the souldiers that went to the warre, and all the Congregation.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 28] And thou shalt take a tribute vnto ye Lord of the men of warre, which went out to battel: one person of fiue hundreth, both of the persons, and of the beeues, and of the asses, and of the sheepe.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 29] Yee shall take it of their halfe and giue it vnto Eleazar the Priest, as an heaue offring of the Lord.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 30] But of the halfe of the children of Israel thou shalt take one, taken out of fiftie, both of the persons, of the beeues, of the asses, and of the sheepe, euen of all the cattel: and thou shalt giue them vnto the Leuites, which haue the charge of the Tabernacle of the Lord.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 31] And Moses and Eleazar the priest did as the Lord had commanded Moses.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 32] And the bootie, to wit, the rest of the praie which the men of warre had spoyled, was sixe hundreth seuentie and fiue thousand sheepe,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 33] And seuentie and two thousand beeues,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 34] And three score and one thousand asses,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 35] And two and thirtie thousande persons in all, of women that had lyen by no man.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 36] And the halfe, to wit, the part of them that went out to warre touching the nomber of sheepe, was three hundreth seuen and thirtie thousand, and fiue hundreth.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 37] And the Lordes tribute of the sheepe was sixe hundreth and seuentie and fiue:
[GNV | EN | OT | Numbers | Chapter 31 | Verse 38] And the beeues were six and thirty thousad, whereof the Lordes tribute was seuentie and two.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 39] And the asses were thirtie thousande and fiue hundreth, whereof the Lordes tribute was three score and one:
[GNV | EN | OT | Numbers | Chapter 31 | Verse 40] And of persons sixtene thousand, whereof the Lordes tribute was two and thirtie persons.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 41] And Moses gaue the tribute of the Lordes offring vnto Eleazar the Priest, as the Lord had commanded Moses.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 42] And of the halfe of the children of Israel, which Moses deuided from the men of warre,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 43] (For the halfe that perteined vnto the Congregation, was three hundreth thirtie and seuen thousand sheepe and fiue hundreth,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 44] And sixe and thirtie thousand beeues,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 45] And thirtie thousand asses, and fiue hudreth,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 46] And sixteene thousande persons)
[GNV | EN | OT | Numbers | Chapter 31 | Verse 47] Moses, I say, tooke of the halfe that perteined vnto the children of Israel, one taken out of fiftie, both of the persons, and of the cattell, and gaue them vnto the Leuites, which haue the charge of the Tabernacle of the Lord, as the Lord had commanded Moses.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 48] Then the captaines which were ouer thousandes of the hoste, the captaines ouer the thousandes, and the captaines ouer the hundreds came vnto Moses:
[GNV | EN | OT | Numbers | Chapter 31 | Verse 49] And saide to Moses, Thy seruants haue taken the summe of the men of warre which are vnder our authoritie, and there lacketh not one man of vs.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 50] We haue therefore brought a present vnto the Lord, what euery man found of iewels of golde, bracelets, and cheines, rings, eare ringes, and ornaments of the legges, to make an atonement for our soules before the Lord.
[GNV | EN | OT | Numbers | Chapter 31 | Verse 51] And Moses and Eleazar the Priest tooke the golde of them, and all wrought iewels,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 52] And all the golde of the offring that they offered vp to the Lord (of the captaines ouer thousands and hundreds) was sixteene thousande seuen hundreth and fiftie shekels,
[GNV | EN | OT | Numbers | Chapter 31 | Verse 53] (For the men of warre had spoyled, euery man for him selfe)
[GNV | EN | OT | Numbers | Chapter 31 | Verse 54] And Moses and Eleazar the Priest tooke the golde of the captaines ouer the thousandes, and ouer the hundreds, and brought it into the Tabernacle of the Congregation, for a memoriall of the children of Israel before the Lord.
