[GNV | EN | OT | Numbers | Chapter 7 | Verse 1] Nowe when Moses had finished the setting vp of the Tabernacle, and anointed it and sanctified it, and all the instruments thereof, and the altar with al the instruments thereof, and had anoynted them and sanctified them,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 2] Then the princes of Israel, heads ouer the houses of their fathers (they were the princes of the tribes, who were ouer them that were nombred) offred,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 3] And brought their offring before the Lord, sixe couered charets, and twelue oxen: one charet for two princes, and for euery one an oxe, and they offred them before the Tabernacle.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 4] And the Lord spake vnto Moses, saying,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 5] Take these of them, that they may be to doe the seruice of the Tabernacle of the Congregation, and thou shalt giue them vnto the Leuites, to euery man according vnto his office.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 6] So Moses tooke the charets and the oxen, and gaue them vnto the Leuites:
[GNV | EN | OT | Numbers | Chapter 7 | Verse 7] Two charets and foure oxen hee gaue to the sonnes of Gershon, according vnto their office.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 8] And foure charets and eight oxen hee gaue to the sonnes of Merari according vnto their office, vnder the hand of Ithamar the sonne of Aaron the Priest.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 9] But to the sonnes of Kohath he gaue none, because the charge of the Sanctuarie belonged to them, which they did beare vpon their shoulders.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 10] The princes also offered in the dedication for the altar in the day that it was anoynted: then the princes offered their offering before the altar.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 11] And the Lord sayd vnto Moses, One prince one day, and an other prince an other day shall offer their offring, for the dedication of the altar.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 12] So then on the first day did Nahshon the sonne of Amminadab of ye tribe of Iudah offer his offring.
[GNV | EN | OT | Numbers | Chapter 7 | Verse 13] And his offring was a siluer charger of an hundreth and thirtie shekels weight, a siluer boule of seuenty shekels, after the shekel of the Sanctuarie, both ful of fine floure, mingled with oyle, for a meate offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 14] An incense cup of gold of tenne shekels, ful of incense,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 15] A yong bullocke, a ram, a lambe of a yeere olde for a burnt offring,
[GNV | EN | OT | Numbers | Chapter 7 | Verse 16] An hee goate for a sinne offring,
