[DARBY | EN | OT | Joshua | Chapter 2 | Verse 1] And Joshua the son of Nun sent from Shittim two spies secretly, saying, Go, see the land, even Jericho. And they went, and came into a harlot's house, named Rahab, and they lay down there.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 2] And it was told the king of Jericho, saying, Behold, men have come hither to-night from the children of Israel to search out the land.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 3] And the king of Jericho sent to Rahab, saying, Bring forth the men that have come to thee, who have come into thy house: for they have come to search out all the land.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 4] And the woman had taken and concealed the two men; and she said, Yes, the men did come unto me, but I knew not whence they were;
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 5] and it came to pass when the gate had to be closed, at dark, that the men went out: I know not whither the men have gone. Pursue after them quickly; for ye shall overtake them.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 6] But she had taken them up to the roof, and secreted them under the stalks of flax, which she had laid out on the roof.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 7] And the men pursued after them the way to the Jordan, to the fords; and when they who pursued after them had gone out, they closed the gate.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 8] And before they had lain down, she went up to them upon the roof;
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 9] and said to the men, I know that Jehovah has given you the land, and that the dread of you has fallen on us, and that all the inhabitants of the land faint because of you.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 10] For we have heard that Jehovah dried up the waters of the Red sea before you when ye came out of Egypt; and what ye did to the two kings of the Amorites that were beyond the Jordan, to Sihon and to Og, whom ye utterly destroyed.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 11] We heard [of it], and our heart melted, and there remained no more spirit in any man because of you; for Jehovah your God, he is God in the heavens above and on the earth beneath.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 12] And now, I pray you, swear to me by Jehovah, since I have dealt kindly with you, that ye will also deal kindly with my father's house, and give me a certain sign,
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 13] that ye will let my father live, and my mother, and my brethren, and my sisters, and all that belong to them, and deliver our souls from death.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 14] And the men said to her, Our lives shall pay for yours, if ye do not make this our business known; and it shall be when Jehovah shall give us the land, that we will deal kindly and truly with thee.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 15] And she let them down by a cord through the window; for her house was upon the city-wall, and she dwelt upon the wall.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 16] And she said to them, Go to the mountain, that the pursuers may not meet with you; and hide yourselves there three days, until the pursuers have returned; and afterwards go your way.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 17] And the men said to her, We will be quit of this thine oath which thou hast made us swear.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 18] Behold, when we come into the land, thou shalt bind in the window this line of scarlet thread by which thou hast let us down; and thou shalt gather to thee in the house thy father, and thy mother, and thy brethren, and all thy father's household;
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 19] and it shall be, that whoever shall go out of the doors of thy house into the street, — his blood shall be upon his head, and we shall be innocent; but every one who shall be with thee in the house, his blood shall be upon our head, if any hand be upon him.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 20] And if thou make known this our business, we will be quit of thine oath which thou hast made us swear.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 21] And she said, According to your words, so be it. And she sent them away, and they departed. And she bound the scarlet line in the window.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 22] And they went, and came to the mountain, and remained there three days, until the pursuers had returned; and the pursuers sought them all the way, and found them not.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 23] And the two men returned and came down from the mountain, and went over and came to Joshua the son of Nun, and related to him everything that had happened to them.
[DARBY | EN | OT | Joshua | Chapter 2 | Verse 24] And they said to Joshua, Of a surety Jehovah has given the whole land into our hands, and even all the inhabitants of the land faint because of us.
