[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 1] (الْمَحْبُوبَةُ): أَنَا وَرْدَةُ شَارُونَ، سُوسَنَةُ الأَوْدِيَةِ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 2] (المُحِبُّ): كَسُوسَنَةٍ بَيْنَ أَشْوَاكٍ، هَكَذَا حَبِيبَتِي بَيْنَ الْبَنَاتِ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 3] (الْمَحْبُوبَةُ): حَبِيبِي بَيْنَ الْفِتْيَانِ كَشَجَرَةِ تُفَّاحٍ بَيْنَ أَشْجَارِ الْوَعْرِ، تَحْتَ ظِلِّهِ اشْتَهَيْتُ أَنْ أَجْلِسَ، وَثَمَرُهُ حُلْوٌ لِحَلْقِي.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 4] أَتَى بِي إِلَى قَاعَةِ احْتِفَالِهِ، وَرَايَتُهُ فَوْقِي مَحَبَّةٌ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 5] أَسْنِدُونِي بِأَقْرَاصِ الزَّبِيبِ، أَنْعِشُونِي بِالتُّفَّاحِ، فَإِنِّي مَرِيضَةٌ حُبّاً.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 6] شِمَالُهُ تَحْتَ رَأْسِي، وَيَمِينُهُ تُعَانِقُنِي.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 7] أَسْتَحْلِفُكُنَّ يَا بَنَاتِ أُورُشَلِيمَ بِظِبَاءِ الصَّحْرَاءِ وَأَيَائِلِهَا أَلّا تُوْقِظْنَ أَوْ تُنَبِّهْنَ حَبِيبِي حَتَّى يَشَاءَ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 8] هَذَا صَوْتُ حَبِيبِي! هَا هُوَ آتٍ طَافِراً عَلَى الْجِبَالِ وَاثِباً فَوْقَ التِّلالِ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 9] حَبِيبِي كَظَبْيٍ أَوْ كَالأُيَّلِ الْفَتِيِّ. هَا هُوَ وَاقِفٌ وَرَاءَ جِدَارِنَا يَرْنُو مِنَ الْكُوَى وَيَسْتَرِقُ النَّظَرَ مِنْ خِلالِ النَّوَافِذِ الْمُشَبَّكَةِ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 10] خَاطَبَنِي حَبِيبِي وَقَالَ: انْهَضِي يَا حَبِيبَتِي يَا جَمِيلَتِي وَتَعَالَيْ مَعِي،
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 11] فَهَا الشِّتَاءُ قَدِ انْقَضَى، وَكَفَّ الْمَطَرُ وَزَالَ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 12] وَأَزْهَرَتِ الأَرْضُ، وَحَلَّ مَوْسِمُ التَّغْريِدِ، وَتَرَدَّدَ هَدِيلُ الْيَمَامِ فِي أَرْضِنَا.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 13] قَدْ أَنْبَتَتِ التِّينَةُ فِجَّهَا، وَنَشَرَتِ الْكُرُومُ الْمُزْهِرَةُ عَبِيرَهَا، فَانْهَضِي يَا حَبِيبَتِيِ يَا جَمِيلَتِي وَتَعَالَيْ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 14] (المُحِبُّ): يَا حَمَامَتِي الْمُحْتَمِيَةَ بِشُقُوقِ الصَّخْرِ وَمَخَابِئِ الْجِبَالِ، أَرِينِي وَجْهَكِ وَأَسْمِعِينِي صَوْتَكِ، لأَنَّ صَوْتَكِ عَذْبٌ وَمُحَيَّاكِ رَائِعٌ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 15] اقْتَنِصُوا لَنَا الثَّعَالِبَ الصِّغَارَ الَّتِي تُتْلِفُ الْكُرُومَ، فَإِنَّ كُرُومَنَا قَدْ أَزْهَرَتْ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 16] (الْمَحْبُوبَةُ): حَبِيبِي لِي وَأَنَا لَهُ، هُوَ يَرْعَى قَطِيعَهُ بَيْنَ السَّوْسَنِ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 2 | Verse 17] إِلَى أَنْ يَطْلَعَ النَّهَارُ وَتَنْهَزِمَ الظِّلالُ، ارْجِعْ يَا حَبِيبِي وَكُنْ كَالظَّبْيِ أَوِ الأُيَّلِ الْفَتِيِّ عَلَى جِبَالِ الأَطْيَابِ.
