[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 1] نَشِيدُ ٱلْأَنْشَادِ ٱلَّذِي لِسُلَيْمَانَ: العروس
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 2] لِيُقَبِّلْنِي بِقُبْلَاتِ فَمِهِ، لِأَنَّ حُبَّكَ أَطْيَبُ مِنَ ٱلْخَمْرِ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 3] لِرَائِحَةِ أَدْهَانِكَ ٱلطَّيِّبَةِ. ٱسْمُكَ دُهْنٌ مُهْرَاقٌ، لِذَلِكَ أَحَبَّتْكَ ٱلْعَذَارَى.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 4] اُجْذُبْنِي وَرَاءَكَ فَنَجْرِيَ. أَدْخَلَنِي ٱلْمَلِكُ إِلَى حِجَالِهِ. نَبْتَهِجُ وَنَفْرَحُ بِكَ. نَذْكُرُ حُبَّكَ أَكْثَرَ مِنَ ٱلْخَمْرِ. بِٱلْحَقِّ يُحِبُّونَكَ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 5] أَنَا سَوْدَاءُ وَجَمِيلَةٌ يَا بَنَاتِ أُورُشَلِيمَ، كَخِيَامِ قِيدَارَ، كَشُقَقِ سُلَيْمَانَ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 6] لَا تَنْظُرْنَ إِلَيَّ لِكَوْنِي سَوْدَاءَ، لِأَنَّ ٱلشَّمْسَ قَدْ لَوَّحَتْنِي. بَنُو أُمِّي غَضِبُوا عَلَيَّ. جَعَلُونِي نَاطُورَةَ ٱلْكُرُومِ. أَمَّا كَرْمِي فَلَمْ أَنْطُرْهُ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 7] أَخْبِرْنِي يَا مَنْ تُحِبُّهُ نَفْسِي، أَيْنَ تَرْعَى، أَيْنَ تُرْبِضُ عِنْدَ ٱلظَّهِيرَةِ. لِمَاذَا أَنَا أَكُونُ كَمُقَنَّعَةٍ عِنْدَ قُطْعَانِ أَصْحَابِكَ؟ الأصدقاء
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 8] إِنْ لَمْ تَعْرِفِي أَيَّتُهَا ٱلْجَمِيلَةُ بَيْنَ ٱلنِّسَاءِ، فَٱخْرُجِي عَلَى آثَارِ ٱلْغَنَمِ، وَٱرْعَيْ جِدَاءَكِ عِنْدَ مَسَاكِنِ ٱلرُّعَاةِ. العريس
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 9] لَقَدْ شَبَّهْتُكِ يَا حَبِيبَتِي بِفَرَسٍ فِي مَرْكَبَاتِ فِرْعَوْنَ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 10] مَا أَجْمَلَ خَدَّيْكِ بِسُمُوطٍ، وَعُنُقَكِ بِقَلَائِدَ!
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 11] نَصْنَعُ لَكِ سَلَاسِلَ مِنْ ذَهَبٍ مَعَ جُمَانٍ مِنْ فِضَّةٍ. العروس
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 12] مَا دَامَ ٱلْمَلِكُ فِي مَجْلِسِهِ أَفَاحَ نَارِدِينِي رَائِحَتَهُ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 13] صُرَّةُ ٱلْمُرِّ حَبِيبِي لِي. بَيْنَ ثَدْيَيَّ يَبِيتُ.
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 14] طَاقَةُ فَاغِيَةٍ حَبِيبِي لِي فِي كُرُومِ عَيْنِ جَدْيٍ. العريس
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 15] هَا أَنْتِ جَمِيلَةٌ يَا حَبِيبَتِي، هَا أَنْتِ جَمِيلَةٌ. عَيْنَاكِ حَمَامَتَانِ. العروس
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 16] هَا أَنْتَ جَمِيلٌ يَا حَبِيبِي وَحُلْوٌ، وَسَرِيرُنَا أَخْضَرُ. العريس
[VANDYKE | AR | OT | Song of Solomon | Chapter 1 | Verse 17] جَوَائِزُ بَيْتِنَا أَرْزٌ، وَرَوَافِدُنَا سَرْوٌ.
