[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 1] Pavl an Apostle of Iesvs Christ, by the commandement of God our Sauiour, and of our Lord Iesus Christ our hope,
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 2] Vnto Timotheus my naturall sonne in the faith: Grace, mercy, and peace from God our Father, and from Christ Iesus our Lord.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 3] As I besought thee to abide still in Ephesus, when I departed into Macedonia, so doe, that thou mayest warne some, that they teach none other doctrine,
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 4] Neither that they giue heede to fables and genealogies which are endles, which breede questions rather then godly edifying which is by fayth.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 5] For the end of the commandement is loue out of a pure heart, and of a good conscience, and of faith vnfained.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 6] From the which things some haue erred, and haue turned vnto vaine iangling.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 7] They would be doctours of the Law, and yet vnderstande not what they speake, neither whereof they affirme.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 8] And we knowe, that the Law is good, if a man vse it lawfully,
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 9] Knowing this, that the Lawe is not giuen vnto a righteous man, but vnto the lawles and disobedient, to the vngodly, and to sinners, to the vnholy, and to the prophane, to murtherers of fathers and mothers, to manslayers,
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 10] To whoremongers, to buggerers, to menstealers, to lyers, to the periured, and if there be any other thing, that is contrary to wholesome doctrine,
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 11] Which is according to the glorious Gospel of the blessed God, which is committed vnto me.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 12] Therefore I thanke him, which hath made me strong, that is, Christ Iesus our Lord: for he counted me faithfull, and put me in his seruice:
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 13] When before I was a blasphemer, and a persecuter, and an oppresser: but I was receiued to mercie: for I did it ignorantly through vnbeliefe.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 14] But the grace of our Lord was exceeding abundant with faith and loue, which is in Christ Iesus.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 15] This is a true saying, and by all meanes worthy to be receiued, that Christ Iesus came into the worlde to saue sinners, of whom I am chiefe.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 16] Notwithstanding, for this cause was I receiued to mercie, that Iesus Christ should first shewe on me all long suffering vnto the ensample of them, which shall in time to come beleeue in him vnto eternall life.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 17] Nowe vnto the King euerlasting, immortall, inuisible, vnto God onely wise, be honour and glorie, for euer, and euer, Amen.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 18] This commandement commit I vnto thee, sonne Timotheus, according to the prophecies, which went before vpon thee, that thou by them shouldest fight a good fight,
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 19] Hauing faith and a good conscience, which some haue put away, and as concerning faith, haue made shipwracke.
[GNV | EN | NT | 1 Timothy | Chapter 1 | Verse 20] Of whom is Hymeneus, and Alexander, whom I haue deliuered vnto Satan, that they might learne not to blaspheme.
