[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 1] This is a true saying, If any man desire the office of a Bishop, he desireth a worthie worke.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 2] A Bishop therefore must be vnreproueable, the husband of one wife, watching, temperate, modest, harberous, apt to teache,
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 3] Not giuen to wine, no striker, not giuen to filthy lucre, but gentle, no fighter, not couetous,
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 4] One that can rule his owne house honestly, hauing children vnder obedience with all honestie.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 5] For if any cannot rule his owne house, how shall he care for the Church of God?
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 6] He may not be a yong scholer, lest he being puffed vp fall into the condemnation of the deuill.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 7] He must also be well reported of, euen of them which are without, lest he fall into rebuke, and the snare of the deuill.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 8] Likewise must Deacons be graue, not double tongued, not giuen vnto much wine, neither to filthy lucre,
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 9] Hauing the mysterie of the faith in pure conscience.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 10] And let them first be proued: then let them minister, if they be found blameles.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 11] Likewise their wiues must be honest, not euill speakers, but sober, and faithfull in all things.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 12] Let the Deacons be the husbands of one wife, and such as can rule their children well, and their owne housholdes.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 13] For they that haue ministred well, get them selues a good degree, and great libertie in the faith, which is in Christ Iesus.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 14] These things write I vnto thee, trusting to come very shortly vnto thee.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 15] But if I tary long, that thou maist yet know, how thou oughtest to behaue thy self in ye house of God, which is the Church of the liuing God, the pillar and ground of trueth.
[GNV | EN | NT | 1 Timothy | Chapter 3 | Verse 16] And without controuersie, great is the mysterie of godlinesse, which is, God is manifested in the flesh, iustified in the Spirit, seene of Angels, preached vnto the Gentiles, beleeued on in the world, and receiued vp in glorie.
