[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 1] Rebuke not an Elder, but exhort him as a father, and the yonger men as brethren,
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 2] The elder women as mothers, the yonger as sisters, with all purenesse.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 3] Honour widowes, which are widowes in deede.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 4] But if any widowe haue children or nephewes, let them learne first to shewe godlinesse towarde their owne house, and to recompense their kinred: for that is an honest thing and acceptable before God.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 5] And shee that is a widowe in deede and left alone, trusteth in God, and continueth in supplications and praiers night and day.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 6] But shee that liueth in pleasure, is dead, while shee liueth.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 7] These things therefore warne them of, that they may be blamelesse.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 8] If there bee any that prouideth not for his owne, and namely for them of his housholde, hee denieth the faith, and is worse then an infidell.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 9] Let not a widow be taken into the number vnder three score yeere olde, that hath beene the wife of one husband,
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 10] And well reported of for good woorkes: if shee haue nourished her children, if shee haue lodged the strangers, if shee haue washed the Saintes feete, if shee haue ministred vnto them which were in aduersitie, if shee were continually giuen vnto euery good woorke.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 11] But refuse the yonger widowes: for when they haue begun to waxe wanton against Christ, they will marrie,
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 12] Hauing damnation, because they haue broken the first faith.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 13] And likewise also being idle they learne to goe about from house to house: yea, they are not onely ydle, but also pratlers and busibodies, speaking things which are not comely.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 14] I will therefore that the yonger women marie, and beare children, and gouerne the house, and giue none occasion to the aduersary to speake euill.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 15] For certaine are alreadie turned backe after Satan.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 16] If any faithfull man, or faithfull woman haue widowes, let them minister vnto them, and let not the Church bee charged, that there may bee sufficient for them that are widowes in deede.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 17] The Elders that rule well, let them be had in double honour, specially they which labour in the worde and doctrine,
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 18] For the Scripture sayeth, Thou shalt not mousell the mouth of the oxe that treadeth out the corne: and, The labourer is worthie of his wages.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Against an Elder receiue none accusation, but vnder two or three witnesses.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 20] Them that sinne, rebuke openly, that the rest also may feare.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I charge thee before God and the Lord Iesus Christ, and the elect Angels, that thou obserue these thinges without preferring one to an other, and doe nothing partially.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Lay handes suddenly on no man, neither be partaker of other mens sinnes: keepe thy selfe pure.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 23] Drinke no longer water, but vse a litle wine for thy stomakes sake, and thine often infirmities.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 24] Some mens sinnes are open before hand, and goe before vnto iudgement: but some mens folowe after.
[GNV | EN | NT | 1 Timothy | Chapter 5 | Verse 25] Likewise also the good woorkes are manifest before hande, and they that are otherwise, cannot be hid.
