[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 1] In the ninth year of Zedekiah king of Judah, in the tenth month, come hath Nebuchadrezzar king of Babylon and all his force unto Jerusalem, and they lay siege against it;
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 2] in the eleventh year of Zedekiah, in the fourth month, in the ninth of the month, hath the city been broken up;
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 3] and come in do all the heads of the king of Babylon, and they sit at the middle gate, Nergal-Sharezer, Samgar-Nebo, Sarsechim, chief of the eunuchs, Nergal-Sharezer, chief of the Mages, and all the rest of the heads of the king of Babylon.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 4] And it cometh to pass, when Zedekiah king of Judah, and all the men of war, have seen them, that they flee and go forth by night from the city, the way of the king's garden, through the gate between the two walls, and he goeth forth the way of the plain.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 5] And the forces of the Chaldeans pursue after them, and overtake Zedekiah in the plains of Jericho, and they take him, and bring him up unto Nebuchadnezzar king of Babylon, to Riblah, in the land of Hamath, and he speaketh with him — judgments.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 6] And the king of Babylon slaughtereth the sons of Zedekiah, in Riblah, before his eyes, yea, all the freemen of Judah hath the king of Babylon slaughtered.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 7] And the eyes of Zedekiah he hath blinded, and he bindeth him with brazen fetters, to bring him in to Babylon.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 8] And the house of the king, and the house of the people, have the Chaldeans burnt with fire, and the walls of Jerusalem they have broken down.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 9] And the remnant of the people who are left in the city, and those falling who have fallen to him, and the remnant of the people who are left, hath Nebuzar-Adan, chief of the executioners, removed [to] Babylon.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 10] And of the poor people, who have nothing, hath Nebuzar-Adan, chief of the executioners, left in the land of Judah, and he giveth to them vineyards and fields on the same day.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 11] And Nebuchadrezzar king of Babylon giveth a charge concerning Jeremiah, by the hand of Nebuzar-Adan, chief of the executioners, saying,
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 12] 'Take him, and place thine eyes upon him, and do no evil thing to him, but as he speaketh unto thee, so do with him.'
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 13] And Nebuzar-Adan, chief of the executioners sendeth, and Nebushazban, chief of the eunuchs, and Nergal-Sharezer, chief of the Mages, and all the chiefs of the king of Babylon;
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 14] yea, they send and take Jeremiah out of the court of the prison, and give him unto Gedaliah son of Ahikam, son of Shaphan, to carry him home, and he dwelleth in the midst of the people.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 15] And unto Jeremiah hath a word of Jehovah been — in his being detained in the court of the prison — saying:
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 16] 'Go, and thou hast spoken to Ebed-Melech the Cushite, saying: Thus said Jehovah of Hosts, God of Israel: Lo, I am bringing in My words unto this city for evil, and not for good, and they have been before thee in that day.
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 17] And I have delivered thee in that day — an affirmation of Jehovah — and thou art not given into the hand of the men of whose face thou art afraid,
[YLT | EN | OT | Jeremiah | Chapter 39 | Verse 18] for I do certainly deliver thee, and by sword thou fallest not, and thy life hath been to thee for a spoil, for thou hast trusted in Me — an affirmation of Jehovah.'
