[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spake unto Jehovah the words of this song in the day that Jehovah delivered him out of the hand of all his enemies, and out of the hand of Saul:
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 2] and he said, Jehovah is my rock, and my fortress, and my deliverer, even mine;
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 3] God, my rock, in him will I take refuge; My shield, and the horn of my salvation, my high tower, and my refuge; My savior, thou savest me from violence.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 4] I will call upon Jehovah, who is worthy to be praised: So shall I be saved from mine enemies.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 5] For the waves of death compassed me; The floods of ungodliness made me afraid:
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 6] The cords of Sheol were round about me; The snares of death came upon me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 7] In my distress I called upon Jehovah; Yea, I called unto my God: And he heard my voice out of his temple, And my cry came into his ears.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 8] Then the earth shook and trembled, The foundations of heaven quaked And were shaken, because he was wroth.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 9] There went up a smoke out of his nostrils, And fire out of his mouth devoured: Coals were kindled by it.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 10] He bowed the heavens also, and came down; And thick darkness was under his feet.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 11] And he rode upon a cherub, and did fly; Yea, he was seen upon the wings of the wind.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 12] And he made darkness pavilions round about him, Gathering of waters, thick clouds of the skies.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 13] At the brightness before him Coals of fire were kindled.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 14] Jehovah thundered from heaven, And the Most High uttered his voice.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 15] And he sent out arrows, and scattered them; Lightning, and discomfited them.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 16] Then the channels of the sea appeared, The foundations of the world were laid bare, By the rebuke of Jehovah, At the blast of the breath of his nostrils.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 17] He sent from on high, he took me; He drew me out of many waters;
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 18] He delivered me from my strong enemy, From them that hated me; for they were too mighty for me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 19] They came upon me in the day of my calamity; But Jehovah was my stay.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 20] He brought me forth also into a large place; He delivered me, because he delighted in me.
[ASV | EN | OT | 2 Samuel | Chapter 22 | Verse 21] Jehovah rewarded me according to my righteousness; According to the cleanness of my hands hath he recompensed me.
